[2025-04-17 08:44:08] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 08:44:08] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 08:44:08] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 08:44:08] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 08:44:08] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 08:44:08] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 08:44:08] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 08:44:08] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 08:44:08] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 08:44:08] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 08:44:08] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 08:44:08] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 08:44:08] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 08:44:08] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 08:44:08] [INFO] [Component] Setting light_dragon_Vunuho_d6584082-0e3b-457d-955c-f43387587af3 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Vunuho_d6584082-0e3b-457d-955c-f43387587af3","column":3,"row":6,"structure":"","height":0}.
[2025-04-17 08:44:08] [INFO] [SpeedQueue] Added unit enemy:Vunuho into queue
[2025-04-17 08:44:08] [INFO] [Component] Setting light_dragon_Socae_d315d50a-c0cd-4028-9a59-9596ef86b420 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Socae_d315d50a-c0cd-4028-9a59-9596ef86b420","column":5,"row":7,"structure":"","height":0}.
[2025-04-17 08:44:08] [INFO] [SpeedQueue] Added unit enemy:Socae into queue
[2025-04-17 08:44:08] [INFO] [Component] Setting light_dragon_Eonam_1013413e-a13b-4a0b-a85e-1630b37c0de8 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Eonam_1013413e-a13b-4a0b-a85e-1630b37c0de8","column":4,"row":3,"structure":"","height":0}.
[2025-04-17 08:44:08] [INFO] [SpeedQueue] Added unit enemy:Eonam into queue
[2025-04-17 08:44:08] [INFO] [Component] Setting earth_dragon_Zuiyo_61ee51c1-3c65-43c9-9c54-791cf53f405b on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Zuiyo_61ee51c1-3c65-43c9-9c54-791cf53f405b","column":7,"row":4,"structure":"","height":0}.
[2025-04-17 08:44:08] [INFO] [SpeedQueue] Added unit enemy:Zuiyo into queue
[2025-04-17 08:44:08] [INFO] [Component] Setting water_dragon_Vend_9f22e356-381a-4fb6-a647-bb27cd708f13 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Vend_9f22e356-381a-4fb6-a647-bb27cd708f13","column":6,"row":2,"structure":"","height":0}.
[2025-04-17 08:44:08] [INFO] [SpeedQueue] Added unit user:Vend into queue
[2025-04-17 08:44:08] [INFO] [Component] Setting dragon_Siiu_884250c0-637e-4234-9930-9290457e2ebd on to {"spawn_region":[],"collider":"","unit":"dragon_Siiu_884250c0-637e-4234-9930-9290457e2ebd","column":5,"row":3,"structure":"","height":0}.
[2025-04-17 08:44:08] [INFO] [SpeedQueue] Added unit user:Siiu into queue
[2025-04-17 08:44:08] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 08:44:08] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 08:44:08] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 08:44:08] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 08:44:08] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 08:44:08] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 08:44:08] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 08:44:08] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 08:44:08] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_5d44027c-f8df-487b-bf15-17e66216b034
[2025-04-17 08:44:09] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 08:44:09] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 08:44:09] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 08:44:09] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 08:44:09] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 08:44:09] [INFO] [VisualsSystem] Finished creating blurred background after 0.4944884479045868 seconds
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1122,127
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,127
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,128
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1115,131
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,133
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,137
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1097,142
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1089,148
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,155
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1074,161
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1067,167
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,170
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,182
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,186
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,193
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1029,199
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,205
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,210
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,218
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 992,225
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,234
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,242
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,249
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,256
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 935,262
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,268
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,273
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 902,279
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,280
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,283
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,286
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,288
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,289
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,290
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 867,291
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,292
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 864,293
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 863,293
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,293
[2025-04-17 08:44:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 861,293
[2025-04-17 08:44:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,293
[2025-04-17 08:44:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 859,293
[2025-04-17 08:44:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,292
[2025-04-17 08:44:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,292
[2025-04-17 08:44:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 856,292
