[2025-04-17 08:44:57] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 08:44:57] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 08:44:57] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 08:44:57] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 08:44:57] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 08:44:57] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 08:44:57] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 08:44:57] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 08:44:57] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 08:44:57] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 08:44:57] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 08:44:57] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 08:44:57] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 08:44:57] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 08:44:57] [INFO] [Component] Setting earth_dragon_Uooia_c52eb3e8-5e4e-4df4-a31e-25713437b164 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Uooia_c52eb3e8-5e4e-4df4-a31e-25713437b164","column":6,"row":1,"structure":"","height":0}.
[2025-04-17 08:44:57] [INFO] [SpeedQueue] Added unit enemy:Uooia into queue
[2025-04-17 08:44:57] [INFO] [Component] Setting water_dragon_Fejuay_e3e79350-018a-4386-9d40-779248bd289a on to {"spawn_region":[],"collider":"","unit":"water_dragon_Fejuay_e3e79350-018a-4386-9d40-779248bd289a","column":5,"row":6,"structure":"","height":0}.
[2025-04-17 08:44:57] [INFO] [SpeedQueue] Added unit enemy:Fejuay into queue
[2025-04-17 08:44:57] [INFO] [Component] Setting dark_dragon_Uyya_321d7403-bd7e-4606-aec1-fe50489f3cca on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Uyya_321d7403-bd7e-4606-aec1-fe50489f3cca","column":6,"row":7,"structure":"","height":0}.
[2025-04-17 08:44:57] [INFO] [SpeedQueue] Added unit enemy:Uyya into queue
[2025-04-17 08:44:57] [INFO] [Component] Setting air_dragon_Yuonf_86cba8cf-d81b-4c5f-ad52-6d2dd98174d5 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Yuonf_86cba8cf-d81b-4c5f-ad52-6d2dd98174d5","column":0,"row":0,"structure":"","height":0}.
[2025-04-17 08:44:57] [INFO] [SpeedQueue] Added unit enemy:Yuonf into queue
[2025-04-17 08:44:57] [INFO] [Component] Setting dark_dragon_Sikqpa_dd5a22dd-dd0a-467a-b58b-81f3ddb1a30f on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Sikqpa_dd5a22dd-dd0a-467a-b58b-81f3ddb1a30f","column":1,"row":4,"structure":"","height":0}.
[2025-04-17 08:44:57] [INFO] [SpeedQueue] Added unit enemy:Sikqpa into queue
[2025-04-17 08:44:57] [INFO] [Component] Setting dark_dragon_Ryfpel_67614120-6bae-4ebb-bb7f-0388e451e35a on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Ryfpel_67614120-6bae-4ebb-bb7f-0388e451e35a","column":7,"row":2,"structure":"","height":0}.
[2025-04-17 08:44:57] [INFO] [SpeedQueue] Added unit user:Ryfpel into queue
[2025-04-17 08:44:57] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 08:44:57] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 08:44:57] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 08:44:57] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 08:44:57] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 08:44:57] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 08:44:58] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 08:44:58] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 08:44:58] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_64352450-dab6-4f10-8672-6e7d8a4f20d1
[2025-04-17 08:44:58] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 08:44:58] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 08:44:58] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 08:44:58] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 08:44:58] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 08:44:59] [INFO] [VisualsSystem] Finished creating blurred background after 0.502145528793335 seconds
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1107,217
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,227
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1074,238
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,260
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,276
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,295
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,304
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,320
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,335
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 884,348
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,360
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,369
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,378
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 810,386
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,397
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,404
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 774,415
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,426
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,439
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,453
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,465
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,479
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,484
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,491
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,499
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,503
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,506
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 701,507
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,508
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 699,509
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,510
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,510
[2025-04-17 08:45:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,510
[2025-04-17 08:45:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,509
[2025-04-17 08:45:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,506
[2025-04-17 08:45:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,504
[2025-04-17 08:45:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,501
[2025-04-17 08:45:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 701,499
[2025-04-17 08:45:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 702,495
[2025-04-17 08:45:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,493
[2025-04-17 08:45:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 704,490
[2025-04-17 08:45:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,488
[2025-04-17 08:45:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 706,486
[2025-04-17 08:45:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,484
[2025-04-17 08:45:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,482
[2025-04-17 08:45:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 709,480
[2025-04-17 08:45:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,479
