[2025-04-17 08:48:55] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 08:48:55] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 08:48:55] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 08:48:55] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 08:48:55] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 08:48:55] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 08:48:55] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 08:48:55] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 08:48:55] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 08:48:55] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 08:48:55] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 08:48:55] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 08:48:55] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 08:48:55] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 08:48:55] [INFO] [Component] Setting earth_dragon_Nito_8ff729bc-ad53-42b7-82c0-272eda16b1ba on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Nito_8ff729bc-ad53-42b7-82c0-272eda16b1ba","column":7,"row":6,"structure":"","height":0}.
[2025-04-17 08:48:55] [INFO] [SpeedQueue] Added unit enemy:Nito into queue
[2025-04-17 08:48:55] [INFO] [Component] Setting water_dragon_Puzw_d582c4b0-9665-45e1-aa9c-659c66b90430 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Puzw_d582c4b0-9665-45e1-aa9c-659c66b90430","column":0,"row":7,"structure":"","height":0}.
[2025-04-17 08:48:55] [INFO] [SpeedQueue] Added unit enemy:Puzw into queue
[2025-04-17 08:48:55] [INFO] [Component] Setting air_dragon_Luuc_4b300847-4177-4a06-96ce-923f4e78c9d5 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Luuc_4b300847-4177-4a06-96ce-923f4e78c9d5","column":0,"row":2,"structure":"","height":0}.
[2025-04-17 08:48:55] [INFO] [SpeedQueue] Added unit enemy:Luuc into queue
[2025-04-17 08:48:55] [INFO] [Component] Setting dragon_Aizyoi_7bfb5479-f502-4975-9251-8a9406261c3d on to {"spawn_region":[],"collider":"","unit":"dragon_Aizyoi_7bfb5479-f502-4975-9251-8a9406261c3d","column":3,"row":6,"structure":"","height":0}.
[2025-04-17 08:48:55] [INFO] [SpeedQueue] Added unit enemy:Aizyoi into queue
[2025-04-17 08:48:55] [INFO] [Component] Setting fire_dragon_Uevav_2101834b-491f-4156-b69e-70788a8e77c8 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Uevav_2101834b-491f-4156-b69e-70788a8e77c8","column":6,"row":3,"structure":"","height":0}.
[2025-04-17 08:48:55] [INFO] [SpeedQueue] Added unit user:Uevav into queue
[2025-04-17 08:48:55] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 08:48:56] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 08:48:56] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 08:48:56] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 08:48:56] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 08:48:56] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 08:48:56] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 08:48:56] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 08:48:56] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_2e7fc3da-7421-4026-9beb-c4213f406bd4
[2025-04-17 08:48:56] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 08:48:56] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 08:48:56] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 08:48:56] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 08:48:56] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 08:48:57] [INFO] [VisualsSystem] Finished creating blurred background after 0.5037550330162048 seconds
[2025-04-17 08:48:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1117,250
[2025-04-17 08:48:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1114,251
[2025-04-17 08:48:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1112,252
[2025-04-17 08:48:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,253
[2025-04-17 08:48:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1109,253
[2025-04-17 08:48:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1108,254
[2025-04-17 08:48:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1108,255
[2025-04-17 08:48:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1108,256
[2025-04-17 08:48:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1109,257
[2025-04-17 08:48:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1112,258
[2025-04-17 08:48:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1119,260
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1112,213
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,214
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1095,215
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1083,216
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1077,218
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,219
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,220
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1062,220
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,221
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1058,222
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,222
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,223
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,223
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1054,224
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1052,224
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,225
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,225
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,226
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,227
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,227
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,228
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,228
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,229
[2025-04-17 08:49:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,229
[2025-04-17 08:49:02] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 08:49:02] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,232
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,233
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1038,237
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,241
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,245
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,250
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,253
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,265
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,268
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,279
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,282
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,287
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,294
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,298
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1011,303
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,306
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,310
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,312
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,314
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,315
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,316
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,317
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,318
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,318
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,317
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,316
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,315
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,313
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,312
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,311
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,310
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,309
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,307
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,306
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,304
[2025-04-17 08:49:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,302
