[2025-04-17 08:50:09] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 08:50:09] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 08:50:09] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 08:50:09] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 08:50:09] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 08:50:09] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 08:50:09] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 08:50:09] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 08:50:09] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 08:50:09] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 08:50:09] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 08:50:09] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 08:50:10] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 08:50:10] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 08:50:10] [INFO] [Component] Setting light_dragon_Minjoe_55165ecc-6811-40fd-89d6-780aa243b470 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Minjoe_55165ecc-6811-40fd-89d6-780aa243b470","column":5,"row":2,"structure":"","height":0}.
[2025-04-17 08:50:10] [INFO] [SpeedQueue] Added unit enemy:Minjoe into queue
[2025-04-17 08:50:10] [INFO] [Component] Setting fire_dragon_Zyzid_00168749-fc19-4405-9efc-2d0aa236ee42 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Zyzid_00168749-fc19-4405-9efc-2d0aa236ee42","column":7,"row":6,"structure":"","height":0}.
[2025-04-17 08:50:10] [INFO] [SpeedQueue] Added unit enemy:Zyzid into queue
[2025-04-17 08:50:10] [INFO] [Component] Setting air_dragon_Xuseoe_db7fedf8-0de4-475b-ae8d-cc7207534b7f on to {"spawn_region":[],"collider":"","unit":"air_dragon_Xuseoe_db7fedf8-0de4-475b-ae8d-cc7207534b7f","column":6,"row":6,"structure":"","height":0}.
[2025-04-17 08:50:10] [INFO] [SpeedQueue] Added unit enemy:Xuseoe into queue
[2025-04-17 08:50:10] [INFO] [Component] Setting water_dragon_Neia_2799e756-689a-4259-9d50-6d9720794f82 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Neia_2799e756-689a-4259-9d50-6d9720794f82","column":0,"row":2,"structure":"","height":0}.
[2025-04-17 08:50:10] [INFO] [SpeedQueue] Added unit enemy:Neia into queue
[2025-04-17 08:50:10] [INFO] [Component] Setting light_dragon_Paeo_5961d7f8-0dab-45a8-abfe-6f79269d7236 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Paeo_5961d7f8-0dab-45a8-abfe-6f79269d7236","column":5,"row":3,"structure":"","height":0}.
[2025-04-17 08:50:10] [INFO] [SpeedQueue] Added unit user:Paeo into queue
[2025-04-17 08:50:10] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 08:50:10] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 08:50:10] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 08:50:10] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 08:50:10] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 08:50:10] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 08:50:10] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 08:50:10] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 08:50:10] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_1b987dc4-6ed3-4209-bea9-9ddf8a6ef8f4
[2025-04-17 08:50:10] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 08:50:10] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 08:50:10] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 08:50:10] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 08:50:10] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 08:50:11] [INFO] [VisualsSystem] Finished creating blurred background after 0.4898207187652588 seconds
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1064,183
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,194
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,204
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,207
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,219
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,219
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,223
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,224
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 984,225
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,225
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,225
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 975,225
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,225
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,225
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,224
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,224
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,223
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,222
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,221
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,220
[2025-04-17 08:50:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,218
[2025-04-17 08:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,216
[2025-04-17 08:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,212
[2025-04-17 08:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,209
[2025-04-17 08:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,199
[2025-04-17 08:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 996,190
[2025-04-17 08:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,180
[2025-04-17 08:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,176
[2025-04-17 08:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,163
[2025-04-17 08:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1090,161
[2025-04-17 08:50:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 1114,157
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1119,184
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1078,187
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1075,188
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1071,191
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,201
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,203
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,214
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,221
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,228
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,235
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,243
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,252
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,263
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,277
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,291
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,305
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1011,319
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,336
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,350
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,364
[2025-04-17 08:50:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,378
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 999,391
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 994,405
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,419
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,424
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,433
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,442
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 982,446
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,451
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,454
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,455
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,456
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,457
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,456
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,447
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,436
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,422
[2025-04-17 08:50:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,405
