[2025-04-17 08:57:14] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 08:57:14] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 08:57:14] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 08:57:14] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 08:57:14] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 08:57:14] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 08:57:14] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 08:57:14] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 08:57:14] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 08:57:14] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 08:57:14] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 08:57:14] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 08:57:15] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 08:57:15] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 08:57:15] [INFO] [Component] Setting earth_dragon_Kebyyq_4f19d37c-00e5-43d5-bb84-8b5f24cf86af on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Kebyyq_4f19d37c-00e5-43d5-bb84-8b5f24cf86af","column":1,"row":6,"structure":"","height":0}.
[2025-04-17 08:57:15] [INFO] [SpeedQueue] Added unit enemy:Kebyyq into queue
[2025-04-17 08:57:15] [INFO] [Component] Setting dark_dragon_Bucy_18d9cefb-f19a-4b95-b70b-1a187e1d8132 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Bucy_18d9cefb-f19a-4b95-b70b-1a187e1d8132","column":2,"row":5,"structure":"","height":0}.
[2025-04-17 08:57:15] [INFO] [SpeedQueue] Added unit enemy:Bucy into queue
[2025-04-17 08:57:15] [INFO] [Component] Setting dark_dragon_Lyxdj_98e7a7ef-d864-41db-b37c-869729ef2f74 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Lyxdj_98e7a7ef-d864-41db-b37c-869729ef2f74","column":3,"row":5,"structure":"","height":0}.
[2025-04-17 08:57:15] [INFO] [SpeedQueue] Added unit enemy:Lyxdj into queue
[2025-04-17 08:57:15] [INFO] [Component] Setting fire_dragon_Fuucue_4b8ee6f4-5494-4d92-955a-67d39e87b864 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Fuucue_4b8ee6f4-5494-4d92-955a-67d39e87b864","column":2,"row":1,"structure":"","height":0}.
[2025-04-17 08:57:15] [INFO] [SpeedQueue] Added unit enemy:Fuucue into queue
[2025-04-17 08:57:15] [INFO] [Component] Setting earth_dragon_Pizu_68f0bb6d-a032-4a36-8697-688a82f14e82 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Pizu_68f0bb6d-a032-4a36-8697-688a82f14e82","column":0,"row":2,"structure":"","height":0}.
[2025-04-17 08:57:15] [INFO] [SpeedQueue] Added unit enemy:Pizu into queue
[2025-04-17 08:57:15] [INFO] [Component] Setting dragon_Yudo_ff6fa749-8d9c-42f2-9f46-cf99a570e5d5 on to {"spawn_region":[],"collider":"","unit":"dragon_Yudo_ff6fa749-8d9c-42f2-9f46-cf99a570e5d5","column":3,"row":6,"structure":"","height":0}.
[2025-04-17 08:57:15] [INFO] [SpeedQueue] Added unit user:Yudo into queue
[2025-04-17 08:57:15] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 08:57:15] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 08:57:15] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 08:57:15] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 08:57:15] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 08:57:15] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 08:57:15] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 08:57:15] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 08:57:15] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_faacfc28-55e0-40c9-86a8-012d3e91b453
[2025-04-17 08:57:15] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 08:57:15] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 08:57:15] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 08:57:15] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 08:57:15] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 08:57:16] [INFO] [VisualsSystem] Finished creating blurred background after 0.4951656460762024 seconds
[2025-04-17 08:57:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1058,130
[2025-04-17 08:57:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,135
[2025-04-17 08:57:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,138
[2025-04-17 08:57:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,145
[2025-04-17 08:57:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,152
[2025-04-17 08:57:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,157
[2025-04-17 08:57:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1015,159
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,167
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,172
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,177
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,183
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,188
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,193
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,194
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,199
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,207
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,209
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,212
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,214
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,217
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,219
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,220
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,222
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 902,224
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,226
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,227
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,228
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,229
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 876,230
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 871,231
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,231
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 863,231
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,231
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,231
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 856,231
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,231
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,231
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,231
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 851,231
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 851,230
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 851,229
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 851,228
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,228
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,228
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,228
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 859,228
[2025-04-17 08:57:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,228
