[2025-04-17 08:59:05] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 08:59:05] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 08:59:05] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 08:59:05] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 08:59:05] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 08:59:05] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 08:59:05] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 08:59:05] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 08:59:05] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 08:59:05] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 08:59:05] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 08:59:05] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 08:59:05] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 08:59:05] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 08:59:05] [INFO] [Component] Setting water_dragon_Jyyo_6c7b24d0-05df-4d4b-a343-d5a6ce346f25 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Jyyo_6c7b24d0-05df-4d4b-a343-d5a6ce346f25","column":5,"row":4,"structure":"","height":0}.
[2025-04-17 08:59:05] [INFO] [SpeedQueue] Added unit enemy:Jyyo into queue
[2025-04-17 08:59:05] [INFO] [Component] Setting fire_dragon_Cuarax_2c48cc95-2909-414a-b568-537c09196faf on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Cuarax_2c48cc95-2909-414a-b568-537c09196faf","column":0,"row":4,"structure":"","height":0}.
[2025-04-17 08:59:05] [INFO] [SpeedQueue] Added unit enemy:Cuarax into queue
[2025-04-17 08:59:05] [INFO] [Component] Setting light_dragon_Iukwa_0aa51dc1-6efe-49f2-a889-fef6f821facd on to {"spawn_region":[],"collider":"","unit":"light_dragon_Iukwa_0aa51dc1-6efe-49f2-a889-fef6f821facd","column":0,"row":7,"structure":"","height":0}.
[2025-04-17 08:59:05] [INFO] [SpeedQueue] Added unit enemy:Iukwa into queue
[2025-04-17 08:59:05] [INFO] [Component] Setting dragon_Quua_b9399b8e-9f34-46f2-93c9-61526fca4cf4 on to {"spawn_region":[],"collider":"","unit":"dragon_Quua_b9399b8e-9f34-46f2-93c9-61526fca4cf4","column":2,"row":2,"structure":"","height":0}.
[2025-04-17 08:59:05] [INFO] [SpeedQueue] Added unit enemy:Quua into queue
[2025-04-17 08:59:05] [INFO] [Component] Setting light_dragon_Piisy_4ef8bd82-284a-41ce-9e04-b9a86da8661d on to {"spawn_region":[],"collider":"","unit":"light_dragon_Piisy_4ef8bd82-284a-41ce-9e04-b9a86da8661d","column":0,"row":5,"structure":"","height":0}.
[2025-04-17 08:59:05] [INFO] [SpeedQueue] Added unit user:Piisy into queue
[2025-04-17 08:59:05] [INFO] [Component] Setting earth_dragon_Fylpub_6a0a6a9b-4878-4c21-b844-681163a8dcea on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Fylpub_6a0a6a9b-4878-4c21-b844-681163a8dcea","column":5,"row":3,"structure":"","height":0}.
[2025-04-17 08:59:05] [INFO] [SpeedQueue] Added unit user:Fylpub into queue
[2025-04-17 08:59:05] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 08:59:05] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 08:59:05] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 08:59:05] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 08:59:05] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 08:59:05] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 08:59:06] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 08:59:06] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 08:59:06] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_44217063-59d4-42e6-9ef1-375a9f2c4da0
[2025-04-17 08:59:06] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 08:59:06] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 08:59:06] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 08:59:06] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 08:59:06] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 08:59:06] [INFO] [VisualsSystem] Finished creating blurred background after 0.5031251907348633 seconds
[2025-04-17 08:59:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,129
[2025-04-17 08:59:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,134
[2025-04-17 08:59:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,137
[2025-04-17 08:59:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,139
[2025-04-17 08:59:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 863,141
[2025-04-17 08:59:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,143
[2025-04-17 08:59:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,144
[2025-04-17 08:59:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,145
[2025-04-17 08:59:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 848,147
[2025-04-17 08:59:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 846,147
[2025-04-17 08:59:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 843,149
[2025-04-17 08:59:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 841,150
[2025-04-17 08:59:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,151
[2025-04-17 08:59:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,152
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,152
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 834,153
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,154
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 832,154
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,155
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 830,155
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,156
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,156
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 827,157
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 826,157
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 824,159
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,162
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 816,166
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 810,171
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 805,175
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,178
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,189
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,194
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,201
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,208
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,213
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,220
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,226
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,233
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 709,241
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,247
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 683,255
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 668,264
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,271
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 640,281
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 628,289
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 615,297
[2025-04-17 08:59:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 600,305
