[2025-04-17 09:00:13] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 09:00:13] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 09:00:13] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 09:00:13] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 09:00:13] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 09:00:13] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 09:00:13] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 09:00:13] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 09:00:13] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 09:00:13] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 09:00:13] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 09:00:13] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 09:00:13] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 09:00:13] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 09:00:13] [INFO] [Component] Setting earth_dragon_Ousoio_87a9f71c-47c5-44f9-ba18-c488e48831e6 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Ousoio_87a9f71c-47c5-44f9-ba18-c488e48831e6","column":3,"row":3,"structure":"","height":0}.
[2025-04-17 09:00:13] [INFO] [SpeedQueue] Added unit enemy:Ousoio into queue
[2025-04-17 09:00:13] [INFO] [Component] Setting dragon_Yoviqu_b87cda38-4525-42bc-9d33-22e9741e9d7d on to {"spawn_region":[],"collider":"","unit":"dragon_Yoviqu_b87cda38-4525-42bc-9d33-22e9741e9d7d","column":7,"row":2,"structure":"","height":0}.
[2025-04-17 09:00:13] [INFO] [SpeedQueue] Added unit enemy:Yoviqu into queue
[2025-04-17 09:00:13] [INFO] [Component] Setting earth_dragon_Baio_5ab9b64c-1175-4937-86db-f1b9a06c26b9 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Baio_5ab9b64c-1175-4937-86db-f1b9a06c26b9","column":5,"row":0,"structure":"","height":0}.
[2025-04-17 09:00:13] [INFO] [SpeedQueue] Added unit enemy:Baio into queue
[2025-04-17 09:00:13] [INFO] [Component] Setting dragon_Zayosy_21c53f8d-8730-4160-a78f-ee120856e14e on to {"spawn_region":[],"collider":"","unit":"dragon_Zayosy_21c53f8d-8730-4160-a78f-ee120856e14e","column":1,"row":1,"structure":"","height":0}.
[2025-04-17 09:00:13] [INFO] [SpeedQueue] Added unit enemy:Zayosy into queue
[2025-04-17 09:00:13] [INFO] [Component] Setting earth_dragon_Nase_258c8866-63af-4663-a6ca-06f42bc5f8fe on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Nase_258c8866-63af-4663-a6ca-06f42bc5f8fe","column":0,"row":2,"structure":"","height":0}.
[2025-04-17 09:00:13] [INFO] [SpeedQueue] Added unit user:Nase into queue
[2025-04-17 09:00:13] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 09:00:14] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 09:00:14] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 09:00:14] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 09:00:14] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 09:00:14] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 09:00:14] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 09:00:14] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 09:00:14] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_fd23cb98-bc0b-4131-92e0-37d30a6ce9f5
[2025-04-17 09:00:14] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 09:00:14] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 09:00:14] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 09:00:14] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 09:00:14] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 09:00:15] [INFO] [VisualsSystem] Finished creating blurred background after 0.4864724576473236 seconds
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,142
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1085,143
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1071,146
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,148
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,149
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,150
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1038,151
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1035,152
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,152
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,152
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1029,152
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,152
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,152
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,152
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1025,152
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,152
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1022,152
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,153
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,153
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,154
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,155
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,156
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,158
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 990,160
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 979,163
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,167
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 961,169
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,173
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,177
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 933,181
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,187
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,193
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,201
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,209
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,220
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,230
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,242
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 818,252
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,264
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,273
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,275
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,281
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,284
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,287
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,287
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,288
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,288
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,288
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,288
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,288
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,288
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,288
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,289
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,290
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,292
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 792,294
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,296
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,298
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,300
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,301
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,303
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,306
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,309
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,313
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,317
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,323
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,329
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,332
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,337
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,343
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,348
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,352
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,355
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,359
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,362
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 727,365
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 724,368
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,371
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,375
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,378
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,381
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,384
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 709,386
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,387
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 706,389
[2025-04-17 09:00:17] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,390
[2025-04-17 09:00:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 706,390
[2025-04-17 09:00:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 711,390
[2025-04-17 09:00:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,389
[2025-04-17 09:00:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 727,386
[2025-04-17 09:00:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,384
[2025-04-17 09:00:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,383
