[2025-04-17 19:32:19] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 19:32:19] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 19:32:19] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 19:32:19] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 19:32:19] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 19:32:19] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 19:32:19] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 19:32:19] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 19:32:19] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 19:32:19] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 19:32:19] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 19:32:19] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 19:32:19] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 19:32:19] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 19:32:19] [INFO] [Component] Setting dragon_Uunioc_0e1f0c34-d42c-479b-b819-c723208ebe09 on to {"spawn_region":[],"collider":"","unit":"dragon_Uunioc_0e1f0c34-d42c-479b-b819-c723208ebe09","column":2,"row":2,"structure":"","height":0}.
[2025-04-17 19:32:19] [INFO] [SpeedQueue] Added unit enemy:Uunioc into queue
[2025-04-17 19:32:19] [INFO] [Component] Setting water_dragon_Yybpv_ca88c84b-3a92-4366-99fd-3a855d4e2017 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Yybpv_ca88c84b-3a92-4366-99fd-3a855d4e2017","column":7,"row":3,"structure":"","height":0}.
[2025-04-17 19:32:19] [INFO] [SpeedQueue] Added unit enemy:Yybpv into queue
[2025-04-17 19:32:19] [INFO] [Component] Setting air_dragon_Aafdu_9b3c92fa-3acc-423c-86a5-2e932753efac on to {"spawn_region":[],"collider":"","unit":"air_dragon_Aafdu_9b3c92fa-3acc-423c-86a5-2e932753efac","column":5,"row":7,"structure":"","height":0}.
[2025-04-17 19:32:19] [INFO] [SpeedQueue] Added unit enemy:Aafdu into queue
[2025-04-17 19:32:19] [INFO] [Component] Setting light_dragon_Dolou_18414028-6843-474f-8edc-e85a6660bd0c on to {"spawn_region":[],"collider":"","unit":"light_dragon_Dolou_18414028-6843-474f-8edc-e85a6660bd0c","column":3,"row":2,"structure":"","height":0}.
[2025-04-17 19:32:19] [INFO] [SpeedQueue] Added unit enemy:Dolou into queue
[2025-04-17 19:32:19] [INFO] [Component] Setting fire_dragon_Curcai_df36d673-7c2d-416c-9301-ce4a09ec0be7 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Curcai_df36d673-7c2d-416c-9301-ce4a09ec0be7","column":2,"row":0,"structure":"","height":0}.
[2025-04-17 19:32:19] [INFO] [SpeedQueue] Added unit enemy:Curcai into queue
[2025-04-17 19:32:19] [INFO] [Component] Setting dark_dragon_Lune_ee354dbc-2ab7-45dd-a120-4f68a9e8d410 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Lune_ee354dbc-2ab7-45dd-a120-4f68a9e8d410","column":3,"row":7,"structure":"","height":0}.
[2025-04-17 19:32:19] [INFO] [SpeedQueue] Added unit user:Lune into queue
[2025-04-17 19:32:19] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 19:32:20] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 19:32:20] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 19:32:20] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 19:32:20] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 19:32:20] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 19:32:20] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 19:32:20] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 19:32:20] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_d438a960-5152-4228-b63b-c6c0029b23cf
[2025-04-17 19:32:20] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 19:32:20] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 19:32:20] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 19:32:20] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 19:32:20] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 19:32:21] [INFO] [VisualsSystem] Finished creating blurred background after 0.49781063199043274 seconds
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,600
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 904,600
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 886,598
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,595
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,591
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,586
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 841,580
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 823,570
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,550
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,528
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,517
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,507
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,498
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,494
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 687,487
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 679,481
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,474
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,460
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,455
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 659,450
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,445
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,442
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,439
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,433
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,429
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,428
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,427
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,426
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,425
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 659,425
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,425
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,425
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,425
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,425
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,425
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 668,425
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 670,425
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,425
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 674,425
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 676,427
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 678,429
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 681,431
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 682,435
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 684,438
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,441
[2025-04-17 19:32:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 688,446
