[2025-04-17 20:27:31] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 20:27:31] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 20:27:31] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 20:27:31] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 20:27:31] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 20:27:31] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 20:27:31] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 20:27:31] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 20:27:31] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 20:27:31] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 20:27:31] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 20:27:31] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 20:27:31] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 20:27:31] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 20:27:31] [INFO] [Component] Setting dark_dragon_Hohs_ae921a00-b8e5-4074-bafb-34aa187195f7 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Hohs_ae921a00-b8e5-4074-bafb-34aa187195f7","column":1,"row":1,"structure":"","height":0}.
[2025-04-17 20:27:31] [INFO] [SpeedQueue] Added unit enemy:Hohs into queue
[2025-04-17 20:27:31] [INFO] [Component] Setting dragon_Yuwao_9ed178f5-12b9-4a2f-99fb-bd1dd84f8f5f on to {"spawn_region":[],"collider":"","unit":"dragon_Yuwao_9ed178f5-12b9-4a2f-99fb-bd1dd84f8f5f","column":4,"row":5,"structure":"","height":0}.
[2025-04-17 20:27:31] [INFO] [SpeedQueue] Added unit enemy:Yuwao into queue
[2025-04-17 20:27:31] [INFO] [Component] Setting light_dragon_Vugbgv_1d4f68dd-3a95-49b8-a318-707e224ecfa1 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Vugbgv_1d4f68dd-3a95-49b8-a318-707e224ecfa1","column":6,"row":7,"structure":"","height":0}.
[2025-04-17 20:27:31] [INFO] [SpeedQueue] Added unit enemy:Vugbgv into queue
[2025-04-17 20:27:31] [INFO] [Component] Setting fire_dragon_Mukiaa_5a46b6a1-240e-4851-b21b-4ad18125dfa2 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Mukiaa_5a46b6a1-240e-4851-b21b-4ad18125dfa2","column":1,"row":0,"structure":"","height":0}.
[2025-04-17 20:27:31] [INFO] [SpeedQueue] Added unit enemy:Mukiaa into queue
[2025-04-17 20:27:31] [INFO] [Component] Setting fire_dragon_Vajo_7189ad99-66bb-4eb3-a0b9-4e01dc20ef55 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Vajo_7189ad99-66bb-4eb3-a0b9-4e01dc20ef55","column":0,"row":2,"structure":"","height":0}.
[2025-04-17 20:27:31] [INFO] [SpeedQueue] Added unit user:Vajo into queue
[2025-04-17 20:27:31] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 20:27:31] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 20:27:31] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 20:27:31] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 20:27:31] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 20:27:31] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 20:27:32] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 20:27:32] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 20:27:32] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_a7386b2a-8ce7-47bc-a33a-278515c58a6c
[2025-04-17 20:27:32] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 20:27:32] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 20:27:32] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 20:27:32] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 20:27:32] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 20:27:33] [INFO] [VisualsSystem] Finished creating blurred background after 0.4880494177341461 seconds
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1099,449
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1096,449
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1094,449
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,448
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,447
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1071,446
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,446
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,446
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,446
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,446
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,447
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,448
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,450
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,451
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,453
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,454
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,455
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,456
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,457
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,459
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,460
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,463
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,465
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,465
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 885,466
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,467
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,469
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,469
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 876,470
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,471
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,471
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,471
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 871,472
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,472
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 869,472
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 869,473
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,473
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 867,473
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,473
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 863,473
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 859,473
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,474
[2025-04-17 20:27:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,475
