[2025-04-17 21:30:23] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-17 21:30:23] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-17 21:30:23] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-17 21:30:23] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-17 21:30:23] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-17 21:30:23] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-17 21:30:23] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-17 21:30:23] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-17 21:30:23] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-17 21:30:23] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-17 21:30:23] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-17 21:30:23] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-17 21:30:23] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-17 21:30:23] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-17 21:30:23] [INFO] [Component] Setting dragon_Veto_d59c7332-9dc8-41eb-9501-ecbad3517e82 on to {"spawn_region":[],"collider":"","unit":"dragon_Veto_d59c7332-9dc8-41eb-9501-ecbad3517e82","column":3,"row":1,"structure":"","height":0}.
[2025-04-17 21:30:23] [INFO] [SpeedQueue] Added unit enemy:Veto into queue
[2025-04-17 21:30:23] [INFO] [Component] Setting water_dragon_Lojs_eba46d69-c339-4623-8492-17ff711bff4a on to {"spawn_region":[],"collider":"","unit":"water_dragon_Lojs_eba46d69-c339-4623-8492-17ff711bff4a","column":0,"row":6,"structure":"","height":0}.
[2025-04-17 21:30:23] [INFO] [SpeedQueue] Added unit enemy:Lojs into queue
[2025-04-17 21:30:23] [INFO] [Component] Setting fire_dragon_Jeaiye_52441a06-8bc6-41ee-974d-ff9a5f0a8518 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Jeaiye_52441a06-8bc6-41ee-974d-ff9a5f0a8518","column":4,"row":1,"structure":"","height":0}.
[2025-04-17 21:30:23] [INFO] [SpeedQueue] Added unit enemy:Jeaiye into queue
[2025-04-17 21:30:23] [INFO] [Component] Setting earth_dragon_Koiaa_a977f827-9845-4bfe-a412-82a6efe6b5e1 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Koiaa_a977f827-9845-4bfe-a412-82a6efe6b5e1","column":3,"row":0,"structure":"","height":0}.
[2025-04-17 21:30:23] [INFO] [SpeedQueue] Added unit enemy:Koiaa into queue
[2025-04-17 21:30:23] [INFO] [Component] Setting earth_dragon_Xabo_998c154e-9f66-4bcf-8591-bac22001926f on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Xabo_998c154e-9f66-4bcf-8591-bac22001926f","column":6,"row":2,"structure":"","height":0}.
[2025-04-17 21:30:23] [INFO] [SpeedQueue] Added unit enemy:Xabo into queue
[2025-04-17 21:30:23] [INFO] [Component] Setting earth_dragon_Zedw_4490886b-7afb-4780-8b15-d23bee614e46 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Zedw_4490886b-7afb-4780-8b15-d23bee614e46","column":3,"row":2,"structure":"","height":0}.
[2025-04-17 21:30:23] [INFO] [SpeedQueue] Added unit user:Zedw into queue
[2025-04-17 21:30:23] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-17 21:30:23] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-17 21:30:23] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-17 21:30:23] [INFO] [FontPool] Started initializing FontPool
[2025-04-17 21:30:24] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-17 21:30:24] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-17 21:30:24] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-17 21:30:24] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-17 21:30:24] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_688b18f2-0f7e-4240-877e-7d82fcd14f74
[2025-04-17 21:30:24] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-17 21:30:24] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-17 21:30:24] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-17 21:30:24] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-17 21:30:24] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-17 21:30:25] [INFO] [VisualsSystem] Finished creating blurred background after 0.49480652809143066 seconds
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,344
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,344
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,344
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,344
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 736,344
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,345
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,346
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,347
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 724,347
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,348
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 719,350
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,351
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 711,352
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,354
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,356
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,357
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,358
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,360
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 690,361
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 688,362
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,363
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 684,365
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 682,365
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 680,367
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 678,367
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 675,369
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 674,370
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,371
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,372
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,374
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,375
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,377
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 656,378
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,378
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 654,379
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 653,380
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 652,380
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,381
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 650,381
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 650,382
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,382
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 648,383
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 648,384
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,385
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 646,387
[2025-04-17 21:30:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,388
