[2025-04-18 02:08:00] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 02:08:00] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 02:08:00] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 02:08:00] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 02:08:00] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 02:08:00] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 02:08:00] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 02:08:00] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 02:08:00] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 02:08:00] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 02:08:00] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 02:08:00] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 02:08:00] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 02:08:00] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 02:08:00] [INFO] [Component] Setting air_dragon_Wilia_ffd729a0-46b0-48ed-ac3f-bc7ce0200095 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Wilia_ffd729a0-46b0-48ed-ac3f-bc7ce0200095","column":5,"row":6,"structure":"","height":0}.
[2025-04-18 02:08:00] [INFO] [SpeedQueue] Added unit enemy:Wilia into queue
[2025-04-18 02:08:00] [INFO] [Component] Setting water_dragon_Nokiia_313dcc8a-b7d4-43f6-b99b-4ff4fedd2933 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Nokiia_313dcc8a-b7d4-43f6-b99b-4ff4fedd2933","column":0,"row":4,"structure":"","height":0}.
[2025-04-18 02:08:00] [INFO] [SpeedQueue] Added unit enemy:Nokiia into queue
[2025-04-18 02:08:00] [INFO] [Component] Setting earth_dragon_Hezou_91fb75ce-dca8-4527-a105-67a93dd7382e on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Hezou_91fb75ce-dca8-4527-a105-67a93dd7382e","column":6,"row":3,"structure":"","height":0}.
[2025-04-18 02:08:00] [INFO] [SpeedQueue] Added unit enemy:Hezou into queue
[2025-04-18 02:08:00] [INFO] [Component] Setting fire_dragon_Iyqyae_5013d0cc-1aa0-4eeb-8689-3f40e9118840 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Iyqyae_5013d0cc-1aa0-4eeb-8689-3f40e9118840","column":1,"row":2,"structure":"","height":0}.
[2025-04-18 02:08:00] [INFO] [SpeedQueue] Added unit enemy:Iyqyae into queue
[2025-04-18 02:08:00] [INFO] [Component] Setting water_dragon_Aiwa_50306b66-6500-49b4-a88c-d39981f3b826 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Aiwa_50306b66-6500-49b4-a88c-d39981f3b826","column":1,"row":5,"structure":"","height":0}.
[2025-04-18 02:08:00] [INFO] [SpeedQueue] Added unit enemy:Aiwa into queue
[2025-04-18 02:08:00] [INFO] [Component] Setting earth_dragon_Loft_0418e534-be84-4332-8323-24275ca41dbc on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Loft_0418e534-be84-4332-8323-24275ca41dbc","column":1,"row":4,"structure":"","height":0}.
[2025-04-18 02:08:00] [INFO] [SpeedQueue] Added unit user:Loft into queue
[2025-04-18 02:08:00] [INFO] [Component] Setting earth_dragon_Gagiui_21922b05-678c-41b1-b25f-caa7eb7278a3 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Gagiui_21922b05-678c-41b1-b25f-caa7eb7278a3","column":0,"row":5,"structure":"","height":0}.
[2025-04-18 02:08:00] [INFO] [SpeedQueue] Added unit user:Gagiui into queue
[2025-04-18 02:08:00] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 02:08:01] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 02:08:01] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 02:08:01] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 02:08:01] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 02:08:01] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 02:08:01] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 02:08:01] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 02:08:01] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_5dee6572-3f14-4deb-8d6f-d5c7231a1f22
[2025-04-18 02:08:01] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 02:08:01] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 02:08:01] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 02:08:01] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 02:08:01] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 02:08:02] [INFO] [VisualsSystem] Finished creating blurred background after 0.4969285726547241 seconds
[2025-04-18 02:08:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 816,541
[2025-04-18 02:08:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 452,156
[2025-04-18 02:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,457
[2025-04-18 02:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1076,457
[2025-04-18 02:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,457
[2025-04-18 02:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1025,457
[2025-04-18 02:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,455
[2025-04-18 02:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,451
[2025-04-18 02:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,449
[2025-04-18 02:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,446
[2025-04-18 02:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,443
[2025-04-18 02:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,442
[2025-04-18 02:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,441
[2025-04-18 02:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,441
[2025-04-18 02:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,441
[2025-04-18 02:08:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,441
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,441
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,441
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,441
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 884,440
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,439
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,437
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 863,435
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,433
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 846,430
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,429
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 826,426
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 817,425
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,424
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,424
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,422
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,422
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,421
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,421
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,419
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,419
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,419
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,419
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,419
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,419
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 684,419
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 678,419
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,419
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,419
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,419
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 657,419
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 648,418
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,417
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 643,417
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 640,416
[2025-04-18 02:08:10] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,415
