[2025-04-18 02:16:20] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 02:16:20] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 02:16:20] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 02:16:20] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 02:16:20] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 02:16:20] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 02:16:20] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 02:16:20] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 02:16:20] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 02:16:20] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 02:16:20] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 02:16:20] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 02:16:20] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 02:16:20] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 02:16:20] [INFO] [Component] Setting light_dragon_Tityve_5fecc9e6-69ae-402f-9358-9219a9a426cf on to {"spawn_region":[],"collider":"","unit":"light_dragon_Tityve_5fecc9e6-69ae-402f-9358-9219a9a426cf","column":0,"row":0,"structure":"","height":0}.
[2025-04-18 02:16:20] [INFO] [SpeedQueue] Added unit enemy:Tityve into queue
[2025-04-18 02:16:20] [INFO] [Component] Setting earth_dragon_Fucan_a423606b-e86c-4652-8751-e7a6e5e65e5e on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Fucan_a423606b-e86c-4652-8751-e7a6e5e65e5e","column":1,"row":4,"structure":"","height":0}.
[2025-04-18 02:16:20] [INFO] [SpeedQueue] Added unit enemy:Fucan into queue
[2025-04-18 02:16:20] [INFO] [Component] Setting air_dragon_Oowii_88eb77f9-a8bb-4ffc-a5d1-a2303b980d99 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Oowii_88eb77f9-a8bb-4ffc-a5d1-a2303b980d99","column":0,"row":5,"structure":"","height":0}.
[2025-04-18 02:16:20] [INFO] [SpeedQueue] Added unit enemy:Oowii into queue
[2025-04-18 02:16:20] [INFO] [Component] Setting dragon_Sappwo_27b73cf1-a4e5-415b-a760-b6fb657aba1c on to {"spawn_region":[],"collider":"","unit":"dragon_Sappwo_27b73cf1-a4e5-415b-a760-b6fb657aba1c","column":4,"row":7,"structure":"","height":0}.
[2025-04-18 02:16:20] [INFO] [SpeedQueue] Added unit enemy:Sappwo into queue
[2025-04-18 02:16:20] [INFO] [Component] Setting dragon_Ceirnp_6cd0e374-04c6-4732-9950-bd775260fac1 on to {"spawn_region":[],"collider":"","unit":"dragon_Ceirnp_6cd0e374-04c6-4732-9950-bd775260fac1","column":7,"row":6,"structure":"","height":0}.
[2025-04-18 02:16:20] [INFO] [SpeedQueue] Added unit enemy:Ceirnp into queue
[2025-04-18 02:16:20] [INFO] [Component] Setting water_dragon_Jurwe_0adc712f-98e1-436c-a8fe-61a576a14813 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Jurwe_0adc712f-98e1-436c-a8fe-61a576a14813","column":6,"row":7,"structure":"","height":0}.
[2025-04-18 02:16:20] [INFO] [SpeedQueue] Added unit user:Jurwe into queue
[2025-04-18 02:16:20] [INFO] [Component] Setting light_dragon_Zikaye_41f7c4e0-6200-4d97-9cff-bef82afe0c45 on to {"spawn_region":[],"collider":"","unit":"light_dragon_Zikaye_41f7c4e0-6200-4d97-9cff-bef82afe0c45","column":6,"row":3,"structure":"","height":0}.
[2025-04-18 02:16:20] [INFO] [SpeedQueue] Added unit user:Zikaye into queue
[2025-04-18 02:16:20] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 02:16:20] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 02:16:20] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 02:16:20] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 02:16:20] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 02:16:20] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 02:16:20] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 02:16:21] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 02:16:21] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_5f93088b-9828-425c-91f1-fc967fa9e6ad
[2025-04-18 02:16:21] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 02:16:21] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 02:16:21] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 02:16:21] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 02:16:21] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 02:16:21] [INFO] [VisualsSystem] Finished creating blurred background after 0.4890017807483673 seconds
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 994,184
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,201
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,215
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,229
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,239
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 912,242
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,247
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,252
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,255
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,255
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,255
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,256
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,257
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,260
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 843,261
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,264
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,272
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,273
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,275
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,277
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,281
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,283
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,285
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,287
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,288
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 615,292
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 610,294
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 599,298
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 592,301
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 584,305
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 579,308
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 568,317
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 566,319
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 559,327
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 557,329
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 550,339
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 547,346
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 543,352
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 540,359
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 537,368
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 534,376
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 532,388
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 530,396
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 530,408
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 530,412
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 530,429
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 530,434
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 530,448
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 530,451
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 530,458
[2025-04-18 02:16:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 533,463
