[2025-04-18 02:18:40] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 02:18:40] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 02:18:40] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 02:18:40] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 02:18:40] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 02:18:40] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 02:18:40] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 02:18:40] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 02:18:40] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 02:18:40] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 02:18:40] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 02:18:40] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 02:18:40] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 02:18:40] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 02:18:40] [INFO] [Component] Setting fire_dragon_Iaoyfo_2924a1d8-f53c-4dad-a02d-fc915fd5e3a1 on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Iaoyfo_2924a1d8-f53c-4dad-a02d-fc915fd5e3a1","column":7,"row":3,"structure":"","height":0}.
[2025-04-18 02:18:40] [INFO] [SpeedQueue] Added unit enemy:Iaoyfo into queue
[2025-04-18 02:18:40] [INFO] [Component] Setting water_dragon_Muxpu_b3c5a062-24be-4a3c-8d40-39baebe93981 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Muxpu_b3c5a062-24be-4a3c-8d40-39baebe93981","column":5,"row":7,"structure":"","height":0}.
[2025-04-18 02:18:40] [INFO] [SpeedQueue] Added unit enemy:Muxpu into queue
[2025-04-18 02:18:40] [INFO] [Component] Setting water_dragon_Aidaae_c2271916-f531-4e3f-983d-d5b1a19fbd3e on to {"spawn_region":[],"collider":"","unit":"water_dragon_Aidaae_c2271916-f531-4e3f-983d-d5b1a19fbd3e","column":0,"row":5,"structure":"","height":0}.
[2025-04-18 02:18:40] [INFO] [SpeedQueue] Added unit enemy:Aidaae into queue
[2025-04-18 02:18:40] [INFO] [Component] Setting water_dragon_Tyuhi_59190c5f-6733-4ee9-9356-85ec9879a767 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Tyuhi_59190c5f-6733-4ee9-9356-85ec9879a767","column":3,"row":6,"structure":"","height":0}.
[2025-04-18 02:18:40] [INFO] [SpeedQueue] Added unit enemy:Tyuhi into queue
[2025-04-18 02:18:40] [INFO] [Component] Setting water_dragon_Yedto_a3dba4a5-d285-4642-8f5a-39198f439589 on to {"spawn_region":[],"collider":"","unit":"water_dragon_Yedto_a3dba4a5-d285-4642-8f5a-39198f439589","column":7,"row":7,"structure":"","height":0}.
[2025-04-18 02:18:40] [INFO] [SpeedQueue] Added unit enemy:Yedto into queue
[2025-04-18 02:18:40] [INFO] [Component] Setting dragon_Joay_73981e21-5989-4500-bdb6-df81c05a6e71 on to {"spawn_region":[],"collider":"","unit":"dragon_Joay_73981e21-5989-4500-bdb6-df81c05a6e71","column":6,"row":7,"structure":"","height":0}.
[2025-04-18 02:18:40] [INFO] [SpeedQueue] Added unit user:Joay into queue
[2025-04-18 02:18:40] [INFO] [Component] Setting earth_dragon_Nauue_ecfa1ac5-db12-4372-8631-b749f8209819 on to {"spawn_region":[],"collider":"","unit":"earth_dragon_Nauue_ecfa1ac5-db12-4372-8631-b749f8209819","column":0,"row":4,"structure":"","height":0}.
[2025-04-18 02:18:40] [INFO] [SpeedQueue] Added unit user:Nauue into queue
[2025-04-18 02:18:40] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 02:18:40] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 02:18:40] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 02:18:40] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 02:18:40] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 02:18:41] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 02:18:41] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 02:18:41] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 02:18:41] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_c21122b8-cf99-4f0e-bb99-1cc1a6f95d83
[2025-04-18 02:18:41] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 02:18:41] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 02:18:41] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 02:18:41] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 02:18:41] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 02:18:42] [INFO] [VisualsSystem] Finished creating blurred background after 0.48640522360801697 seconds
[2025-04-18 02:45:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,474
[2025-04-18 02:45:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,468
[2025-04-18 02:45:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,461
[2025-04-18 02:45:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,455
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,438
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,424
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,393
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,387
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 641,370
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 621,356
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 597,341
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,326
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 554,312
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 535,301
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 517,292
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 502,283
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 486,275
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 471,266
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 460,261
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 457,259
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 448,255
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 441,252
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 435,250
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 430,248
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 425,247
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 422,246
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 419,246
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 417,246
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 415,246
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 413,246
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 412,246
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 411,245
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 410,245
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 410,244
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 413,242
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 420,240
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 436,235
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 456,230
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 470,228
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 494,224
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 518,220
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 546,218
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,218
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 601,218
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 625,218
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 646,218
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,218
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 683,223
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,225
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,235
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,237
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,243
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,247
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 725,251
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 726,256
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 727,259
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,261
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,266
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,269
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 720,275
[2025-04-18 02:45:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,282
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,282
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,282
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 732,282
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,282
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 754,282
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,282
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,282
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,282
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,282
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 818,285
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 832,286
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,289
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 859,291
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,292
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 956,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1084,294
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,295
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1102,296
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1113,297
[2025-04-18 02:45:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,299
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1123,162
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,160
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,159
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,157
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,156
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1072,155
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1066,154
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1062,154
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1054,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1052,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1038,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1035,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1010,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 995,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 961,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,153
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,154
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,155
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,157
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,159
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,161
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,164
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,166
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 842,168
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,171
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 827,174
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,177
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 811,180
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,183
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,187
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,191
[2025-04-18 02:45:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,196
[2025-04-18 02:45:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,200
[2025-04-18 02:45:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,204
[2025-04-18 02:45:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,210
[2025-04-18 02:45:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 733,215
[2025-04-18 02:45:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,221
[2025-04-18 02:45:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,227
[2025-04-18 02:45:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,233
[2025-04-18 02:45:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,238
[2025-04-18 02:45:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 681,240
[2025-04-18 02:45:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,245
[2025-04-18 02:45:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,251
