[2025-04-18 13:14:58] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 13:14:58] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 13:14:58] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 13:14:58] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 13:14:58] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 13:14:58] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 13:14:58] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 13:14:58] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 13:14:58] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 13:14:58] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 13:14:58] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 13:14:58] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 13:14:58] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 13:14:58] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 13:14:58] [INFO] [Component] Setting dark_dragon_Eaqv_54fc84f7-f7f7-4c1d-85ad-a407d01707c0 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Eaqv_54fc84f7-f7f7-4c1d-85ad-a407d01707c0","column":1,"row":6,"structure":"","height":0}.
[2025-04-18 13:14:58] [INFO] [SpeedQueue] Added unit enemy:Eaqv into queue
[2025-04-18 13:14:58] [INFO] [Component] Setting dark_dragon_Jadivo_efab075b-d7d2-4195-87a8-d04e63911c14 on to {"spawn_region":[],"collider":"","unit":"dark_dragon_Jadivo_efab075b-d7d2-4195-87a8-d04e63911c14","column":2,"row":1,"structure":"","height":0}.
[2025-04-18 13:14:58] [INFO] [SpeedQueue] Added unit enemy:Jadivo into queue
[2025-04-18 13:14:58] [INFO] [Component] Setting water_dragon_Cygsev_fe4c7d02-6bd4-4285-9641-ebd8c05846ed on to {"spawn_region":[],"collider":"","unit":"water_dragon_Cygsev_fe4c7d02-6bd4-4285-9641-ebd8c05846ed","column":7,"row":1,"structure":"","height":0}.
[2025-04-18 13:14:58] [INFO] [SpeedQueue] Added unit enemy:Cygsev into queue
[2025-04-18 13:14:58] [INFO] [Component] Setting fire_dragon_Feqyqe_dc6b10f0-ebb0-4607-992b-d9ee347c273d on to {"spawn_region":[],"collider":"","unit":"fire_dragon_Feqyqe_dc6b10f0-ebb0-4607-992b-d9ee347c273d","column":5,"row":1,"structure":"","height":0}.
[2025-04-18 13:14:58] [INFO] [SpeedQueue] Added unit enemy:Feqyqe into queue
[2025-04-18 13:14:58] [INFO] [Component] Setting air_dragon_Couwy_376d2dcb-e2a2-4f6c-9a4d-98e513238abf on to {"spawn_region":[],"collider":"","unit":"air_dragon_Couwy_376d2dcb-e2a2-4f6c-9a4d-98e513238abf","column":4,"row":4,"structure":"","height":0}.
[2025-04-18 13:14:58] [INFO] [SpeedQueue] Added unit enemy:Couwy into queue
[2025-04-18 13:14:58] [INFO] [Component] Setting air_dragon_Kaseut_6f3c5683-69cd-4527-a364-5384f3063606 on to {"spawn_region":[],"collider":"","unit":"air_dragon_Kaseut_6f3c5683-69cd-4527-a364-5384f3063606","column":2,"row":2,"structure":"","height":0}.
[2025-04-18 13:14:58] [INFO] [SpeedQueue] Added unit user:Kaseut into queue
[2025-04-18 13:14:58] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 13:14:58] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 13:14:58] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 13:14:58] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 13:14:58] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 13:14:59] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 13:14:59] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 13:14:59] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 13:14:59] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_5276b4b8-5936-465a-ac66-c37f2ac5d9d5
[2025-04-18 13:14:59] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 13:14:59] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 13:14:59] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 13:14:59] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 13:14:59] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 13:15:00] [INFO] [VisualsSystem] Finished creating blurred background after 0.48865461349487305 seconds
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 427,343
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,334
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,334
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,335
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 691,337
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 687,340
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 683,344
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 680,347
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,354
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,359
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,363
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,371
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,374
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 643,377
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,380
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 634,383
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 629,385
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 623,388
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 619,390
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 617,390
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 614,392
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 612,393
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 609,393
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 607,394
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 605,394
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 601,394
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 597,394
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 594,394
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 592,394
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 590,394
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 587,393
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 585,392
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 583,391
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 581,390
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 579,389
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 577,387
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 576,386
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 575,385
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,384
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 573,381
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,380
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 571,379
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 570,378
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 570,377
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 570,376
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,376
[2025-04-18 13:15:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,375
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,374
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 568,374
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,372
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 566,370
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 565,368
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 560,362
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 557,358
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 554,354
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 551,351
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 542,341
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 526,329
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 525,328
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 522,327
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 521,327
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 519,327
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 515,327
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 513,327
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 510,327
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 508,327
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 505,327
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 503,327
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 501,327
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 496,327
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 493,328
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 491,328
[2025-04-18 13:15:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 488,329
