[2025-04-18 16:29:28] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 16:29:28] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 16:29:29] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 16:29:29] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 16:29:29] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 16:29:29] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 16:29:29] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 16:29:29] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 16:29:29] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 16:29:29] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 16:29:29] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 16:29:29] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 16:29:29] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 16:29:29] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 16:29:32] [INFO] [Component] Setting fire_dragon_Oofeq_d0409d8d-e6ef-4840-b838-2d9d38431bac on to {"row":0,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Oofeq_d0409d8d-e6ef-4840-b838-2d9d38431bac","structure":""}.
[2025-04-18 16:29:32] [INFO] [SpeedQueue] Added unit enemy:Oofeq into queue
[2025-04-18 16:29:32] [INFO] [Component] Setting air_dragon_Tyreir_edbf4984-3e16-4387-9cee-b77aaa98411c on to {"row":0,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Tyreir_edbf4984-3e16-4387-9cee-b77aaa98411c","structure":""}.
[2025-04-18 16:29:32] [INFO] [SpeedQueue] Added unit enemy:Tyreir into queue
[2025-04-18 16:29:32] [INFO] [Component] Setting fire_dragon_Mirua_dfc2b6b5-db1d-4566-8a4d-c22ed626fb84 on to {"row":6,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Mirua_dfc2b6b5-db1d-4566-8a4d-c22ed626fb84","structure":""}.
[2025-04-18 16:29:32] [INFO] [SpeedQueue] Added unit enemy:Mirua into queue
[2025-04-18 16:29:32] [INFO] [Component] Setting air_dragon_Aygeeo_55648db5-f5a9-425f-bec8-f7f62df0527c on to {"row":2,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Aygeeo_55648db5-f5a9-425f-bec8-f7f62df0527c","structure":""}.
[2025-04-18 16:29:32] [INFO] [SpeedQueue] Added unit enemy:Aygeeo into queue
[2025-04-18 16:29:32] [INFO] [Component] Setting dark_dragon_Haaey_29942cce-137b-454c-8e2c-92963d015c4c on to {"row":6,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Haaey_29942cce-137b-454c-8e2c-92963d015c4c","structure":""}.
[2025-04-18 16:29:32] [INFO] [SpeedQueue] Added unit enemy:Haaey into queue
[2025-04-18 16:29:32] [INFO] [Component] Setting light_dragon_Ouat_10bcacec-9da8-4ab2-97c8-fe5136a47936 on to {"row":3,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Ouat_10bcacec-9da8-4ab2-97c8-fe5136a47936","structure":""}.
[2025-04-18 16:29:32] [INFO] [SpeedQueue] Added unit user:Ouat into queue
[2025-04-18 16:29:32] [INFO] [Component] Setting fire_dragon_Uivq_20918c9d-2878-475e-822a-43905d59bc18 on to {"row":3,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Uivq_20918c9d-2878-475e-822a-43905d59bc18","structure":""}.
[2025-04-18 16:29:32] [INFO] [SpeedQueue] Added unit user:Uivq into queue
[2025-04-18 16:29:32] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 16:29:32] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 16:29:32] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 16:29:32] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 16:29:32] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 16:29:32] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 16:29:33] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 16:29:33] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 16:29:33] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_236082b5-ff73-4c5d-94a0-7703cf334bb3
[2025-04-18 16:29:33] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 16:29:33] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 16:29:33] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 16:29:33] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 16:29:33] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 16:29:33] [INFO] [VisualsSystem] Finished creating blurred background after 0.4882873594760895 seconds
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 594,694
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 593,696
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 591,697
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 589,699
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 585,702
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 581,705
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 573,710
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,713
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 562,715
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 553,719
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 545,721
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 536,723
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 527,724
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 518,725
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 510,725
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 501,725
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 492,723
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 485,716
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 472,697
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 468,688
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 464,677
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 462,650
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 462,647
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 462,642
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 462,640
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 462,637
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 465,633
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 467,631
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 470,629
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 475,626
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 478,624
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 483,622
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 494,619
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 498,619
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 509,616
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 512,616
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 519,616
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 525,616
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 532,616
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 538,616
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 550,616
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 556,616
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 563,617
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 566,618
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 573,619
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 588,623
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 595,625
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 601,627
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 606,628
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 613,630
[2025-04-18 16:29:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 618,631
