[2025-04-18 20:14:22] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 20:14:22] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 20:14:22] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 20:14:22] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 20:14:22] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 20:14:22] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 20:14:22] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 20:14:22] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 20:14:22] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 20:14:22] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 20:14:22] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 20:14:22] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 20:14:23] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 20:14:23] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 20:14:23] [INFO] [Component] Setting air_dragon_Denuy_f79fc99b-f1b1-4214-9c24-60b6040146f1 on to {"row":1,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Denuy_f79fc99b-f1b1-4214-9c24-60b6040146f1","structure":""}.
[2025-04-18 20:14:23] [INFO] [SpeedQueue] Added unit enemy:Denuy into queue
[2025-04-18 20:14:23] [INFO] [Component] Setting fire_dragon_Iagat_c8908c3c-a5cc-46c3-9b2b-0e5600a11771 on to {"row":6,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Iagat_c8908c3c-a5cc-46c3-9b2b-0e5600a11771","structure":""}.
[2025-04-18 20:14:23] [INFO] [SpeedQueue] Added unit enemy:Iagat into queue
[2025-04-18 20:14:23] [INFO] [Component] Setting air_dragon_Jekz_60b4edae-0f1a-4153-89c8-cfd1aff88ce7 on to {"row":4,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Jekz_60b4edae-0f1a-4153-89c8-cfd1aff88ce7","structure":""}.
[2025-04-18 20:14:23] [INFO] [SpeedQueue] Added unit enemy:Jekz into queue
[2025-04-18 20:14:23] [INFO] [Component] Setting dark_dragon_Zasno_81221473-b060-4c5f-8dc4-a5394b784066 on to {"row":3,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Zasno_81221473-b060-4c5f-8dc4-a5394b784066","structure":""}.
[2025-04-18 20:14:23] [INFO] [SpeedQueue] Added unit enemy:Zasno into queue
[2025-04-18 20:14:23] [INFO] [Component] Setting light_dragon_Pisc_ca9d09ef-d072-4540-9d53-f794b8972956 on to {"row":3,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Pisc_ca9d09ef-d072-4540-9d53-f794b8972956","structure":""}.
[2025-04-18 20:14:23] [INFO] [SpeedQueue] Added unit enemy:Pisc into queue
[2025-04-18 20:14:23] [INFO] [Component] Setting air_dragon_Hontog_74473f3d-4871-4125-86fd-f6040908deb3 on to {"row":5,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Hontog_74473f3d-4871-4125-86fd-f6040908deb3","structure":""}.
[2025-04-18 20:14:23] [INFO] [SpeedQueue] Added unit user:Hontog into queue
[2025-04-18 20:14:23] [INFO] [Component] Setting dragon_Kogo_a47bc137-b15e-4237-aae7-45aa5c63f07e on to {"row":7,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Kogo_a47bc137-b15e-4237-aae7-45aa5c63f07e","structure":""}.
[2025-04-18 20:14:23] [INFO] [SpeedQueue] Added unit user:Kogo into queue
[2025-04-18 20:14:23] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 20:14:23] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 20:14:23] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 20:14:23] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 20:14:23] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 20:14:23] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 20:14:23] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 20:14:23] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 20:14:23] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_5359a71a-134e-4a8b-8681-2ee5298ac85b
[2025-04-18 20:14:23] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 20:14:23] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 20:14:23] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 20:14:23] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 20:14:23] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 20:14:24] [INFO] [VisualsSystem] Finished creating blurred background after 0.504499614238739 seconds
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,136
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 920,147
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,158
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,169
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,180
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,191
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,195
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,211
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,213
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 840,219
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 834,224
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,228
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 823,233
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,236
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,238
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,241
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 809,242
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 807,244
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 805,245
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,247
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 802,248
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,248
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,249
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,250
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,250
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,251
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,251
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,251
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,251
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,251
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,251
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,251
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,251
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,251
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,251
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,252
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,254
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,255
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,256
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,257
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,259
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 776,260
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 774,261
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,263
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,265
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,267
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,269
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,271
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,273
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,276
[2025-04-18 20:14:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,279
