[2025-04-18 22:18:26] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 22:18:26] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 22:18:26] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 22:18:26] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 22:18:26] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 22:18:26] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 22:18:26] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 22:18:26] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 22:18:26] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 22:18:26] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 22:18:26] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 22:18:26] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 22:18:27] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 22:18:27] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 22:18:27] [INFO] [Component] Setting water_dragon_Rifi_be073c48-6854-4c16-b639-cc700f28ee15 on to {"row":7,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Rifi_be073c48-6854-4c16-b639-cc700f28ee15","structure":""}.
[2025-04-18 22:18:27] [INFO] [SpeedQueue] Added unit enemy:Rifi into queue
[2025-04-18 22:18:27] [INFO] [Component] Setting fire_dragon_Eeds_9c0955bc-7962-4fa2-b17a-4cf91beb527f on to {"row":6,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Eeds_9c0955bc-7962-4fa2-b17a-4cf91beb527f","structure":""}.
[2025-04-18 22:18:27] [INFO] [SpeedQueue] Added unit enemy:Eeds into queue
[2025-04-18 22:18:27] [INFO] [Component] Setting fire_dragon_Yeeyvy_8800b104-b2f1-44f3-9cbe-021fe13ec7ee on to {"row":2,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Yeeyvy_8800b104-b2f1-44f3-9cbe-021fe13ec7ee","structure":""}.
[2025-04-18 22:18:27] [INFO] [SpeedQueue] Added unit enemy:Yeeyvy into queue
[2025-04-18 22:18:27] [INFO] [Component] Setting water_dragon_Tawh_bf701478-4e41-48e5-9c75-35ea44d80ecd on to {"row":7,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Tawh_bf701478-4e41-48e5-9c75-35ea44d80ecd","structure":""}.
[2025-04-18 22:18:27] [INFO] [SpeedQueue] Added unit enemy:Tawh into queue
[2025-04-18 22:18:27] [INFO] [Component] Setting light_dragon_Zemtuq_1a20c6e5-da84-43f7-8041-c281bfad3c56 on to {"row":3,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Zemtuq_1a20c6e5-da84-43f7-8041-c281bfad3c56","structure":""}.
[2025-04-18 22:18:27] [INFO] [SpeedQueue] Added unit enemy:Zemtuq into queue
[2025-04-18 22:18:27] [INFO] [Component] Setting dark_dragon_Reio_0432599d-0a03-4572-92dd-b1867d01d39c on to {"row":3,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Reio_0432599d-0a03-4572-92dd-b1867d01d39c","structure":""}.
[2025-04-18 22:18:27] [INFO] [SpeedQueue] Added unit user:Reio into queue
[2025-04-18 22:18:27] [INFO] [Component] Setting earth_dragon_Eejqe_16d10a3b-0366-4de1-bcd3-8ee618b7a8a4 on to {"row":6,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Eejqe_16d10a3b-0366-4de1-bcd3-8ee618b7a8a4","structure":""}.
[2025-04-18 22:18:27] [INFO] [SpeedQueue] Added unit user:Eejqe into queue
[2025-04-18 22:18:27] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 22:18:27] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 22:18:27] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:18:27] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 22:18:27] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 22:18:27] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 22:18:27] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 22:18:27] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:18:27] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_f5ac5454-7fdf-4a6d-b6ab-97a5c4d1a283
[2025-04-18 22:18:27] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 22:18:27] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 22:18:27] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 22:18:27] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 22:18:28] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 22:18:28] [INFO] [VisualsSystem] Finished creating blurred background after 0.4954889416694641 seconds
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1097,200
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,217
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,238
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1025,255
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,271
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,284
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,296
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,299
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,308
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,315
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,322
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,326
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,330
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,333
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 922,336
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 920,337
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,340
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,341
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,343
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,346
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 904,347
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,350
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,352
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,355
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 886,357
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,360
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 876,363
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,368
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 861,371
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,374
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,379
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 838,385
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 830,390
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,396
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 809,401
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,408
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,410
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,415
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,420
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,423
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,427
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,429
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,431
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 762,431
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,430
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,429
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,426
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,424
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,421
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,419
[2025-04-18 22:18:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,416
