[2025-04-18 22:26:27] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 22:26:27] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 22:26:27] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 22:26:27] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 22:26:27] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 22:26:27] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 22:26:27] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 22:26:27] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 22:26:27] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 22:26:27] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 22:26:27] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 22:26:27] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 22:26:27] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 22:26:27] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 22:26:27] [INFO] [Component] Setting earth_dragon_Duqi_069535a8-cf17-46ce-b60e-5548d7d6d752 on to {"row":4,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Duqi_069535a8-cf17-46ce-b60e-5548d7d6d752","structure":""}.
[2025-04-18 22:26:27] [INFO] [SpeedQueue] Added unit enemy:Duqi into queue
[2025-04-18 22:26:27] [INFO] [Component] Setting dark_dragon_Uexr_af0a9727-81a6-48c0-b01c-c619c5fd0831 on to {"row":7,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Uexr_af0a9727-81a6-48c0-b01c-c619c5fd0831","structure":""}.
[2025-04-18 22:26:27] [INFO] [SpeedQueue] Added unit enemy:Uexr into queue
[2025-04-18 22:26:27] [INFO] [Component] Setting fire_dragon_Jyegn_62f36d25-3a1a-43f7-863c-2a305374ec31 on to {"row":7,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Jyegn_62f36d25-3a1a-43f7-863c-2a305374ec31","structure":""}.
[2025-04-18 22:26:27] [INFO] [SpeedQueue] Added unit enemy:Jyegn into queue
[2025-04-18 22:26:27] [INFO] [Component] Setting dark_dragon_Aeiye_ef207a62-75c6-40de-a30d-17395e8266a4 on to {"row":2,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Aeiye_ef207a62-75c6-40de-a30d-17395e8266a4","structure":""}.
[2025-04-18 22:26:27] [INFO] [SpeedQueue] Added unit user:Aeiye into queue
[2025-04-18 22:26:27] [INFO] [Component] Setting dark_dragon_Buoe_cec01906-d380-477e-9ccc-0b45f3837a03 on to {"row":1,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Buoe_cec01906-d380-477e-9ccc-0b45f3837a03","structure":""}.
[2025-04-18 22:26:27] [INFO] [SpeedQueue] Added unit user:Buoe into queue
[2025-04-18 22:26:27] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 22:26:27] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 22:26:27] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:26:27] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 22:26:27] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 22:26:27] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 22:26:27] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 22:26:28] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:26:28] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_bb59e185-8d3b-45b4-a289-2a4b793e83d0
[2025-04-18 22:26:28] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 22:26:28] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 22:26:28] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 22:26:28] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 22:26:28] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 22:26:28] [INFO] [VisualsSystem] Finished creating blurred background after 0.4949365258216858 seconds
[2025-04-18 22:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,134
[2025-04-18 22:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,164
[2025-04-18 22:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,172
[2025-04-18 22:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,204
[2025-04-18 22:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,218
[2025-04-18 22:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,229
[2025-04-18 22:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 922,242
[2025-04-18 22:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,252
[2025-04-18 22:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,264
[2025-04-18 22:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 880,274
[2025-04-18 22:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 869,283
[2025-04-18 22:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,286
[2025-04-18 22:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,292
[2025-04-18 22:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,299
[2025-04-18 22:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,303
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,303
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,308
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,309
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,316
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 822,319
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 817,323
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 806,333
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,334
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,338
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,342
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,345
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,347
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,350
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,351
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,352
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,353
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,354
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,355
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,355
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,356
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,357
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,357
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,358
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,359
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,360
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,361
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,362
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,363
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 776,365
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 776,366
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 774,368
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,371
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,373
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,375
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,378
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,380
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,384
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,386
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,389
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,391
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,393
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 762,396
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,399
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,401
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,405
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,407
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,409
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 754,411
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,413
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,414
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,415
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,416
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,417
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,418
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,419
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,420
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,421
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,422
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,423
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,424
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,426
[2025-04-18 22:26:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,427
[2025-04-18 22:26:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,428
[2025-04-18 22:26:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,430
[2025-04-18 22:26:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 733,431
[2025-04-18 22:26:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 732,432
[2025-04-18 22:26:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,433
[2025-04-18 22:26:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,434
