[2025-04-18 22:29:50] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 22:29:50] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 22:29:50] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 22:29:50] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 22:29:50] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 22:29:50] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 22:29:50] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 22:29:50] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 22:29:50] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 22:29:50] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 22:29:50] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 22:29:50] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 22:29:51] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 22:29:51] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 22:29:51] [INFO] [Component] Setting fire_dragon_Zukyci_39097188-00ef-43b7-a639-d8b7c30fc901 on to {"row":0,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Zukyci_39097188-00ef-43b7-a639-d8b7c30fc901","structure":""}.
[2025-04-18 22:29:51] [INFO] [SpeedQueue] Added unit enemy:Zukyci into queue
[2025-04-18 22:29:51] [INFO] [Component] Setting fire_dragon_Diceou_0a7bb445-f485-419a-8868-e5f833fda866 on to {"row":4,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Diceou_0a7bb445-f485-419a-8868-e5f833fda866","structure":""}.
[2025-04-18 22:29:51] [INFO] [SpeedQueue] Added unit enemy:Diceou into queue
[2025-04-18 22:29:51] [INFO] [Component] Setting dark_dragon_Rewaw_268a1a09-4445-4a3d-9816-4ce6b489f38d on to {"row":1,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Rewaw_268a1a09-4445-4a3d-9816-4ce6b489f38d","structure":""}.
[2025-04-18 22:29:51] [INFO] [SpeedQueue] Added unit enemy:Rewaw into queue
[2025-04-18 22:29:51] [INFO] [Component] Setting earth_dragon_Qyury_23af8678-1ad4-41cb-bb16-3accc8f3324c on to {"row":5,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Qyury_23af8678-1ad4-41cb-bb16-3accc8f3324c","structure":""}.
[2025-04-18 22:29:51] [INFO] [SpeedQueue] Added unit user:Qyury into queue
[2025-04-18 22:29:51] [INFO] [Component] Setting dragon_Betye_d90e47fd-71fb-41ad-beaf-704977bc3ca2 on to {"row":7,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Betye_d90e47fd-71fb-41ad-beaf-704977bc3ca2","structure":""}.
[2025-04-18 22:29:51] [INFO] [SpeedQueue] Added unit user:Betye into queue
[2025-04-18 22:29:51] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 22:29:51] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 22:29:51] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:29:51] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 22:29:51] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 22:29:51] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 22:29:51] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 22:29:51] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:29:51] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_8140d0ba-5ea9-4ceb-8f0e-245007e0a3ef
[2025-04-18 22:29:51] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 22:29:51] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 22:29:51] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 22:29:51] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 22:29:52] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 22:29:52] [INFO] [VisualsSystem] Finished creating blurred background after 0.49252015352249146 seconds
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 657,522
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,517
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 623,500
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 594,484
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 568,471
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 538,455
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 508,439
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 494,432
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 465,419
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 439,406
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 417,394
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 395,382
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 376,372
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 343,352
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 330,345
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 327,342
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 319,336
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 313,329
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 308,324
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 306,319
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 304,316
[2025-04-18 22:29:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 304,310
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 309,310
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 312,310
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 319,310
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 322,310
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 329,313
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 334,315
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 340,317
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 347,319
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 352,322
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 355,325
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 360,328
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 364,330
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 370,335
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 377,341
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 379,344
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 387,350
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 391,355
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 397,360
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 402,367
[2025-04-18 22:29:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 408,373
