[2025-04-18 22:31:44] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 22:31:44] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 22:31:44] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 22:31:44] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 22:31:44] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 22:31:44] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 22:31:44] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 22:31:44] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 22:31:44] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 22:31:44] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 22:31:44] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 22:31:44] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 22:31:44] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 22:31:44] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 22:31:44] [INFO] [Component] Setting earth_dragon_Fafiyy_2bd504c0-0a4c-42c3-90cd-d48f52279a25 on to {"row":0,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Fafiyy_2bd504c0-0a4c-42c3-90cd-d48f52279a25","structure":""}.
[2025-04-18 22:31:44] [INFO] [SpeedQueue] Added unit enemy:Fafiyy into queue
[2025-04-18 22:31:44] [INFO] [Component] Setting water_dragon_Ooik_a2ab4227-214c-43f2-a8fc-fddfeed1d6da on to {"row":1,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Ooik_a2ab4227-214c-43f2-a8fc-fddfeed1d6da","structure":""}.
[2025-04-18 22:31:44] [INFO] [SpeedQueue] Added unit enemy:Ooik into queue
[2025-04-18 22:31:44] [INFO] [Component] Setting dark_dragon_Oocy_e0e609de-9431-43e5-8902-bb01ed4c2580 on to {"row":7,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Oocy_e0e609de-9431-43e5-8902-bb01ed4c2580","structure":""}.
[2025-04-18 22:31:44] [INFO] [SpeedQueue] Added unit enemy:Oocy into queue
[2025-04-18 22:31:44] [INFO] [Component] Setting dark_dragon_Qevu_27536ee7-e47b-4ff2-a4c2-a342053490ed on to {"row":6,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Qevu_27536ee7-e47b-4ff2-a4c2-a342053490ed","structure":""}.
[2025-04-18 22:31:44] [INFO] [SpeedQueue] Added unit enemy:Qevu into queue
[2025-04-18 22:31:44] [INFO] [Component] Setting fire_dragon_Peeoe_182d49be-4d1c-4aa9-9607-6f5f434eb480 on to {"row":4,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Peeoe_182d49be-4d1c-4aa9-9607-6f5f434eb480","structure":""}.
[2025-04-18 22:31:44] [INFO] [SpeedQueue] Added unit user:Peeoe into queue
[2025-04-18 22:31:44] [INFO] [Component] Setting dragon_Lyuyvg_c07b8153-e2d2-414d-874e-27bc7cfc6ab9 on to {"row":1,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Lyuyvg_c07b8153-e2d2-414d-874e-27bc7cfc6ab9","structure":""}.
[2025-04-18 22:31:44] [INFO] [SpeedQueue] Added unit user:Lyuyvg into queue
[2025-04-18 22:31:44] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 22:31:45] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 22:31:45] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:31:45] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 22:31:45] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 22:31:45] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 22:31:45] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 22:31:45] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:31:45] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_bf9262b3-e202-4369-9f85-c4e0459f3550
[2025-04-18 22:31:45] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 22:31:45] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 22:31:45] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 22:31:45] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 22:31:45] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 22:31:46] [INFO] [VisualsSystem] Finished creating blurred background after 0.49921512603759766 seconds
[2025-04-18 22:31:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1116,339
[2025-04-18 22:31:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1116,338
[2025-04-18 22:31:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1117,336
[2025-04-18 22:31:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,335
[2025-04-18 22:31:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1119,333
[2025-04-18 22:31:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,331
[2025-04-18 22:31:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,330
[2025-04-18 22:31:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1123,328
[2025-04-18 22:31:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1123,327
[2025-04-18 22:31:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,326
[2025-04-18 22:31:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,325
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 1096,57
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,63
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 975,67
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,70
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 840,77
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,80
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,82
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 701,82
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 654,82
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 613,84
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 581,84
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 557,84
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 550,84
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 536,84
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 528,84
[2025-04-18 22:31:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 521,84
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 520,84
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 514,84
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 502,83
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 491,79
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 477,74
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 457,69
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 437,63
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 395,55
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 384,53
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 360,47
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 336,43
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 316,39
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 296,35
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 276,32
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 259,28
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 239,27
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 225,23
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 208,20
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 204,20
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 195,19
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 188,18
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 187,18
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 184,18
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 175,18
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 172,19
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 167,19
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 163,20
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 158,21
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 153,22
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 148,22
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 143,22
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 139,22
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 134,22
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 125,22
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 118,22
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 112,22
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 103,22
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 95,22
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 86,22
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 83,22
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 74,20
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 67,19
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 62,17
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 58,16
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 53,15
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 50,14
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 48,13
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 46,12
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 44,11
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 42,11
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 41,10
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 39,10
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 37,9
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 36,8
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 35,8
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 33,8
[2025-04-18 22:31:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 32,8
[2025-04-18 22:31:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 33,8
