[2025-04-18 22:33:06] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 22:33:06] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 22:33:06] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 22:33:06] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 22:33:06] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 22:33:06] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 22:33:06] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 22:33:06] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 22:33:06] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 22:33:06] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 22:33:06] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 22:33:06] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 22:33:06] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 22:33:06] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 22:33:06] [INFO] [Component] Setting earth_dragon_Ziro_ac9a8041-884f-4755-b3e5-746da4573a58 on to {"row":1,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Ziro_ac9a8041-884f-4755-b3e5-746da4573a58","structure":""}.
[2025-04-18 22:33:06] [INFO] [SpeedQueue] Added unit enemy:Ziro into queue
[2025-04-18 22:33:06] [INFO] [Component] Setting dark_dragon_Wipooo_7a99b8f5-1ce5-4e2a-9e60-66c77ff001e4 on to {"row":4,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Wipooo_7a99b8f5-1ce5-4e2a-9e60-66c77ff001e4","structure":""}.
[2025-04-18 22:33:06] [INFO] [SpeedQueue] Added unit enemy:Wipooo into queue
[2025-04-18 22:33:06] [INFO] [Component] Setting dragon_Waze_ecfe0913-b36f-4af1-a8e3-1031f3df4a72 on to {"row":6,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Waze_ecfe0913-b36f-4af1-a8e3-1031f3df4a72","structure":""}.
[2025-04-18 22:33:06] [INFO] [SpeedQueue] Added unit enemy:Waze into queue
[2025-04-18 22:33:06] [INFO] [Component] Setting water_dragon_Yexru_b58de31f-2012-4d1d-8616-91705abe9e92 on to {"row":5,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Yexru_b58de31f-2012-4d1d-8616-91705abe9e92","structure":""}.
[2025-04-18 22:33:06] [INFO] [SpeedQueue] Added unit enemy:Yexru into queue
[2025-04-18 22:33:06] [INFO] [Component] Setting air_dragon_Gikyd_dfb88f47-d26e-44d8-8fff-e76fe8ee4628 on to {"row":3,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Gikyd_dfb88f47-d26e-44d8-8fff-e76fe8ee4628","structure":""}.
[2025-04-18 22:33:06] [INFO] [SpeedQueue] Added unit user:Gikyd into queue
[2025-04-18 22:33:06] [INFO] [Component] Setting fire_dragon_Oonc_3a2e8c0c-df9a-4a32-ada6-3e930b79ec96 on to {"row":7,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Oonc_3a2e8c0c-df9a-4a32-ada6-3e930b79ec96","structure":""}.
[2025-04-18 22:33:06] [INFO] [SpeedQueue] Added unit user:Oonc into queue
[2025-04-18 22:33:06] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 22:33:07] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 22:33:07] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:33:07] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 22:33:07] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 22:33:07] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 22:33:07] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 22:33:07] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:33:07] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_da97eb44-9384-4ed1-850a-5a6135975967
[2025-04-18 22:33:07] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 22:33:07] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 22:33:07] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 22:33:07] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 22:33:07] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 22:33:08] [INFO] [VisualsSystem] Finished creating blurred background after 0.4906335473060608 seconds
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,319
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 817,319
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,319
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 823,319
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 826,318
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,318
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,318
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,317
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 841,316
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,316
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,316
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,315
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,315
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,314
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,314
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 863,314
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 867,312
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 869,312
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,311
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,311
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,310
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 876,309
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,309
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,308
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,308
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,308
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 876,308
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,308
[2025-04-18 22:33:08] [INFO] [MapEditorScene] Updated hoveredTilePanes 864,308
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,308
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,307
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,304
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 885,302
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,299
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,297
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,296
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,292
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,292
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,291
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,291
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,290
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,290
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,290
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 994,289
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,287
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,286
[2025-04-18 22:33:09] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,283
