[2025-04-18 22:34:47] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 22:34:47] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 22:34:47] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 22:34:47] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 22:34:47] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 22:34:47] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 22:34:47] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 22:34:47] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 22:34:47] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 22:34:47] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 22:34:47] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 22:34:47] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 22:34:48] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 22:34:48] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 22:34:48] [INFO] [Component] Setting fire_dragon_Meolmy_f6aab98a-9806-44da-b4fa-1707750d2beb on to {"row":1,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Meolmy_f6aab98a-9806-44da-b4fa-1707750d2beb","structure":""}.
[2025-04-18 22:34:48] [INFO] [SpeedQueue] Added unit enemy:Meolmy into queue
[2025-04-18 22:34:48] [INFO] [Component] Setting air_dragon_Xypsyy_56e134f0-ddb7-429b-ae94-cbc06094c342 on to {"row":1,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Xypsyy_56e134f0-ddb7-429b-ae94-cbc06094c342","structure":""}.
[2025-04-18 22:34:48] [INFO] [SpeedQueue] Added unit enemy:Xypsyy into queue
[2025-04-18 22:34:48] [INFO] [Component] Setting water_dragon_Iidye_a7bfa2d2-a8f1-4eea-8e30-801568a2e0e8 on to {"row":1,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Iidye_a7bfa2d2-a8f1-4eea-8e30-801568a2e0e8","structure":""}.
[2025-04-18 22:34:48] [INFO] [SpeedQueue] Added unit enemy:Iidye into queue
[2025-04-18 22:34:48] [INFO] [Component] Setting fire_dragon_Aubyi_5bfc991c-725f-401a-b4b2-df2413f4402f on to {"row":4,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Aubyi_5bfc991c-725f-401a-b4b2-df2413f4402f","structure":""}.
[2025-04-18 22:34:48] [INFO] [SpeedQueue] Added unit user:Aubyi into queue
[2025-04-18 22:34:48] [INFO] [Component] Setting dark_dragon_Ryzyi_ecbbcf39-5899-4e16-ba3c-2d826283c253 on to {"row":5,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Ryzyi_ecbbcf39-5899-4e16-ba3c-2d826283c253","structure":""}.
[2025-04-18 22:34:48] [INFO] [SpeedQueue] Added unit user:Ryzyi into queue
[2025-04-18 22:34:48] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 22:34:48] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 22:34:48] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:34:48] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 22:34:48] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 22:34:48] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 22:34:48] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 22:34:48] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:34:48] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_8af164f6-367d-486d-a326-c04a081b0ca2
[2025-04-18 22:34:48] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 22:34:48] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 22:34:48] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 22:34:48] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 22:34:49] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 22:34:49] [INFO] [VisualsSystem] Finished creating blurred background after 0.49583491683006287 seconds
[2025-04-18 22:34:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1084,200
[2025-04-18 22:34:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,203
[2025-04-18 22:34:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1078,207
[2025-04-18 22:34:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1076,209
[2025-04-18 22:34:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,213
[2025-04-18 22:34:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,215
[2025-04-18 22:34:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1068,218
[2025-04-18 22:34:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1066,219
[2025-04-18 22:34:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,221
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,222
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,228
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,235
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,242
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,251
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,261
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,271
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,281
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,290
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,300
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,304
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,319
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,322
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,330
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,336
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,341
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,345
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,349
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,352
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 974,354
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,355
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,357
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,358
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,359
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,360
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 961,360
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,361
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,362
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,362
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,362
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,362
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,362
[2025-04-18 22:34:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,362
