[2025-04-18 22:35:36] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 22:35:36] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 22:35:36] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 22:35:36] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 22:35:36] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 22:35:36] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 22:35:36] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 22:35:36] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 22:35:36] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 22:35:36] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 22:35:36] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 22:35:36] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 22:35:37] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 22:35:37] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 22:35:37] [INFO] [Component] Setting dragon_Uuqyh_b59dcdbe-5396-4279-9c0c-c3cefe0fe73f on to {"row":3,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Uuqyh_b59dcdbe-5396-4279-9c0c-c3cefe0fe73f","structure":""}.
[2025-04-18 22:35:37] [INFO] [SpeedQueue] Added unit enemy:Uuqyh into queue
[2025-04-18 22:35:37] [INFO] [Component] Setting water_dragon_Dibw_1eaba6ea-92bd-4863-8d3f-b4fac0593627 on to {"row":2,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Dibw_1eaba6ea-92bd-4863-8d3f-b4fac0593627","structure":""}.
[2025-04-18 22:35:37] [INFO] [SpeedQueue] Added unit enemy:Dibw into queue
[2025-04-18 22:35:37] [INFO] [Component] Setting dragon_Iupji_e5fa3d76-0137-47c1-9203-2f8537fabd41 on to {"row":0,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Iupji_e5fa3d76-0137-47c1-9203-2f8537fabd41","structure":""}.
[2025-04-18 22:35:37] [INFO] [SpeedQueue] Added unit enemy:Iupji into queue
[2025-04-18 22:35:37] [INFO] [Component] Setting light_dragon_Xicowa_0c36e83c-535e-4300-97f3-fa2fa3717462 on to {"row":3,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Xicowa_0c36e83c-535e-4300-97f3-fa2fa3717462","structure":""}.
[2025-04-18 22:35:37] [INFO] [SpeedQueue] Added unit enemy:Xicowa into queue
[2025-04-18 22:35:37] [INFO] [Component] Setting dragon_Hyfe_93fa623b-e571-4e3a-a091-b0c0a58b0ba8 on to {"row":0,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Hyfe_93fa623b-e571-4e3a-a091-b0c0a58b0ba8","structure":""}.
[2025-04-18 22:35:37] [INFO] [SpeedQueue] Added unit enemy:Hyfe into queue
[2025-04-18 22:35:37] [INFO] [Component] Setting dark_dragon_Qeluo_bec8d33a-dde0-41bc-90b4-e8be4d24c984 on to {"row":0,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Qeluo_bec8d33a-dde0-41bc-90b4-e8be4d24c984","structure":""}.
[2025-04-18 22:35:37] [INFO] [SpeedQueue] Added unit user:Qeluo into queue
[2025-04-18 22:35:37] [INFO] [Component] Setting dark_dragon_Reqk_af4a0b44-9494-49d0-ab8f-6f5290c7e3a3 on to {"row":2,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Reqk_af4a0b44-9494-49d0-ab8f-6f5290c7e3a3","structure":""}.
[2025-04-18 22:35:37] [INFO] [SpeedQueue] Added unit user:Reqk into queue
[2025-04-18 22:35:37] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 22:35:37] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 22:35:37] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:35:37] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 22:35:37] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 22:35:37] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 22:35:37] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 22:35:37] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:35:37] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_9265fa53-3a3d-432f-a3d1-581a05228b23
[2025-04-18 22:35:37] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 22:35:37] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 22:35:37] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 22:35:37] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 22:35:37] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 22:35:38] [INFO] [VisualsSystem] Finished creating blurred background after 0.4929559826850891 seconds
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,146
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,142
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 678,133
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 553,128
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 506,123
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 407,115
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 329,101
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 309,97
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 251,85
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 210,75
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 177,63
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 157,56
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 151,52
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 139,48
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 128,43
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 122,39
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 117,36
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 114,35
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 109,33
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 105,31
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 101,29
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 97,28
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 93,27
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 84,24
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 81,23
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 74,21
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 67,20
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 61,18
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 56,16
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 51,15
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 45,12
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 41,10
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 37,8
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 33,5
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 29,3
[2025-04-18 22:35:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 25,0
