[2025-04-18 22:38:09] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 22:38:09] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 22:38:09] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 22:38:09] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 22:38:09] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 22:38:09] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 22:38:09] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 22:38:09] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 22:38:09] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 22:38:09] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 22:38:09] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 22:38:09] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 22:38:09] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 22:38:09] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 22:38:09] [INFO] [Component] Setting dark_dragon_Dudd_a98d6d30-4e48-457c-a129-f3799687366f on to {"row":1,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Dudd_a98d6d30-4e48-457c-a129-f3799687366f","structure":""}.
[2025-04-18 22:38:09] [INFO] [SpeedQueue] Added unit enemy:Dudd into queue
[2025-04-18 22:38:09] [INFO] [Component] Setting air_dragon_Vofh_e3064902-16cc-4b61-8727-039caa884c5c on to {"row":2,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Vofh_e3064902-16cc-4b61-8727-039caa884c5c","structure":""}.
[2025-04-18 22:38:09] [INFO] [SpeedQueue] Added unit enemy:Vofh into queue
[2025-04-18 22:38:09] [INFO] [Component] Setting fire_dragon_Misiy_88b548ab-3634-4cdd-aaf5-4be63ebac2f3 on to {"row":1,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Misiy_88b548ab-3634-4cdd-aaf5-4be63ebac2f3","structure":""}.
[2025-04-18 22:38:09] [INFO] [SpeedQueue] Added unit enemy:Misiy into queue
[2025-04-18 22:38:09] [INFO] [Component] Setting dragon_Mytcd_93217c1f-3387-402b-8ab7-c9b972e43bc2 on to {"row":0,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Mytcd_93217c1f-3387-402b-8ab7-c9b972e43bc2","structure":""}.
[2025-04-18 22:38:09] [INFO] [SpeedQueue] Added unit enemy:Mytcd into queue
[2025-04-18 22:38:09] [INFO] [Component] Setting air_dragon_Zuao_de2ae884-adab-4f25-a9d9-64614c0c8b27 on to {"row":6,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Zuao_de2ae884-adab-4f25-a9d9-64614c0c8b27","structure":""}.
[2025-04-18 22:38:09] [INFO] [SpeedQueue] Added unit user:Zuao into queue
[2025-04-18 22:38:09] [INFO] [Component] Setting earth_dragon_Hixy_39421c56-1409-4558-82a3-e3e6f3e918b0 on to {"row":4,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Hixy_39421c56-1409-4558-82a3-e3e6f3e918b0","structure":""}.
[2025-04-18 22:38:09] [INFO] [SpeedQueue] Added unit user:Hixy into queue
[2025-04-18 22:38:09] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 22:38:09] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 22:38:09] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:38:09] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 22:38:09] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 22:38:09] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 22:38:09] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 22:38:10] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:38:10] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_6a512113-8005-46bd-963d-f5134d66078f
[2025-04-18 22:38:10] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 22:38:10] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 22:38:10] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 22:38:10] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 22:38:10] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 22:38:10] [INFO] [VisualsSystem] Finished creating blurred background after 0.49084576964378357 seconds
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 687,407
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 688,407
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 689,407
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 690,407
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 691,406
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,406
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,406
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,406
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,406
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,406
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,406
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 699,406
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,406
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 701,406
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 702,407
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,407
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 704,407
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,407
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 706,407
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 706,408
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,408
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,408
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 709,409
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,409
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 711,410
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,410
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,410
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,410
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,411
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,412
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,412
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,413
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,413
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,414
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,415
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,416
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,417
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,419
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,420
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,422
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,424
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,428
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,430
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,433
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,436
[2025-04-18 22:38:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,438
