[2025-04-18 22:40:12] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 22:40:12] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 22:40:12] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 22:40:12] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 22:40:12] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 22:40:12] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 22:40:12] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 22:40:12] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 22:40:12] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 22:40:12] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 22:40:12] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 22:40:12] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 22:40:13] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 22:40:13] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 22:40:13] [INFO] [Component] Setting earth_dragon_Hyjyd_da7f0c72-0b63-4766-86ef-2144669af982 on to {"row":1,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Hyjyd_da7f0c72-0b63-4766-86ef-2144669af982","structure":""}.
[2025-04-18 22:40:13] [INFO] [SpeedQueue] Added unit enemy:Hyjyd into queue
[2025-04-18 22:40:13] [INFO] [Component] Setting air_dragon_Xane_8a0a2dd7-7691-418d-a97b-e74593b55a73 on to {"row":7,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Xane_8a0a2dd7-7691-418d-a97b-e74593b55a73","structure":""}.
[2025-04-18 22:40:13] [INFO] [SpeedQueue] Added unit enemy:Xane into queue
[2025-04-18 22:40:13] [INFO] [Component] Setting air_dragon_Lyyia_c6d43a54-ceb1-4c9c-8bb7-b266b68f1862 on to {"row":1,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Lyyia_c6d43a54-ceb1-4c9c-8bb7-b266b68f1862","structure":""}.
[2025-04-18 22:40:13] [INFO] [SpeedQueue] Added unit enemy:Lyyia into queue
[2025-04-18 22:40:13] [INFO] [Component] Setting water_dragon_Saxe_e1411081-ba5f-4fb2-97f9-d2fbb672c5ae on to {"row":2,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Saxe_e1411081-ba5f-4fb2-97f9-d2fbb672c5ae","structure":""}.
[2025-04-18 22:40:13] [INFO] [SpeedQueue] Added unit enemy:Saxe into queue
[2025-04-18 22:40:13] [INFO] [Component] Setting dragon_Tunom_111cfd68-aaa5-4937-bab0-1787fe0243e0 on to {"row":7,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Tunom_111cfd68-aaa5-4937-bab0-1787fe0243e0","structure":""}.
[2025-04-18 22:40:13] [INFO] [SpeedQueue] Added unit enemy:Tunom into queue
[2025-04-18 22:40:13] [INFO] [Component] Setting earth_dragon_Deqsly_7dfe21b0-20a1-4d2e-a1a6-25325dbbc882 on to {"row":7,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Deqsly_7dfe21b0-20a1-4d2e-a1a6-25325dbbc882","structure":""}.
[2025-04-18 22:40:13] [INFO] [SpeedQueue] Added unit user:Deqsly into queue
[2025-04-18 22:40:13] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 22:40:13] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 22:40:13] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:40:13] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 22:40:13] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 22:40:13] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 22:40:13] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 22:40:13] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:40:13] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_8b83ed7d-f1b3-467f-8bba-3d56266b4371
[2025-04-18 22:40:13] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 22:40:13] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 22:40:13] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 22:40:13] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 22:40:14] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 22:40:14] [INFO] [VisualsSystem] Finished creating blurred background after 0.5017151236534119 seconds
[2025-04-18 22:40:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 848,443
[2025-04-18 22:40:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,441
[2025-04-18 22:40:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 841,438
[2025-04-18 22:40:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,435
[2025-04-18 22:40:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,431
[2025-04-18 22:40:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,429
[2025-04-18 22:40:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 827,426
[2025-04-18 22:40:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 824,422
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,414
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 810,413
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,408
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,407
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 792,405
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,403
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,400
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 774,399
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,397
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 762,395
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,393
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,391
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,389
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,387
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,384
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 736,382
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 733,381
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,379
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 725,376
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,375
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,372
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,370
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,368
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 702,365
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,363
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,361
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 688,359
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 685,358
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 680,356
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 677,355
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 673,353
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,352
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,351
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,350
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,349
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,348
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,347
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 662,347
[2025-04-18 22:40:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,347
