[2025-04-18 22:40:36] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 22:40:36] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 22:40:36] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 22:40:36] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 22:40:36] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 22:40:36] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 22:40:36] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 22:40:36] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 22:40:36] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 22:40:36] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 22:40:36] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 22:40:36] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 22:40:37] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 22:40:37] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 22:40:37] [INFO] [Component] Setting dragon_Uucnsj_43c05398-03ec-4728-bc27-ad87fd26ab11 on to {"row":4,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Uucnsj_43c05398-03ec-4728-bc27-ad87fd26ab11","structure":""}.
[2025-04-18 22:40:37] [INFO] [SpeedQueue] Added unit enemy:Uucnsj into queue
[2025-04-18 22:40:37] [INFO] [Component] Setting water_dragon_Qitou_8936d20f-4b00-4246-851a-1684e1e4217a on to {"row":1,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Qitou_8936d20f-4b00-4246-851a-1684e1e4217a","structure":""}.
[2025-04-18 22:40:37] [INFO] [SpeedQueue] Added unit enemy:Qitou into queue
[2025-04-18 22:40:37] [INFO] [Component] Setting fire_dragon_Koqbv_93ab6153-eb68-4899-893e-336fa0313f7d on to {"row":7,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Koqbv_93ab6153-eb68-4899-893e-336fa0313f7d","structure":""}.
[2025-04-18 22:40:37] [INFO] [SpeedQueue] Added unit enemy:Koqbv into queue
[2025-04-18 22:40:37] [INFO] [Component] Setting air_dragon_Ioxg_b53361bc-8d5b-469b-a27c-f86052c0f912 on to {"row":2,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Ioxg_b53361bc-8d5b-469b-a27c-f86052c0f912","structure":""}.
[2025-04-18 22:40:37] [INFO] [SpeedQueue] Added unit enemy:Ioxg into queue
[2025-04-18 22:40:37] [INFO] [Component] Setting dark_dragon_Habee_19c54726-0594-4509-8e1c-e58713572ef5 on to {"row":0,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Habee_19c54726-0594-4509-8e1c-e58713572ef5","structure":""}.
[2025-04-18 22:40:37] [INFO] [SpeedQueue] Added unit enemy:Habee into queue
[2025-04-18 22:40:37] [INFO] [Component] Setting dark_dragon_Xyxa_c3a30b5c-2d92-408f-b01d-c9e552a01a3d on to {"row":4,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Xyxa_c3a30b5c-2d92-408f-b01d-c9e552a01a3d","structure":""}.
[2025-04-18 22:40:37] [INFO] [SpeedQueue] Added unit user:Xyxa into queue
[2025-04-18 22:40:37] [INFO] [Component] Setting dark_dragon_Bobeay_998a3617-33e6-47d3-a15e-86df5b3749d1 on to {"row":1,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Bobeay_998a3617-33e6-47d3-a15e-86df5b3749d1","structure":""}.
[2025-04-18 22:40:37] [INFO] [SpeedQueue] Added unit user:Bobeay into queue
[2025-04-18 22:40:37] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 22:40:37] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 22:40:37] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:40:37] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 22:40:37] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 22:40:37] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 22:40:37] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 22:40:37] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 22:40:37] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_b7328e99-161a-4b72-9b64-71a3b715e569
[2025-04-18 22:40:37] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 22:40:37] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 22:40:37] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 22:40:37] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 22:40:37] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 22:40:38] [INFO] [VisualsSystem] Finished creating blurred background after 0.4938506484031677 seconds
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,184
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,206
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,217
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,239
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,258
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,272
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,285
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,295
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,305
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 811,311
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 807,313
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,318
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,322
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 778,325
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 771,328
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,332
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 755,337
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,339
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,343
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,346
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,347
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,349
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,350
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,352
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 738,354
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,356
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,358
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 736,362
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,365
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,369
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,372
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 726,376
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,380
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 719,384
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,388
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,396
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 701,402
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,411
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 683,421
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,432
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,443
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 650,454
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 646,459
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,468
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 631,474
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 625,480
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 622,484
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 620,487
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 619,489
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 618,491
[2025-04-18 22:40:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 617,492
