[2025-04-18 23:43:48] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-18 23:43:48] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-18 23:43:48] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-18 23:43:48] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-18 23:43:48] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-18 23:43:48] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-18 23:43:48] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-18 23:43:48] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-18 23:43:48] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-18 23:43:48] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-18 23:43:48] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-18 23:43:48] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-18 23:43:49] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-18 23:43:49] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-18 23:43:49] [INFO] [Component] Setting dragon_Aira_48b78b3c-d548-4cad-88b6-6c671adc3cb0 on to {"row":4,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Aira_48b78b3c-d548-4cad-88b6-6c671adc3cb0","structure":""}.
[2025-04-18 23:43:49] [INFO] [SpeedQueue] Added unit enemy:Aira into queue
[2025-04-18 23:43:49] [INFO] [Component] Setting water_dragon_Pehhr_30b681fc-0ffa-40e2-8df3-5c956fc2425d on to {"row":4,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Pehhr_30b681fc-0ffa-40e2-8df3-5c956fc2425d","structure":""}.
[2025-04-18 23:43:49] [INFO] [SpeedQueue] Added unit enemy:Pehhr into queue
[2025-04-18 23:43:49] [INFO] [Component] Setting fire_dragon_Debpqs_19c82197-4edc-43dc-ba11-07d0d85ae7aa on to {"row":7,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Debpqs_19c82197-4edc-43dc-ba11-07d0d85ae7aa","structure":""}.
[2025-04-18 23:43:49] [INFO] [SpeedQueue] Added unit enemy:Debpqs into queue
[2025-04-18 23:43:49] [INFO] [Component] Setting fire_dragon_Qiyyh_41f0e24c-4581-4488-b218-0fab4df7aeaa on to {"row":6,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Qiyyh_41f0e24c-4581-4488-b218-0fab4df7aeaa","structure":""}.
[2025-04-18 23:43:49] [INFO] [SpeedQueue] Added unit enemy:Qiyyh into queue
[2025-04-18 23:43:49] [INFO] [Component] Setting earth_dragon_Auniue_45127cfa-1938-466c-b4d1-3dacecde59d9 on to {"row":1,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Auniue_45127cfa-1938-466c-b4d1-3dacecde59d9","structure":""}.
[2025-04-18 23:43:49] [INFO] [SpeedQueue] Added unit user:Auniue into queue
[2025-04-18 23:43:49] [INFO] [Component] Setting earth_dragon_Iund_0c3f8773-f347-4382-a173-9a551a780b6a on to {"row":6,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Iund_0c3f8773-f347-4382-a173-9a551a780b6a","structure":""}.
[2025-04-18 23:43:49] [INFO] [SpeedQueue] Added unit user:Iund into queue
[2025-04-18 23:43:49] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-18 23:43:49] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-18 23:43:49] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-18 23:43:49] [INFO] [FontPool] Started initializing FontPool
[2025-04-18 23:43:49] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-18 23:43:49] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-18 23:43:49] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-18 23:43:49] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-18 23:43:49] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_17b59ca0-0186-4edf-9a2c-f666422da15c
[2025-04-18 23:43:49] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-18 23:43:49] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-18 23:43:49] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-18 23:43:49] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-18 23:43:49] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-18 23:43:50] [INFO] [VisualsSystem] Finished creating blurred background after 0.5015338659286499 seconds
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,124
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,128
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,132
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,136
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,138
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,141
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,144
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,146
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,148
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,150
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,153
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,154
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,155
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 885,158
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,160
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,164
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,166
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,169
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 912,174
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,183
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,189
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,196
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,202
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,208
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,216
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 993,218
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,223
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,227
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,230
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,233
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,236
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,238
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,240
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,242
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1035,243
[2025-04-18 23:43:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,245
[2025-04-18 23:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,247
[2025-04-18 23:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,251
[2025-04-18 23:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,254
[2025-04-18 23:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,256
[2025-04-18 23:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,259
[2025-04-18 23:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,265
[2025-04-18 23:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,268
[2025-04-18 23:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,272
[2025-04-18 23:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,279
[2025-04-18 23:43:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,282
