[2025-04-19 01:05:19] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 01:05:19] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 01:05:19] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 01:05:19] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 01:05:19] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 01:05:19] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 01:05:19] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 01:05:19] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 01:05:19] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 01:05:19] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 01:05:19] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 01:05:19] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 01:05:19] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 01:05:19] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 01:05:19] [INFO] [Component] Setting dark_dragon_Nuuoy_c6697ca4-7f39-4ad4-9288-ef6a7fb1198b on to {"row":5,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Nuuoy_c6697ca4-7f39-4ad4-9288-ef6a7fb1198b","structure":""}.
[2025-04-19 01:05:19] [INFO] [SpeedQueue] Added unit enemy:Nuuoy into queue
[2025-04-19 01:05:19] [INFO] [Component] Setting air_dragon_Uowo_998f981f-eb11-494b-8e1b-0ec923ad8f28 on to {"row":6,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Uowo_998f981f-eb11-494b-8e1b-0ec923ad8f28","structure":""}.
[2025-04-19 01:05:19] [INFO] [SpeedQueue] Added unit enemy:Uowo into queue
[2025-04-19 01:05:19] [INFO] [Component] Setting earth_dragon_Kemyv_39a9698d-030e-439f-a2d9-0d23a5b08297 on to {"row":5,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Kemyv_39a9698d-030e-439f-a2d9-0d23a5b08297","structure":""}.
[2025-04-19 01:05:19] [INFO] [SpeedQueue] Added unit enemy:Kemyv into queue
[2025-04-19 01:05:19] [INFO] [Component] Setting dark_dragon_Ouloe_d473c8a0-aa7b-4c23-ac2c-e2bec44b656d on to {"row":2,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Ouloe_d473c8a0-aa7b-4c23-ac2c-e2bec44b656d","structure":""}.
[2025-04-19 01:05:19] [INFO] [SpeedQueue] Added unit enemy:Ouloe into queue
[2025-04-19 01:05:19] [INFO] [Component] Setting dragon_Houmg_d887bc4f-a1a2-4a39-95b1-997f990d0802 on to {"row":0,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Houmg_d887bc4f-a1a2-4a39-95b1-997f990d0802","structure":""}.
[2025-04-19 01:05:19] [INFO] [SpeedQueue] Added unit enemy:Houmg into queue
[2025-04-19 01:05:19] [INFO] [Component] Setting water_dragon_Gebow_9b979dc5-fdc6-47fc-bd86-39814288df9b on to {"row":2,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Gebow_9b979dc5-fdc6-47fc-bd86-39814288df9b","structure":""}.
[2025-04-19 01:05:19] [INFO] [SpeedQueue] Added unit user:Gebow into queue
[2025-04-19 01:05:19] [INFO] [Component] Setting earth_dragon_Coujbu_c8477de0-296c-498c-966a-cd1afec5f317 on to {"row":6,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Coujbu_c8477de0-296c-498c-966a-cd1afec5f317","structure":""}.
[2025-04-19 01:05:19] [INFO] [SpeedQueue] Added unit user:Coujbu into queue
[2025-04-19 01:05:19] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 01:05:19] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 01:05:19] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:05:19] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 01:05:19] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 01:05:19] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 01:05:20] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 01:05:20] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:05:20] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_e11bf4ef-1cb1-4ec6-b0e3-8ab77c1fcdc9
[2025-04-19 01:05:20] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 01:05:20] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 01:05:20] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 01:05:20] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 01:05:20] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 01:05:20] [INFO] [VisualsSystem] Finished creating blurred background after 0.504435122013092 seconds
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,469
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 789,469
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,423
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1022,423
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,423
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,423
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,422
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,420
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,420
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1029,419
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,416
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,412
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,411
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1064,405
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1072,401
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1077,398
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1083,396
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1090,393
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1095,391
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,388
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,386
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1111,384
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1114,382
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1117,380
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,379
[2025-04-19 01:05:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1123,378
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1102,250
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1074,252
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,260
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,269
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,272
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,280
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,284
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,288
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,292
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,296
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,297
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,298
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,299
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,300
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 933,300
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,298
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 938,297
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 944,293
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,290
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 955,287
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,284
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,282
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,279
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,276
[2025-04-19 01:05:22] [INFO] [MapEditorScene] Updated hoveredTilePanes 984,271
