[2025-04-19 01:13:05] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 01:13:05] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 01:13:05] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 01:13:05] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 01:13:05] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 01:13:05] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 01:13:05] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 01:13:05] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 01:13:05] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 01:13:05] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 01:13:05] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 01:13:05] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 01:13:05] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 01:13:05] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 01:13:05] [INFO] [Component] Setting fire_dragon_Bamm_8fab895d-c716-48a6-a42e-0c49b20f244b on to {"row":3,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Bamm_8fab895d-c716-48a6-a42e-0c49b20f244b","structure":""}.
[2025-04-19 01:13:05] [INFO] [SpeedQueue] Added unit enemy:Bamm into queue
[2025-04-19 01:13:05] [INFO] [Component] Setting light_dragon_Fiwo_fc8c6cb0-430a-46ba-ab3c-977fe6081511 on to {"row":4,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Fiwo_fc8c6cb0-430a-46ba-ab3c-977fe6081511","structure":""}.
[2025-04-19 01:13:05] [INFO] [SpeedQueue] Added unit enemy:Fiwo into queue
[2025-04-19 01:13:05] [INFO] [Component] Setting water_dragon_Uitnio_8c861be7-9462-4688-b08b-be4618a813ae on to {"row":6,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Uitnio_8c861be7-9462-4688-b08b-be4618a813ae","structure":""}.
[2025-04-19 01:13:05] [INFO] [SpeedQueue] Added unit enemy:Uitnio into queue
[2025-04-19 01:13:05] [INFO] [Component] Setting fire_dragon_Vebk_f5072dec-7100-4086-9b14-ebcc598e5ac4 on to {"row":6,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Vebk_f5072dec-7100-4086-9b14-ebcc598e5ac4","structure":""}.
[2025-04-19 01:13:05] [INFO] [SpeedQueue] Added unit enemy:Vebk into queue
[2025-04-19 01:13:05] [INFO] [Component] Setting dragon_Wimhm_88499a51-9c7d-41c8-8076-1df65bea79e2 on to {"row":2,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Wimhm_88499a51-9c7d-41c8-8076-1df65bea79e2","structure":""}.
[2025-04-19 01:13:05] [INFO] [SpeedQueue] Added unit enemy:Wimhm into queue
[2025-04-19 01:13:05] [INFO] [Component] Setting dragon_Uahoy_27a3ad7a-e405-4d88-86b3-b4ac724d723c on to {"row":3,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Uahoy_27a3ad7a-e405-4d88-86b3-b4ac724d723c","structure":""}.
[2025-04-19 01:13:05] [INFO] [SpeedQueue] Added unit user:Uahoy into queue
[2025-04-19 01:13:05] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 01:13:05] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 01:13:05] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:13:05] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 01:13:05] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 01:13:05] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 01:13:06] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 01:13:06] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:13:06] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_a243a1ec-37b7-4b5e-a4af-abd52ebd76d0
[2025-04-19 01:13:06] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 01:13:06] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 01:13:06] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 01:13:06] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 01:13:06] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 01:13:06] [INFO] [VisualsSystem] Finished creating blurred background after 0.4921417534351349 seconds
[2025-04-19 01:13:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1122,311
[2025-04-19 01:13:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,314
[2025-04-19 01:13:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,316
[2025-04-19 01:13:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,318
[2025-04-19 01:13:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,319
[2025-04-19 01:13:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,320
[2025-04-19 01:13:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,321
[2025-04-19 01:13:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,322
[2025-04-19 01:13:07] [INFO] [MapEditorScene] Updated hoveredTilePanes 1122,322
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1115,338
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,336
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,334
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,330
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,328
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,323
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,318
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,316
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 885,314
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 861,310
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 840,307
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,305
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,303
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,300
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,298
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,298
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 762,297
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,296
[2025-04-19 01:13:13] [INFO] [MapEditorScene] Updated hoveredTilePanes 748,295
[2025-04-19 01:13:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,295
[2025-04-19 01:13:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,295
[2025-04-19 01:13:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,293
[2025-04-19 01:13:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 823,290
[2025-04-19 01:13:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,285
[2025-04-19 01:13:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 923,282
[2025-04-19 01:13:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,279
[2025-04-19 01:13:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,279
[2025-04-19 01:13:14] [INFO] [MapEditorScene] Updated hoveredTilePanes 1102,279
[2025-04-19 01:13:15] [INFO] [MapEditorScene] Updated hoveredTilePanes 1115,236
[2025-04-19 01:13:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1098,236
[2025-04-19 01:13:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1081,236
[2025-04-19 01:13:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1061,236
[2025-04-19 01:13:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,236
[2025-04-19 01:13:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,236
[2025-04-19 01:13:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,236
[2025-04-19 01:13:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,236
[2025-04-19 01:13:16] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,236
