[2025-04-19 01:22:00] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 01:22:00] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 01:22:00] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 01:22:00] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 01:22:00] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 01:22:00] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 01:22:00] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 01:22:00] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 01:22:00] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 01:22:00] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 01:22:00] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 01:22:00] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 01:22:01] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 01:22:01] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 01:22:01] [INFO] [Component] Setting water_dragon_Qece_aed3efd6-d684-4487-99c3-dc10c383b9fe on to {"row":1,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Qece_aed3efd6-d684-4487-99c3-dc10c383b9fe","structure":""}.
[2025-04-19 01:22:01] [INFO] [SpeedQueue] Added unit enemy:Qece into queue
[2025-04-19 01:22:01] [INFO] [Component] Setting water_dragon_Rygt_6e53472e-cc8b-423a-b677-5da8ceff7a42 on to {"row":3,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Rygt_6e53472e-cc8b-423a-b677-5da8ceff7a42","structure":""}.
[2025-04-19 01:22:01] [INFO] [SpeedQueue] Added unit enemy:Rygt into queue
[2025-04-19 01:22:01] [INFO] [Component] Setting earth_dragon_Jivj_ec0be20f-050e-4e59-9b19-da0bdfe20c4e on to {"row":2,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Jivj_ec0be20f-050e-4e59-9b19-da0bdfe20c4e","structure":""}.
[2025-04-19 01:22:01] [INFO] [SpeedQueue] Added unit enemy:Jivj into queue
[2025-04-19 01:22:01] [INFO] [Component] Setting fire_dragon_Mevt_fc4fbd21-21f8-4665-8bff-497a70ce25b8 on to {"row":6,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Mevt_fc4fbd21-21f8-4665-8bff-497a70ce25b8","structure":""}.
[2025-04-19 01:22:01] [INFO] [SpeedQueue] Added unit enemy:Mevt into queue
[2025-04-19 01:22:01] [INFO] [Component] Setting dark_dragon_Vyteox_6c775e0c-31fb-4226-8679-abb0d0624841 on to {"row":4,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Vyteox_6c775e0c-31fb-4226-8679-abb0d0624841","structure":""}.
[2025-04-19 01:22:01] [INFO] [SpeedQueue] Added unit user:Vyteox into queue
[2025-04-19 01:22:01] [INFO] [Component] Setting earth_dragon_Saveye_ddbcca13-bccf-433b-abc7-6c3b738f4006 on to {"row":1,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Saveye_ddbcca13-bccf-433b-abc7-6c3b738f4006","structure":""}.
[2025-04-19 01:22:01] [INFO] [SpeedQueue] Added unit user:Saveye into queue
[2025-04-19 01:22:01] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 01:22:01] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 01:22:01] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:22:01] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 01:22:01] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 01:22:01] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 01:22:01] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 01:22:01] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:22:01] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_2720bb54-be22-41cc-8f61-2e8ed949037b
[2025-04-19 01:22:02] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 01:22:02] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 01:22:02] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 01:22:02] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 01:22:02] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 01:22:02] [INFO] [VisualsSystem] Finished creating blurred background after 0.4944116175174713 seconds
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 1096,346
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,346
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,344
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 1035,344
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 1011,344
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,344
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,343
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,339
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,339
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 923,335
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,333
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,332
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,330
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,328
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,326
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,325
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 885,323
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,322
[2025-04-19 01:22:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 886,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 898,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 933,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 955,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 974,321
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 975,322
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,322
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,322
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,323
[2025-04-19 01:22:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,323
[2025-04-19 01:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,323
[2025-04-19 01:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,323
[2025-04-19 01:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,322
[2025-04-19 01:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,318
[2025-04-19 01:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 894,311
[2025-04-19 01:22:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 816,294
