[2025-04-19 01:22:15] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 01:22:15] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 01:22:15] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 01:22:15] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 01:22:15] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 01:22:15] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 01:22:15] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 01:22:15] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 01:22:15] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 01:22:15] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 01:22:15] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 01:22:15] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 01:22:15] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 01:22:15] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 01:22:16] [INFO] [Component] Setting earth_dragon_Nohg_6fcb5b3d-6df9-41c6-b0aa-8dc10a90988d on to {"row":3,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Nohg_6fcb5b3d-6df9-41c6-b0aa-8dc10a90988d","structure":""}.
[2025-04-19 01:22:16] [INFO] [SpeedQueue] Added unit enemy:Nohg into queue
[2025-04-19 01:22:16] [INFO] [Component] Setting dragon_Bypgxw_32442050-24b2-47ee-b3e1-c60102f22909 on to {"row":7,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Bypgxw_32442050-24b2-47ee-b3e1-c60102f22909","structure":""}.
[2025-04-19 01:22:16] [INFO] [SpeedQueue] Added unit enemy:Bypgxw into queue
[2025-04-19 01:22:16] [INFO] [Component] Setting earth_dragon_Ouqgyy_c5c7ea4f-aca6-4332-91a3-179631cda119 on to {"row":1,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Ouqgyy_c5c7ea4f-aca6-4332-91a3-179631cda119","structure":""}.
[2025-04-19 01:22:16] [INFO] [SpeedQueue] Added unit enemy:Ouqgyy into queue
[2025-04-19 01:22:16] [INFO] [Component] Setting light_dragon_Myhyoq_007128d3-9809-4dbd-85bc-62c95628e8a7 on to {"row":6,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Myhyoq_007128d3-9809-4dbd-85bc-62c95628e8a7","structure":""}.
[2025-04-19 01:22:16] [INFO] [SpeedQueue] Added unit enemy:Myhyoq into queue
[2025-04-19 01:22:16] [INFO] [Component] Setting light_dragon_Aacx_938f4410-5b01-4f00-93b3-1916e954e6e9 on to {"row":3,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Aacx_938f4410-5b01-4f00-93b3-1916e954e6e9","structure":""}.
[2025-04-19 01:22:16] [INFO] [SpeedQueue] Added unit user:Aacx into queue
[2025-04-19 01:22:16] [INFO] [Component] Setting light_dragon_Iaryeu_0560f9f6-ff3c-4c03-9ea8-516ebd1f4e6e on to {"row":3,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Iaryeu_0560f9f6-ff3c-4c03-9ea8-516ebd1f4e6e","structure":""}.
[2025-04-19 01:22:16] [INFO] [SpeedQueue] Added unit user:Iaryeu into queue
[2025-04-19 01:22:16] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 01:22:16] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 01:22:16] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:22:16] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 01:22:16] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 01:22:16] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 01:22:16] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 01:22:16] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:22:16] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_85f2f7ce-8358-4617-b6a0-dff36559a333
[2025-04-19 01:22:16] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 01:22:16] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 01:22:16] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 01:22:16] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 01:22:16] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 01:22:17] [INFO] [VisualsSystem] Finished creating blurred background after 0.486325204372406 seconds
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,274
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,266
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1119,259
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1117,248
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1116,239
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1114,230
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,222
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,213
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,205
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,194
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1083,186
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,174
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,164
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,154
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 1007,137
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,123
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,108
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,96
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,85
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,71
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 743,61
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 680,55
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 616,52
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 552,52
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 481,52
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 418,52
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 360,52
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 302,52
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 244,58
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 186,70
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 166,75
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 124,86
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 88,96
[2025-04-19 01:22:24] [INFO] [MapEditorScene] Updated hoveredTilePanes 60,102
[2025-04-19 01:22:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 51,104
[2025-04-19 01:22:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 34,108
[2025-04-19 01:22:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 20,111
[2025-04-19 01:22:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 12,112
[2025-04-19 01:22:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 7,113
[2025-04-19 01:22:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 4,113
[2025-04-19 01:22:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 3,113
[2025-04-19 01:22:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 1,113
[2025-04-19 01:22:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 1,112
[2025-04-19 01:22:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 3,110
[2025-04-19 01:22:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 4,107
[2025-04-19 01:22:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 6,104
[2025-04-19 01:22:25] [INFO] [MapEditorScene] Updated hoveredTilePanes 7,102
