[2025-04-19 01:24:37] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 01:24:37] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 01:24:37] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 01:24:37] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 01:24:37] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 01:24:37] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 01:24:37] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 01:24:37] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 01:24:37] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 01:24:37] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 01:24:37] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 01:24:37] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 01:24:37] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 01:24:37] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 01:24:37] [INFO] [Component] Setting light_dragon_Jyczy_45be0070-9869-4dd1-8d15-a6f5f693c8c1 on to {"row":7,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Jyczy_45be0070-9869-4dd1-8d15-a6f5f693c8c1","structure":""}.
[2025-04-19 01:24:37] [INFO] [SpeedQueue] Added unit enemy:Jyczy into queue
[2025-04-19 01:24:37] [INFO] [Component] Setting air_dragon_Uyboug_f2eefb07-7941-46db-9c10-1f0427cb4538 on to {"row":6,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Uyboug_f2eefb07-7941-46db-9c10-1f0427cb4538","structure":""}.
[2025-04-19 01:24:37] [INFO] [SpeedQueue] Added unit enemy:Uyboug into queue
[2025-04-19 01:24:37] [INFO] [Component] Setting air_dragon_Yutxak_8e8f5f26-789f-4e1e-90d2-87a1efef0433 on to {"row":7,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Yutxak_8e8f5f26-789f-4e1e-90d2-87a1efef0433","structure":""}.
[2025-04-19 01:24:37] [INFO] [SpeedQueue] Added unit enemy:Yutxak into queue
[2025-04-19 01:24:37] [INFO] [Component] Setting light_dragon_Biarvi_afaba31d-7a9d-4721-a040-152de09dff74 on to {"row":3,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Biarvi_afaba31d-7a9d-4721-a040-152de09dff74","structure":""}.
[2025-04-19 01:24:37] [INFO] [SpeedQueue] Added unit user:Biarvi into queue
[2025-04-19 01:24:37] [INFO] [Component] Setting air_dragon_Iobv_43a3631b-9c5a-4e6e-b372-e8f1c6122a8c on to {"row":2,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Iobv_43a3631b-9c5a-4e6e-b372-e8f1c6122a8c","structure":""}.
[2025-04-19 01:24:37] [INFO] [SpeedQueue] Added unit user:Iobv into queue
[2025-04-19 01:24:37] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 01:24:37] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 01:24:37] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:24:37] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 01:24:37] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 01:24:37] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 01:24:37] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 01:24:38] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:24:38] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_30bb9385-4287-4ee1-9c4b-a7011ec7a21e
[2025-04-19 01:24:38] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 01:24:38] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 01:24:38] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 01:24:38] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 01:24:38] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 01:24:38] [INFO] [VisualsSystem] Finished creating blurred background after 0.4963095784187317 seconds
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1112,214
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1107,218
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,222
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1098,225
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1094,228
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1093,229
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,230
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,231
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,234
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,237
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,241
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,244
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,247
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,250
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,254
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1090,257
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1089,259
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1089,262
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1089,265
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,269
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,272
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,275
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,278
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,282
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,286
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,290
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,295
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,298
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1089,303
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1090,306
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,309
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1093,312
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1094,316
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1096,318
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1097,321
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1100,323
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,324
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1103,327
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,327
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,329
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1107,330
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1108,330
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1109,331
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,331
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1111,332
[2025-04-19 01:24:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1111,333
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1115,332
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1117,332
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1119,330
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1122,329
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,329
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,326
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1122,327
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,327
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,327
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1115,327
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1112,328
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1108,328
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1105,329
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1096,330
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1093,330
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1087,331
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1075,333
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,334
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,334
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,335
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,335
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,335
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1020,335
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,335
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 990,335
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 973,335
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 956,335
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,335
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,332
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,329
[2025-04-19 01:24:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,325
