[2025-04-19 01:25:25] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 01:25:25] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 01:25:25] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 01:25:25] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 01:25:25] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 01:25:25] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 01:25:25] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 01:25:25] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 01:25:25] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 01:25:25] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 01:25:25] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 01:25:25] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 01:25:25] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 01:25:25] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 01:25:25] [INFO] [Component] Setting light_dragon_Jurue_cec29604-814a-45a2-aa8d-449f120fa586 on to {"row":6,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Jurue_cec29604-814a-45a2-aa8d-449f120fa586","structure":""}.
[2025-04-19 01:25:25] [INFO] [SpeedQueue] Added unit enemy:Jurue into queue
[2025-04-19 01:25:25] [INFO] [Component] Setting dragon_Karno_e3deff85-d5c3-49d6-b2a0-80f782e00f01 on to {"row":1,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Karno_e3deff85-d5c3-49d6-b2a0-80f782e00f01","structure":""}.
[2025-04-19 01:25:25] [INFO] [SpeedQueue] Added unit enemy:Karno into queue
[2025-04-19 01:25:25] [INFO] [Component] Setting fire_dragon_Oyzuol_7f81eb83-4923-43e1-a775-df0a71184e93 on to {"row":3,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Oyzuol_7f81eb83-4923-43e1-a775-df0a71184e93","structure":""}.
[2025-04-19 01:25:25] [INFO] [SpeedQueue] Added unit enemy:Oyzuol into queue
[2025-04-19 01:25:25] [INFO] [Component] Setting fire_dragon_Iooa_d63a5534-7ce5-4702-b2a8-c56e262e0d2d on to {"row":6,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Iooa_d63a5534-7ce5-4702-b2a8-c56e262e0d2d","structure":""}.
[2025-04-19 01:25:25] [INFO] [SpeedQueue] Added unit user:Iooa into queue
[2025-04-19 01:25:25] [INFO] [Component] Setting light_dragon_Dako_9409c7bd-075b-4d4e-b12d-6520d28b2a83 on to {"row":4,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Dako_9409c7bd-075b-4d4e-b12d-6520d28b2a83","structure":""}.
[2025-04-19 01:25:25] [INFO] [SpeedQueue] Added unit user:Dako into queue
[2025-04-19 01:25:25] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 01:25:26] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 01:25:26] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:25:26] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 01:25:26] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 01:25:26] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 01:25:26] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 01:25:26] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:25:26] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_edcc15c5-5d1d-487a-bba5-20289b76ae62
[2025-04-19 01:25:26] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 01:25:26] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 01:25:26] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 01:25:26] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 01:25:26] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 01:25:27] [INFO] [VisualsSystem] Finished creating blurred background after 0.492628812789917 seconds
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,121
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 923,123
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,124
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 920,125
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,126
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,127
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,127
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,128
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,129
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,130
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,130
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,131
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,131
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,132
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,132
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 912,133
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,135
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,136
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,139
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,142
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,146
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,151
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,154
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 884,157
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,160
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,165
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,168
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,170
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,174
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,178
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 848,180
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 843,183
[2025-04-19 01:25:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,186
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,187
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,189
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,192
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 826,194
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 822,195
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,198
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 817,199
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 814,202
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 810,205
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,210
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,214
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,221
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,227
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,233
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,241
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,251
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,260
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,270
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,280
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 733,290
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,294
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,310
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,320
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,328
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,335
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 688,346
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 682,353
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 675,363
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 668,373
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,380
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,385
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 653,393
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,398
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,403
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 640,409
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,413
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 635,417
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 633,420
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 632,422
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 630,424
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 629,425
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 629,427
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 628,429
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 627,431
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 626,433
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 625,435
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 624,438
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 623,440
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 622,442
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 622,443
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 621,445
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 621,446
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 621,447
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 620,447
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 622,447
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 625,447
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 630,445
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 633,445
[2025-04-19 01:25:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 640,442
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,440
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,439
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,438
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 675,436
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,435
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,433
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 709,433
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,433
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,433
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,433
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,433
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,433
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,433
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,433
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 808,433
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,433
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,435
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,435
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,435
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,436
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,436
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 865,436
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,436
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,436
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,436
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,436
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,433
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,431
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,431
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,431
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,431
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,431
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,431
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,431
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 923,431
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,431
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 938,431
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,431
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,430
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,430
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,430
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 984,429
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,428
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 994,427
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,426
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1010,426
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,424
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1025,423
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,422
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1038,421
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,420
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,419
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,417
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,416
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,416
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1061,415
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1062,414
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1064,414
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,414
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1066,413
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1067,413
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1068,412
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,412
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,411
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,410
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,409
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1070,408
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1071,407
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,405
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1074,403
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1076,401
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,398
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1081,396
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1084,393
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,390
[2025-04-19 01:25:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 1091,387
[2025-04-19 01:25:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1095,384
[2025-04-19 01:25:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1099,381
[2025-04-19 01:25:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1103,378
[2025-04-19 01:25:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1108,375
[2025-04-19 01:25:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,373
[2025-04-19 01:25:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1114,370
[2025-04-19 01:25:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1116,367
[2025-04-19 01:25:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,366
[2025-04-19 01:25:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,363
[2025-04-19 01:25:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1123,362
[2025-04-19 01:25:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 1124,361
[2025-04-19 01:25:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 1123,315
[2025-04-19 01:25:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 1118,314
[2025-04-19 01:25:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 1111,313
[2025-04-19 01:25:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,310
[2025-04-19 01:25:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 1098,308
[2025-04-19 01:25:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 1089,304
[2025-04-19 01:25:38] [INFO] [MapEditorScene] Updated hoveredTilePanes 1084,300
[2025-04-19 01:25:38] [INFO] [MapEditorScene] Updated hoveredTilePanes 1077,294
[2025-04-19 01:25:38] [INFO] [MapEditorScene] Updated hoveredTilePanes 1072,284
[2025-04-19 01:25:38] [INFO] [MapEditorScene] Updated hoveredTilePanes 1068,273
[2025-04-19 01:25:38] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,245
[2025-04-19 01:25:38] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,221
[2025-04-19 01:25:38] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,221
[2025-04-19 01:25:38] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,221
