[2025-04-19 01:32:40] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 01:32:40] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 01:32:40] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 01:32:40] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 01:32:40] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 01:32:40] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 01:32:40] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 01:32:40] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 01:32:40] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 01:32:40] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 01:32:40] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 01:32:40] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 01:32:40] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 01:32:40] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 01:32:40] [INFO] [Component] Setting light_dragon_Sayv_6a62d0b2-d1b8-49a4-956f-6c4d1160f770 on to {"row":1,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Sayv_6a62d0b2-d1b8-49a4-956f-6c4d1160f770","structure":""}.
[2025-04-19 01:32:40] [INFO] [SpeedQueue] Added unit enemy:Sayv into queue
[2025-04-19 01:32:40] [INFO] [Component] Setting dragon_Tyfu_1765de1e-3916-474b-ad22-10cf30256925 on to {"row":6,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Tyfu_1765de1e-3916-474b-ad22-10cf30256925","structure":""}.
[2025-04-19 01:32:40] [INFO] [SpeedQueue] Added unit enemy:Tyfu into queue
[2025-04-19 01:32:40] [INFO] [Component] Setting water_dragon_Ryhez_ee54e03b-2431-49b1-9b71-a962c7421678 on to {"row":6,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Ryhez_ee54e03b-2431-49b1-9b71-a962c7421678","structure":""}.
[2025-04-19 01:32:40] [INFO] [SpeedQueue] Added unit enemy:Ryhez into queue
[2025-04-19 01:32:40] [INFO] [Component] Setting dragon_Dofe_1f4bdb1a-2ed4-4c01-96cb-ea8b91811669 on to {"row":2,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Dofe_1f4bdb1a-2ed4-4c01-96cb-ea8b91811669","structure":""}.
[2025-04-19 01:32:40] [INFO] [SpeedQueue] Added unit enemy:Dofe into queue
[2025-04-19 01:32:40] [INFO] [Component] Setting earth_dragon_Boelu_80266d5c-4998-4cee-855b-ab8155b82426 on to {"row":5,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Boelu_80266d5c-4998-4cee-855b-ab8155b82426","structure":""}.
[2025-04-19 01:32:40] [INFO] [SpeedQueue] Added unit user:Boelu into queue
[2025-04-19 01:32:40] [INFO] [Component] Setting dragon_Qoeeq_d0df51ea-df2d-40e8-becb-4e22326d1f3f on to {"row":1,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Qoeeq_d0df51ea-df2d-40e8-becb-4e22326d1f3f","structure":""}.
[2025-04-19 01:32:40] [INFO] [SpeedQueue] Added unit user:Qoeeq into queue
[2025-04-19 01:32:40] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 01:32:41] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 01:32:41] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:32:41] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 01:32:41] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 01:32:41] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 01:32:41] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 01:32:41] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:32:41] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_fbaae609-195d-4bb8-a410-3f633003628c
[2025-04-19 01:32:41] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 01:32:41] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 01:32:41] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 01:32:41] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 01:32:41] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 01:32:42] [INFO] [VisualsSystem] Finished creating blurred background after 0.49409019947052 seconds
[2025-04-19 01:32:42] [INFO] [MapEditorScene] Updated hoveredTilePanes 668,770
[2025-04-19 01:32:42] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,770
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,769
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,769
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,768
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,768
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,767
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,767
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 662,767
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 662,765
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,764
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,760
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,756
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,756
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 659,754
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,753
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 657,752
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,750
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 654,748
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,746
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,742
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 646,738
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 644,736
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,728
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 634,723
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 627,715
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 621,708
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 615,700
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 608,691
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 601,681
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 592,670
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 583,662
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,651
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 568,643
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 560,635
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 552,629
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 548,626
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 535,614
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 531,612
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 526,608
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 518,603
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 514,600
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 509,597
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 505,594
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 500,592
[2025-04-19 01:32:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 496,590
