[2025-04-19 01:34:15] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 01:34:15] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 01:34:16] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 01:34:16] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 01:34:16] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 01:34:16] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 01:34:16] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 01:34:16] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 01:34:16] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 01:34:16] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 01:34:16] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 01:34:16] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 01:34:16] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 01:34:16] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 01:34:16] [INFO] [Component] Setting fire_dragon_Qoso_f3ce76de-dcef-4ad6-a8cd-656bc0db69d3 on to {"row":1,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Qoso_f3ce76de-dcef-4ad6-a8cd-656bc0db69d3","structure":""}.
[2025-04-19 01:34:16] [INFO] [SpeedQueue] Added unit enemy:Qoso into queue
[2025-04-19 01:34:16] [INFO] [Component] Setting air_dragon_Noote_7535019c-8094-4696-8040-6ba3824fc4b4 on to {"row":5,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Noote_7535019c-8094-4696-8040-6ba3824fc4b4","structure":""}.
[2025-04-19 01:34:16] [INFO] [SpeedQueue] Added unit enemy:Noote into queue
[2025-04-19 01:34:16] [INFO] [Component] Setting dark_dragon_Mymw_b19922c4-e41c-4430-9e33-3af9feb919d8 on to {"row":2,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Mymw_b19922c4-e41c-4430-9e33-3af9feb919d8","structure":""}.
[2025-04-19 01:34:16] [INFO] [SpeedQueue] Added unit enemy:Mymw into queue
[2025-04-19 01:34:16] [INFO] [Component] Setting fire_dragon_Rahzy_25666158-5ba0-434b-8504-c8637341f7f8 on to {"row":5,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Rahzy_25666158-5ba0-434b-8504-c8637341f7f8","structure":""}.
[2025-04-19 01:34:16] [INFO] [SpeedQueue] Added unit enemy:Rahzy into queue
[2025-04-19 01:34:16] [INFO] [Component] Setting dark_dragon_Waqeiy_98bb594e-bf5d-45f1-9e15-69fc15b607e4 on to {"row":4,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Waqeiy_98bb594e-bf5d-45f1-9e15-69fc15b607e4","structure":""}.
[2025-04-19 01:34:16] [INFO] [SpeedQueue] Added unit user:Waqeiy into queue
[2025-04-19 01:34:16] [INFO] [Component] Setting fire_dragon_Raxv_b9dfaf2d-4312-4db3-9fe0-67cc5eec6511 on to {"row":7,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Raxv_b9dfaf2d-4312-4db3-9fe0-67cc5eec6511","structure":""}.
[2025-04-19 01:34:16] [INFO] [SpeedQueue] Added unit user:Raxv into queue
[2025-04-19 01:34:16] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 01:34:16] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 01:34:16] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:34:16] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 01:34:16] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 01:34:16] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 01:34:16] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 01:34:17] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:34:17] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_378f7a14-f9c6-45a1-9117-bc7b4bacc574
[2025-04-19 01:34:17] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 01:34:17] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 01:34:17] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 01:34:17] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 01:34:17] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 01:34:17] [INFO] [VisualsSystem] Finished creating blurred background after 0.5039864778518677 seconds
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,130
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,141
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,149
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,159
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,170
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,180
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,190
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,198
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,205
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,213
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,220
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,222
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,227
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,235
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,240
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 842,245
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,250
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 827,255
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,260
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,265
[2025-04-19 01:34:18] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,272
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,277
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 783,284
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,290
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,297
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 754,304
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,309
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,315
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,320
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 724,327
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,333
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 709,339
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 701,345
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,351
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 691,355
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 680,366
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 676,369
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 670,376
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 666,380
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 662,386
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,390
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 654,395
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,398
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,401
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 646,403
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 644,406
[2025-04-19 01:34:19] [INFO] [MapEditorScene] Updated hoveredTilePanes 641,408
