[2025-04-19 01:36:28] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 01:36:28] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 01:36:28] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 01:36:28] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 01:36:28] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 01:36:28] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 01:36:28] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 01:36:28] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 01:36:28] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 01:36:28] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 01:36:28] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 01:36:28] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 01:36:28] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 01:36:28] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 01:36:28] [INFO] [Component] Setting water_dragon_Iirs_b05b00bd-c9f2-48b1-950d-5c394d0b1ff1 on to {"row":4,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Iirs_b05b00bd-c9f2-48b1-950d-5c394d0b1ff1","structure":""}.
[2025-04-19 01:36:28] [INFO] [SpeedQueue] Added unit enemy:Iirs into queue
[2025-04-19 01:36:28] [INFO] [Component] Setting earth_dragon_Veieko_89fa7e26-3016-42b9-bcc6-b4bb7d0a14b6 on to {"row":5,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Veieko_89fa7e26-3016-42b9-bcc6-b4bb7d0a14b6","structure":""}.
[2025-04-19 01:36:28] [INFO] [SpeedQueue] Added unit enemy:Veieko into queue
[2025-04-19 01:36:28] [INFO] [Component] Setting dark_dragon_Jadyi_d5032c32-e30d-43b3-87ae-b0e847239eba on to {"row":1,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Jadyi_d5032c32-e30d-43b3-87ae-b0e847239eba","structure":""}.
[2025-04-19 01:36:28] [INFO] [SpeedQueue] Added unit enemy:Jadyi into queue
[2025-04-19 01:36:28] [INFO] [Component] Setting light_dragon_Vipj_b406366b-2c18-4465-b78a-c519bbb003b5 on to {"row":1,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Vipj_b406366b-2c18-4465-b78a-c519bbb003b5","structure":""}.
[2025-04-19 01:36:29] [INFO] [SpeedQueue] Added unit enemy:Vipj into queue
[2025-04-19 01:36:29] [INFO] [Component] Setting earth_dragon_Vizth_38a76445-1c9e-4e1c-9f15-fa6dd42aa303 on to {"row":7,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Vizth_38a76445-1c9e-4e1c-9f15-fa6dd42aa303","structure":""}.
[2025-04-19 01:36:29] [INFO] [SpeedQueue] Added unit enemy:Vizth into queue
[2025-04-19 01:36:29] [INFO] [Component] Setting earth_dragon_Hizedu_a13c7a7a-994d-4060-9d9d-eb7ed314fc63 on to {"row":5,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Hizedu_a13c7a7a-994d-4060-9d9d-eb7ed314fc63","structure":""}.
[2025-04-19 01:36:29] [INFO] [SpeedQueue] Added unit user:Hizedu into queue
[2025-04-19 01:36:29] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 01:36:29] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 01:36:29] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:36:29] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 01:36:29] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 01:36:29] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 01:36:29] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 01:36:29] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:36:29] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_84ed38ad-2359-4671-b78a-73ba0ce72c12
[2025-04-19 01:36:29] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 01:36:29] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 01:36:29] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 01:36:29] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 01:36:29] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 01:36:30] [INFO] [VisualsSystem] Finished creating blurred background after 0.5025293827056885 seconds
[2025-04-19 01:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 307,475
[2025-04-19 01:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 309,475
[2025-04-19 01:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 312,475
[2025-04-19 01:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 314,475
[2025-04-19 01:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 318,475
[2025-04-19 01:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 321,475
[2025-04-19 01:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 324,475
[2025-04-19 01:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 327,475
[2025-04-19 01:36:30] [INFO] [MapEditorScene] Updated hoveredTilePanes 331,476
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 334,476
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 336,476
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 339,476
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 341,477
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 343,478
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 344,478
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 346,479
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 347,479
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 348,480
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 349,480
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 350,481
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 351,481
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 352,481
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 353,481
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 354,481
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 355,481
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 356,482
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 357,482
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 358,482
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 361,483
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 363,484
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 366,485
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 369,485
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 374,486
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 379,487
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 382,489
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 387,491
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 392,493
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 395,494
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 400,497
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 403,499
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 406,500
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 410,503
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 413,505
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 417,508
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 421,511
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 424,513
[2025-04-19 01:36:31] [INFO] [MapEditorScene] Updated hoveredTilePanes 427,516
