[2025-04-19 01:36:44] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 01:36:44] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 01:36:44] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 01:36:44] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 01:36:44] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 01:36:44] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 01:36:44] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 01:36:44] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 01:36:44] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 01:36:44] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 01:36:44] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 01:36:44] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 01:36:44] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 01:36:44] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 01:36:44] [INFO] [Component] Setting earth_dragon_Fyri_80d292bb-fee6-45e4-a5ce-d673d9a0c495 on to {"row":5,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Fyri_80d292bb-fee6-45e4-a5ce-d673d9a0c495","structure":""}.
[2025-04-19 01:36:44] [INFO] [SpeedQueue] Added unit enemy:Fyri into queue
[2025-04-19 01:36:44] [INFO] [Component] Setting dragon_Hixqok_fbe92729-df65-472e-a66e-aa08af470ca7 on to {"row":6,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Hixqok_fbe92729-df65-472e-a66e-aa08af470ca7","structure":""}.
[2025-04-19 01:36:44] [INFO] [SpeedQueue] Added unit enemy:Hixqok into queue
[2025-04-19 01:36:44] [INFO] [Component] Setting light_dragon_Aeuahz_059675b8-e9aa-4db1-a8a0-137911c4c856 on to {"row":6,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Aeuahz_059675b8-e9aa-4db1-a8a0-137911c4c856","structure":""}.
[2025-04-19 01:36:44] [INFO] [SpeedQueue] Added unit enemy:Aeuahz into queue
[2025-04-19 01:36:44] [INFO] [Component] Setting fire_dragon_Ziow_9a6b4fb7-93bf-4c30-ba9c-b5d6019be565 on to {"row":2,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Ziow_9a6b4fb7-93bf-4c30-ba9c-b5d6019be565","structure":""}.
[2025-04-19 01:36:44] [INFO] [SpeedQueue] Added unit enemy:Ziow into queue
[2025-04-19 01:36:44] [INFO] [Component] Setting dragon_Biqr_0c3f0b85-739a-4dd5-bb63-965ae3900dc3 on to {"row":5,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Biqr_0c3f0b85-739a-4dd5-bb63-965ae3900dc3","structure":""}.
[2025-04-19 01:36:44] [INFO] [SpeedQueue] Added unit enemy:Biqr into queue
[2025-04-19 01:36:44] [INFO] [Component] Setting dragon_Jyye_a645f7cd-1068-4786-9b29-016c9f2126fb on to {"row":7,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Jyye_a645f7cd-1068-4786-9b29-016c9f2126fb","structure":""}.
[2025-04-19 01:36:44] [INFO] [SpeedQueue] Added unit user:Jyye into queue
[2025-04-19 01:36:44] [INFO] [Component] Setting earth_dragon_Oonl_c01f2211-51e6-46d8-b4e2-ff81a6c6b6fb on to {"row":1,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Oonl_c01f2211-51e6-46d8-b4e2-ff81a6c6b6fb","structure":""}.
[2025-04-19 01:36:44] [INFO] [SpeedQueue] Added unit user:Oonl into queue
[2025-04-19 01:36:44] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 01:36:44] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 01:36:44] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:36:44] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 01:36:44] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 01:36:44] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 01:36:44] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 01:36:45] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:36:45] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_80218397-2185-4849-a81a-19368ce727d9
[2025-04-19 01:36:45] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 01:36:45] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 01:36:45] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 01:36:45] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 01:36:45] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 01:36:45] [INFO] [VisualsSystem] Finished creating blurred background after 0.495584100484848 seconds
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 912,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 886,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 885,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 884,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 883,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 881,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 879,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 877,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,456
[2025-04-19 01:36:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,456
[2025-04-19 01:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 871,456
[2025-04-19 01:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,456
[2025-04-19 01:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,456
[2025-04-19 01:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,456
[2025-04-19 01:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 864,456
[2025-04-19 01:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,455
[2025-04-19 01:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,454
[2025-04-19 01:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,454
[2025-04-19 01:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,454
[2025-04-19 01:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,451
[2025-04-19 01:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 842,451
[2025-04-19 01:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,451
[2025-04-19 01:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,449
[2025-04-19 01:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 821,448
[2025-04-19 01:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 810,448
