[2025-04-19 01:48:35] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 01:48:35] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 01:48:35] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 01:48:35] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 01:48:35] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 01:48:35] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 01:48:35] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 01:48:35] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 01:48:35] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 01:48:35] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 01:48:35] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 01:48:35] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 01:48:35] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 01:48:35] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 01:48:35] [INFO] [Component] Setting earth_dragon_Nugwy_cb6540f9-bc88-4a59-b36d-6fa2803bf318 on to {"row":1,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Nugwy_cb6540f9-bc88-4a59-b36d-6fa2803bf318","structure":""}.
[2025-04-19 01:48:35] [INFO] [SpeedQueue] Added unit enemy:Nugwy into queue
[2025-04-19 01:48:35] [INFO] [Component] Setting fire_dragon_Jicoi_715c65c4-e67f-424c-aa36-2558754dff1c on to {"row":0,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Jicoi_715c65c4-e67f-424c-aa36-2558754dff1c","structure":""}.
[2025-04-19 01:48:35] [INFO] [SpeedQueue] Added unit enemy:Jicoi into queue
[2025-04-19 01:48:35] [INFO] [Component] Setting light_dragon_Bazj_9f8ff5ee-259a-4b34-aae1-ca43210bd585 on to {"row":3,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Bazj_9f8ff5ee-259a-4b34-aae1-ca43210bd585","structure":""}.
[2025-04-19 01:48:35] [INFO] [SpeedQueue] Added unit enemy:Bazj into queue
[2025-04-19 01:48:35] [INFO] [Component] Setting air_dragon_Iuwyyz_20965241-1644-4f73-8b0e-9013118e2839 on to {"row":5,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Iuwyyz_20965241-1644-4f73-8b0e-9013118e2839","structure":""}.
[2025-04-19 01:48:35] [INFO] [SpeedQueue] Added unit enemy:Iuwyyz into queue
[2025-04-19 01:48:35] [INFO] [Component] Setting light_dragon_Eojboi_58a7330d-b982-410f-965b-476b43a8a3a2 on to {"row":4,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Eojboi_58a7330d-b982-410f-965b-476b43a8a3a2","structure":""}.
[2025-04-19 01:48:35] [INFO] [SpeedQueue] Added unit enemy:Eojboi into queue
[2025-04-19 01:48:35] [INFO] [Component] Setting fire_dragon_Vies_4a9f95f5-ed86-47af-a308-ad024d53807a on to {"row":2,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Vies_4a9f95f5-ed86-47af-a308-ad024d53807a","structure":""}.
[2025-04-19 01:48:35] [INFO] [SpeedQueue] Added unit user:Vies into queue
[2025-04-19 01:48:35] [INFO] [Component] Setting dragon_Fars_daee0c1f-29b4-44f5-a9b5-cf9c8f3d07ea on to {"row":6,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Fars_daee0c1f-29b4-44f5-a9b5-cf9c8f3d07ea","structure":""}.
[2025-04-19 01:48:35] [INFO] [SpeedQueue] Added unit user:Fars into queue
[2025-04-19 01:48:35] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 01:48:36] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 01:48:36] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:48:36] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 01:48:36] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 01:48:36] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 01:48:36] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 01:48:36] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 01:48:36] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_d79efc3a-c968-42e0-b4b8-adfb158c327d
[2025-04-19 01:48:36] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 01:48:36] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 01:48:36] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 01:48:36] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 01:48:36] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 01:48:37] [INFO] [VisualsSystem] Finished creating blurred background after 0.5074865221977234 seconds
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1119,475
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1111,480
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,482
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,484
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1096,487
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,488
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1087,490
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,491
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,493
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1074,494
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,495
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1066,496
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1061,497
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1058,497
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,498
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,498
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,498
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,498
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,498
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,498
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1029,498
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,498
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,498
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,498
[2025-04-19 01:48:39] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,497
[2025-04-19 01:48:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1015,497
[2025-04-19 01:48:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,495
[2025-04-19 01:48:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,492
[2025-04-19 01:48:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1033,489
[2025-04-19 01:48:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,485
[2025-04-19 01:48:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,482
[2025-04-19 01:48:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,476
[2025-04-19 01:48:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1071,470
[2025-04-19 01:48:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,465
[2025-04-19 01:48:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1086,462
[2025-04-19 01:48:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1095,458
[2025-04-19 01:48:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,453
[2025-04-19 01:48:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1111,449
[2025-04-19 01:48:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1116,447
[2025-04-19 01:48:40] [INFO] [MapEditorScene] Updated hoveredTilePanes 1121,444
[2025-04-19 01:48:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,397
[2025-04-19 01:48:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1115,403
[2025-04-19 01:48:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1109,410
[2025-04-19 01:48:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1100,421
[2025-04-19 01:48:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,429
[2025-04-19 01:48:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1083,438
[2025-04-19 01:48:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1074,449
[2025-04-19 01:48:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1066,455
[2025-04-19 01:48:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1058,463
[2025-04-19 01:48:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,472
