[2025-04-19 02:19:41] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 02:19:41] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 02:19:41] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 02:19:41] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 02:19:41] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 02:19:41] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 02:19:41] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 02:19:41] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 02:19:41] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 02:19:41] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 02:19:41] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 02:19:41] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 02:19:41] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 02:19:41] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 02:19:41] [INFO] [Component] Setting air_dragon_Rykeye_5c27bfa9-b410-4603-9429-9aeae4e7a44d on to {"row":0,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Rykeye_5c27bfa9-b410-4603-9429-9aeae4e7a44d","structure":""}.
[2025-04-19 02:19:41] [INFO] [SpeedQueue] Added unit enemy:Rykeye into queue
[2025-04-19 02:19:41] [INFO] [Component] Setting dragon_Iezar_ff70a86b-48e6-4c14-8c8a-bd54133355a8 on to {"row":1,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Iezar_ff70a86b-48e6-4c14-8c8a-bd54133355a8","structure":""}.
[2025-04-19 02:19:41] [INFO] [SpeedQueue] Added unit enemy:Iezar into queue
[2025-04-19 02:19:41] [INFO] [Component] Setting dark_dragon_Pysiy_4d293094-8176-4492-bd09-ad71b5afaf8a on to {"row":3,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Pysiy_4d293094-8176-4492-bd09-ad71b5afaf8a","structure":""}.
[2025-04-19 02:19:41] [INFO] [SpeedQueue] Added unit enemy:Pysiy into queue
[2025-04-19 02:19:41] [INFO] [Component] Setting dark_dragon_Navepe_6dd7e0e9-845a-47f0-8d73-24f30cfd9912 on to {"row":4,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Navepe_6dd7e0e9-845a-47f0-8d73-24f30cfd9912","structure":""}.
[2025-04-19 02:19:41] [INFO] [SpeedQueue] Added unit enemy:Navepe into queue
[2025-04-19 02:19:41] [INFO] [Component] Setting dragon_Ooiuid_cf512014-c4ba-4fde-9d14-3d97d6a38e20 on to {"row":5,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Ooiuid_cf512014-c4ba-4fde-9d14-3d97d6a38e20","structure":""}.
[2025-04-19 02:19:41] [INFO] [SpeedQueue] Added unit enemy:Ooiuid into queue
[2025-04-19 02:19:41] [INFO] [Component] Setting air_dragon_Tadrar_0697df0e-42f7-4a81-8a55-8be951850b78 on to {"row":3,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Tadrar_0697df0e-42f7-4a81-8a55-8be951850b78","structure":""}.
[2025-04-19 02:19:41] [INFO] [SpeedQueue] Added unit user:Tadrar into queue
[2025-04-19 02:19:41] [INFO] [Component] Setting water_dragon_Eowmyp_c6db7fbc-3dbb-481f-84a9-f6e4420f317e on to {"row":6,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Eowmyp_c6db7fbc-3dbb-481f-84a9-f6e4420f317e","structure":""}.
[2025-04-19 02:19:41] [INFO] [SpeedQueue] Added unit user:Eowmyp into queue
[2025-04-19 02:19:41] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 02:19:41] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 02:19:41] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:19:41] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 02:19:41] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 02:19:41] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 02:19:42] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 02:19:42] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:19:42] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_6fabb1d3-a259-4c19-aadc-c60d95e22afd
[2025-04-19 02:19:42] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 02:19:42] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 02:19:42] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 02:19:42] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 02:19:42] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 02:19:42] [INFO] [VisualsSystem] Finished creating blurred background after 0.48440781235694885 seconds
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,242
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,244
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1058,246
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,249
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1056,250
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1055,251
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1054,252
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1053,253
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1052,254
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,255
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,256
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,258
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,261
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,262
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1038,266
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,269
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,273
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1025,276
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1015,283
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,286
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,287
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,292
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,297
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,300
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 974,306
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,311
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,312
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,318
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 946,323
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,324
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,328
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,331
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,333
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,336
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,338
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,340
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,341
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,342
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,343
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,344
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,344
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,345
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 912,345
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,345
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 925,345
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,345
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 937,345
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,346
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,347
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 956,348
[2025-04-19 02:19:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,349
