[2025-04-19 02:23:54] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 02:23:54] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 02:23:54] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 02:23:54] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 02:23:54] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 02:23:54] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 02:23:54] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 02:23:54] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 02:23:54] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 02:23:54] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 02:23:54] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 02:23:54] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 02:23:54] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 02:23:54] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 02:23:54] [INFO] [Component] Setting fire_dragon_Cigiem_088d1a5b-c90f-4df9-9acb-978516f77005 on to {"row":4,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Cigiem_088d1a5b-c90f-4df9-9acb-978516f77005","structure":""}.
[2025-04-19 02:23:54] [INFO] [SpeedQueue] Added unit enemy:Cigiem into queue
[2025-04-19 02:23:54] [INFO] [Component] Setting air_dragon_Juuly_0b175b12-4c0d-4523-94b9-b9a1ff34e92d on to {"row":3,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Juuly_0b175b12-4c0d-4523-94b9-b9a1ff34e92d","structure":""}.
[2025-04-19 02:23:54] [INFO] [SpeedQueue] Added unit enemy:Juuly into queue
[2025-04-19 02:23:54] [INFO] [Component] Setting light_dragon_Uamer_0be3aff7-50aa-432b-bf30-4d795c389b33 on to {"row":2,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Uamer_0be3aff7-50aa-432b-bf30-4d795c389b33","structure":""}.
[2025-04-19 02:23:54] [INFO] [SpeedQueue] Added unit enemy:Uamer into queue
[2025-04-19 02:23:54] [INFO] [Component] Setting fire_dragon_Qusoy_54afca10-763b-4dd4-a9ce-040356f3e883 on to {"row":1,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Qusoy_54afca10-763b-4dd4-a9ce-040356f3e883","structure":""}.
[2025-04-19 02:23:54] [INFO] [SpeedQueue] Added unit user:Qusoy into queue
[2025-04-19 02:23:54] [INFO] [Component] Setting light_dragon_Dapa_36559c9e-f331-4b44-b06a-f5d84f493da7 on to {"row":7,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Dapa_36559c9e-f331-4b44-b06a-f5d84f493da7","structure":""}.
[2025-04-19 02:23:54] [INFO] [SpeedQueue] Added unit user:Dapa into queue
[2025-04-19 02:23:54] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 02:23:54] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 02:23:54] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:23:54] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 02:23:54] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 02:23:54] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 02:23:55] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 02:23:55] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:23:55] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_260f105c-86f8-4731-bf51-0a2f4a4db2b1
[2025-04-19 02:23:55] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 02:23:55] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 02:23:55] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 02:23:55] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 02:23:55] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 02:23:55] [INFO] [VisualsSystem] Finished creating blurred background after 0.4932551980018616 seconds
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1087,220
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1072,235
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,250
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,264
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,275
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,286
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,297
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,307
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,311
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 996,319
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 990,325
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,333
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 982,337
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,343
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 975,347
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,351
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,354
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,356
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,360
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,362
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,364
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,366
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,368
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,370
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,372
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,374
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 956,377
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 955,378
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 954,379
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,381
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,382
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,383
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,384
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,385
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,386
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,387
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,388
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,390
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,391
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,392
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,393
[2025-04-19 02:23:56] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,394
