[2025-04-19 02:26:25] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 02:26:25] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 02:26:26] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 02:26:26] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 02:26:26] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 02:26:26] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 02:26:26] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 02:26:26] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 02:26:26] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 02:26:26] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 02:26:26] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 02:26:26] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 02:26:26] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 02:26:26] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 02:26:26] [INFO] [Component] Setting light_dragon_Cadiqt_6badc445-12ac-4e40-b387-a00a4c4c73c1 on to {"row":0,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Cadiqt_6badc445-12ac-4e40-b387-a00a4c4c73c1","structure":""}.
[2025-04-19 02:26:26] [INFO] [SpeedQueue] Added unit enemy:Cadiqt into queue
[2025-04-19 02:26:26] [INFO] [Component] Setting dark_dragon_Easvc_00589a39-806b-473c-b3ad-e8983af71549 on to {"row":3,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Easvc_00589a39-806b-473c-b3ad-e8983af71549","structure":""}.
[2025-04-19 02:26:26] [INFO] [SpeedQueue] Added unit enemy:Easvc into queue
[2025-04-19 02:26:26] [INFO] [Component] Setting dragon_Sunb_47c80a58-5df8-4ff7-8801-7d0622e1ef1a on to {"row":1,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Sunb_47c80a58-5df8-4ff7-8801-7d0622e1ef1a","structure":""}.
[2025-04-19 02:26:26] [INFO] [SpeedQueue] Added unit enemy:Sunb into queue
[2025-04-19 02:26:26] [INFO] [Component] Setting dark_dragon_Eiheee_257d2b08-7e09-48b3-a944-193856ba3b2a on to {"row":6,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Eiheee_257d2b08-7e09-48b3-a944-193856ba3b2a","structure":""}.
[2025-04-19 02:26:26] [INFO] [SpeedQueue] Added unit enemy:Eiheee into queue
[2025-04-19 02:26:26] [INFO] [Component] Setting dragon_Hisyw_e04efebe-773a-4bea-b3e1-ffeb6f398ce5 on to {"row":0,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Hisyw_e04efebe-773a-4bea-b3e1-ffeb6f398ce5","structure":""}.
[2025-04-19 02:26:26] [INFO] [SpeedQueue] Added unit enemy:Hisyw into queue
[2025-04-19 02:26:26] [INFO] [Component] Setting earth_dragon_Ourui_d98ef0c8-6051-493c-b8d2-dfa154c4c40c on to {"row":1,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Ourui_d98ef0c8-6051-493c-b8d2-dfa154c4c40c","structure":""}.
[2025-04-19 02:26:26] [INFO] [SpeedQueue] Added unit user:Ourui into queue
[2025-04-19 02:26:26] [INFO] [Component] Setting air_dragon_Johoop_d2653367-cfea-4376-8877-10faeaa88f36 on to {"row":3,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Johoop_d2653367-cfea-4376-8877-10faeaa88f36","structure":""}.
[2025-04-19 02:26:26] [INFO] [SpeedQueue] Added unit user:Johoop into queue
[2025-04-19 02:26:26] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 02:26:26] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 02:26:26] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:26:26] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 02:26:26] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 02:26:26] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 02:26:26] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 02:26:26] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:26:26] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_06493aa0-05ab-4da7-a8c7-ef412e00d030
[2025-04-19 02:26:27] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 02:26:27] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 02:26:27] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 02:26:27] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 02:26:27] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 02:26:27] [INFO] [VisualsSystem] Finished creating blurred background after 0.4904507100582123 seconds
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 970,285
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 955,299
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 884,371
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,382
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 848,405
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,428
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,460
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,464
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,473
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 773,481
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,487
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 763,490
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 761,492
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 758,495
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 757,496
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,497
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 756,498
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 754,499
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,499
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 753,500
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 751,501
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,502
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,503
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,504
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 744,506
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 740,509
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,514
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 730,518
[2025-04-19 02:26:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,523
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,529
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,535
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,542
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 690,550
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 679,560
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,566
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 664,572
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 656,578
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,585
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,590
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 631,595
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 622,601
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 610,606
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 602,610
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 591,614
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 579,619
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 575,620
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 558,625
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 546,627
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 535,630
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 510,635
[2025-04-19 02:26:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 496,636
