[2025-04-19 02:33:19] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 02:33:19] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 02:33:19] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 02:33:19] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 02:33:19] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 02:33:19] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 02:33:19] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 02:33:19] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 02:33:19] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 02:33:19] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 02:33:19] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 02:33:19] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 02:33:20] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 02:33:20] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 02:33:20] [INFO] [Component] Setting dragon_Aoec_1eb3c715-7a53-44ae-8199-82e682e86cce on to {"row":1,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Aoec_1eb3c715-7a53-44ae-8199-82e682e86cce","structure":""}.
[2025-04-19 02:33:20] [INFO] [SpeedQueue] Added unit enemy:Aoec into queue
[2025-04-19 02:33:20] [INFO] [Component] Setting water_dragon_Bigimh_42f0b4f3-dbd7-4524-89da-528a851f458d on to {"row":4,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Bigimh_42f0b4f3-dbd7-4524-89da-528a851f458d","structure":""}.
[2025-04-19 02:33:20] [INFO] [SpeedQueue] Added unit enemy:Bigimh into queue
[2025-04-19 02:33:20] [INFO] [Component] Setting air_dragon_Fivaoy_7688fed3-e122-411e-ac0e-7044a896779a on to {"row":1,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Fivaoy_7688fed3-e122-411e-ac0e-7044a896779a","structure":""}.
[2025-04-19 02:33:20] [INFO] [SpeedQueue] Added unit enemy:Fivaoy into queue
[2025-04-19 02:33:20] [INFO] [Component] Setting water_dragon_Zizfs_5af83beb-cbd3-4e78-bec5-2427776b461e on to {"row":5,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Zizfs_5af83beb-cbd3-4e78-bec5-2427776b461e","structure":""}.
[2025-04-19 02:33:20] [INFO] [SpeedQueue] Added unit enemy:Zizfs into queue
[2025-04-19 02:33:20] [INFO] [Component] Setting fire_dragon_Dypc_1d10cbd8-5fa2-4d73-a7a2-32e9c912ee0e on to {"row":1,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Dypc_1d10cbd8-5fa2-4d73-a7a2-32e9c912ee0e","structure":""}.
[2025-04-19 02:33:20] [INFO] [SpeedQueue] Added unit user:Dypc into queue
[2025-04-19 02:33:20] [INFO] [Component] Setting earth_dragon_Qaoyeo_393088cb-5140-409a-b48e-37ea7343e6cf on to {"row":7,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Qaoyeo_393088cb-5140-409a-b48e-37ea7343e6cf","structure":""}.
[2025-04-19 02:33:20] [INFO] [SpeedQueue] Added unit user:Qaoyeo into queue
[2025-04-19 02:33:20] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 02:33:20] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 02:33:20] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:33:20] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 02:33:20] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 02:33:20] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 02:33:20] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 02:33:20] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:33:20] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_594bb708-01e8-42fd-85a9-1e72c94397c9
[2025-04-19 02:33:20] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 02:33:20] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 02:33:20] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 02:33:20] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 02:33:21] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 02:33:21] [INFO] [VisualsSystem] Finished creating blurred background after 0.49232208728790283 seconds
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1093,155
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1086,158
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1077,162
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1069,166
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1043,175
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,181
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 996,191
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 982,196
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,203
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,214
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,233
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 867,237
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,248
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,261
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,271
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,281
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,291
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 725,301
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,309
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,317
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,318
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 685,324
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 677,329
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,332
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,336
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,338
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,341
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,344
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 656,345
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,347
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 654,348
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 653,349
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 652,350
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,351
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,353
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 648,353
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 648,354
[2025-04-19 02:33:21] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,355
[2025-04-19 02:33:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 646,355
[2025-04-19 02:33:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 646,356
[2025-04-19 02:33:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,356
[2025-04-19 02:33:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,357
[2025-04-19 02:33:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 643,358
[2025-04-19 02:33:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 642,359
[2025-04-19 02:33:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 641,359
[2025-04-19 02:33:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 640,360
[2025-04-19 02:33:23] [INFO] [MapEditorScene] Updated hoveredTilePanes 639,360
