[2025-04-19 02:34:57] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 02:34:57] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 02:34:57] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 02:34:57] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 02:34:57] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 02:34:57] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 02:34:57] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 02:34:57] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 02:34:57] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 02:34:57] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 02:34:57] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 02:34:57] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 02:34:57] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 02:34:57] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 02:34:57] [INFO] [Component] Setting water_dragon_Rakpeu_582badda-fb48-451f-97c2-16d1a353b44d on to {"row":1,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Rakpeu_582badda-fb48-451f-97c2-16d1a353b44d","structure":""}.
[2025-04-19 02:34:57] [INFO] [SpeedQueue] Added unit enemy:Rakpeu into queue
[2025-04-19 02:34:57] [INFO] [Component] Setting water_dragon_Zaii_9963cf68-bf5f-419d-af67-bd10ce4c4a77 on to {"row":4,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Zaii_9963cf68-bf5f-419d-af67-bd10ce4c4a77","structure":""}.
[2025-04-19 02:34:57] [INFO] [SpeedQueue] Added unit enemy:Zaii into queue
[2025-04-19 02:34:57] [INFO] [Component] Setting water_dragon_Uyclzy_7965269e-c41d-4fa6-980a-1f2f564802b0 on to {"row":1,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Uyclzy_7965269e-c41d-4fa6-980a-1f2f564802b0","structure":""}.
[2025-04-19 02:34:57] [INFO] [SpeedQueue] Added unit enemy:Uyclzy into queue
[2025-04-19 02:34:57] [INFO] [Component] Setting dragon_Pibia_2f1156f9-949d-433e-a586-8f1ec3a2a5d6 on to {"row":3,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Pibia_2f1156f9-949d-433e-a586-8f1ec3a2a5d6","structure":""}.
[2025-04-19 02:34:57] [INFO] [SpeedQueue] Added unit user:Pibia into queue
[2025-04-19 02:34:57] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 02:34:58] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 02:34:58] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:34:58] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 02:34:58] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 02:34:58] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 02:34:58] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 02:34:58] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:34:58] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_91d3d6d0-6a8d-49ab-9a3d-f4d3528223e4
[2025-04-19 02:34:58] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 02:34:58] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 02:34:58] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 02:34:58] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 02:34:58] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 02:34:59] [INFO] [VisualsSystem] Finished creating blurred background after 0.4959419071674347 seconds
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 821,235
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,235
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,237
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 817,240
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 814,243
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 810,247
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,253
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,262
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,273
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 774,283
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 762,297
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,311
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 747,316
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 741,324
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,333
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,339
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 725,344
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 724,346
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,348
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,349
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,350
[2025-04-19 02:34:59] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,351
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 720,351
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 719,351
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,352
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,353
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,353
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,354
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,355
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,355
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,356
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 711,357
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,357
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 709,358
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,358
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,359
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 706,359
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 705,360
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 704,360
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,361
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 702,361
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,362
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 699,362
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 698,362
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 697,362
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,362
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,362
[2025-04-19 02:35:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 694,362
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,362
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,362
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 690,362
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 689,362
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 687,362
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,362
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 684,362
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 682,362
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 681,362
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 680,362
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 679,361
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 677,361
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 676,360
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 675,359
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 674,359
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,358
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 671,358
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 670,357
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 668,356
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,354
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 665,353
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,352
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 662,350
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 660,348
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 659,347
[2025-04-19 02:35:01] [INFO] [MapEditorScene] Updated hoveredTilePanes 657,346
