[2025-04-19 02:35:55] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 02:35:55] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 02:35:55] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 02:35:55] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 02:35:55] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 02:35:55] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 02:35:55] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 02:35:55] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 02:35:55] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 02:35:55] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 02:35:55] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 02:35:55] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 02:35:55] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 02:35:55] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 02:35:55] [INFO] [Component] Setting dark_dragon_Dykx_25ea59c3-cd44-4d24-a465-e144630db1ed on to {"row":7,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Dykx_25ea59c3-cd44-4d24-a465-e144630db1ed","structure":""}.
[2025-04-19 02:35:55] [INFO] [SpeedQueue] Added unit enemy:Dykx into queue
[2025-04-19 02:35:55] [INFO] [Component] Setting dark_dragon_Qirf_eb1626fc-7d0b-4eae-9aae-ccbc15e78251 on to {"row":2,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Qirf_eb1626fc-7d0b-4eae-9aae-ccbc15e78251","structure":""}.
[2025-04-19 02:35:55] [INFO] [SpeedQueue] Added unit enemy:Qirf into queue
[2025-04-19 02:35:55] [INFO] [Component] Setting earth_dragon_Xiyi_398077ac-6c2b-4971-a72f-c801c7427646 on to {"row":4,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Xiyi_398077ac-6c2b-4971-a72f-c801c7427646","structure":""}.
[2025-04-19 02:35:55] [INFO] [SpeedQueue] Added unit enemy:Xiyi into queue
[2025-04-19 02:35:55] [INFO] [Component] Setting fire_dragon_Nate_60b65f50-027b-43e4-93dc-ef941840d243 on to {"row":1,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Nate_60b65f50-027b-43e4-93dc-ef941840d243","structure":""}.
[2025-04-19 02:35:55] [INFO] [SpeedQueue] Added unit enemy:Nate into queue
[2025-04-19 02:35:55] [INFO] [Component] Setting dark_dragon_Aevaz_786db9be-c7bd-41d4-af28-713e0a58ac7b on to {"row":3,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Aevaz_786db9be-c7bd-41d4-af28-713e0a58ac7b","structure":""}.
[2025-04-19 02:35:55] [INFO] [SpeedQueue] Added unit user:Aevaz into queue
[2025-04-19 02:35:55] [INFO] [Component] Setting dragon_Xewney_4d19dd41-2082-4d7e-8e46-a1ba30b0bc3a on to {"row":0,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Xewney_4d19dd41-2082-4d7e-8e46-a1ba30b0bc3a","structure":""}.
[2025-04-19 02:35:55] [INFO] [SpeedQueue] Added unit user:Xewney into queue
[2025-04-19 02:35:55] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 02:35:55] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 02:35:55] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:35:55] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 02:35:55] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 02:35:55] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 02:35:55] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 02:35:56] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:35:56] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_b99f7ab6-444d-489f-aab4-9fbd75510cb1
[2025-04-19 02:35:56] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 02:35:56] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 02:35:56] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 02:35:56] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 02:35:56] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 02:35:56] [INFO] [VisualsSystem] Finished creating blurred background after 0.48989757895469666 seconds
[2025-04-19 02:35:57] [INFO] [MapEditorScene] Updated hoveredTilePanes 1080,207
[2025-04-19 02:36:00] [INFO] [MapEditorScene] Updated hoveredTilePanes 450,396
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1111,515
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1085,504
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,497
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,490
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,483
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 1011,478
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 994,473
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,472
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,468
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,466
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,464
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,462
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 943,460
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,460
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 927,459
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,458
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,458
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,458
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 902,458
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 895,458
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,458
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 887,458
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 884,458
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 880,458
[2025-04-19 02:36:02] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,458
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 876,458
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 875,458
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,458
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,458
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 867,458
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,458
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,458
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 851,458
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 842,458
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,458
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 832,458
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 823,458
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 817,458
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 810,458
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 805,459
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,460
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,461
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 791,461
[2025-04-19 02:36:03] [INFO] [MapEditorScene] Updated hoveredTilePanes 786,462
