[2025-04-19 02:37:25] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 02:37:25] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 02:37:25] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 02:37:26] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 02:37:26] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 02:37:26] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 02:37:26] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 02:37:26] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 02:37:26] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 02:37:26] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 02:37:26] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 02:37:26] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 02:37:26] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 02:37:26] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 02:37:26] [INFO] [Component] Setting air_dragon_Tifly_4ef018f0-067f-4107-840c-c5568dbeb1f3 on to {"row":3,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Tifly_4ef018f0-067f-4107-840c-c5568dbeb1f3","structure":""}.
[2025-04-19 02:37:26] [INFO] [SpeedQueue] Added unit enemy:Tifly into queue
[2025-04-19 02:37:26] [INFO] [Component] Setting water_dragon_Bejxj_129b0db6-4e37-49d0-bb79-8aa4576289c4 on to {"row":3,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Bejxj_129b0db6-4e37-49d0-bb79-8aa4576289c4","structure":""}.
[2025-04-19 02:37:26] [INFO] [SpeedQueue] Added unit user:Bejxj into queue
[2025-04-19 02:37:26] [INFO] [Component] Setting fire_dragon_Vewie_9522ead1-5579-4e81-9db2-5c06b522ded3 on to {"row":5,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Vewie_9522ead1-5579-4e81-9db2-5c06b522ded3","structure":""}.
[2025-04-19 02:37:26] [INFO] [SpeedQueue] Added unit user:Vewie into queue
[2025-04-19 02:37:26] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 02:37:26] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 02:37:26] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:37:26] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 02:37:26] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 02:37:26] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 02:37:26] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 02:37:26] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:37:26] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_b6e89a77-5b05-4ecd-86fb-58164a9f71a7
[2025-04-19 02:37:26] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 02:37:26] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 02:37:26] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 02:37:26] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 02:37:27] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 02:37:27] [INFO] [VisualsSystem] Finished creating blurred background after 0.49743640422821045 seconds
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1105,375
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1093,388
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1083,399
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1072,412
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1064,421
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,425
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1054,432
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1048,437
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1044,442
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,445
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,447
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1034,449
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,450
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,452
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,453
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1023,454
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,455
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1018,456
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,458
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1010,459
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,461
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,464
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,466
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,469
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,471
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 975,474
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,477
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,480
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,482
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 940,485
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 929,487
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,490
[2025-04-19 02:37:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,493
