[2025-04-19 02:37:44] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 02:37:44] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 02:37:44] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 02:37:44] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 02:37:44] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 02:37:44] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 02:37:44] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 02:37:44] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 02:37:44] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 02:37:45] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 02:37:45] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 02:37:45] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 02:37:45] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 02:37:45] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 02:37:45] [INFO] [Component] Setting light_dragon_Kukgvu_a3d66c6f-4bc8-466b-ad23-cb995ec51576 on to {"row":3,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Kukgvu_a3d66c6f-4bc8-466b-ad23-cb995ec51576","structure":""}.
[2025-04-19 02:37:45] [INFO] [SpeedQueue] Added unit enemy:Kukgvu into queue
[2025-04-19 02:37:45] [INFO] [Component] Setting water_dragon_Ruivar_8d796793-59db-496d-82a0-5cf22057eae0 on to {"row":2,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Ruivar_8d796793-59db-496d-82a0-5cf22057eae0","structure":""}.
[2025-04-19 02:37:45] [INFO] [SpeedQueue] Added unit enemy:Ruivar into queue
[2025-04-19 02:37:45] [INFO] [Component] Setting light_dragon_Qydsp_bb3f5980-a289-42f8-a655-3d05f23865ff on to {"row":6,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Qydsp_bb3f5980-a289-42f8-a655-3d05f23865ff","structure":""}.
[2025-04-19 02:37:45] [INFO] [SpeedQueue] Added unit user:Qydsp into queue
[2025-04-19 02:37:45] [INFO] [Component] Setting dark_dragon_Yayewy_79227970-f06e-4175-af61-6f486706bd12 on to {"row":0,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Yayewy_79227970-f06e-4175-af61-6f486706bd12","structure":""}.
[2025-04-19 02:37:45] [INFO] [SpeedQueue] Added unit user:Yayewy into queue
[2025-04-19 02:37:45] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 02:37:45] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 02:37:45] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:37:45] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 02:37:45] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 02:37:45] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 02:37:45] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 02:37:45] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:37:45] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_1e20a8a7-2f40-4234-aa8b-cce79af4fa4e
[2025-04-19 02:37:46] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 02:37:46] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 02:37:46] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 02:37:46] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 02:37:46] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 02:37:46] [INFO] [VisualsSystem] Finished creating blurred background after 0.4892021119594574 seconds
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1115,157
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,162
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1082,174
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,206
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 987,222
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,243
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,258
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 884,284
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 869,292
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,305
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 833,316
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,318
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 822,321
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,325
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 809,327
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,330
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,332
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,332
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,334
[2025-04-19 02:37:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,335
[2025-04-19 02:37:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 788,337
[2025-04-19 02:37:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,337
[2025-04-19 02:37:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 785,338
[2025-04-19 02:37:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,338
[2025-04-19 02:37:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,339
[2025-04-19 02:37:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,339
[2025-04-19 02:37:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 781,339
[2025-04-19 02:37:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,339
[2025-04-19 02:37:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 779,339
[2025-04-19 02:37:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 777,339
[2025-04-19 02:37:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 776,339
[2025-04-19 02:37:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 774,339
[2025-04-19 02:37:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 772,339
[2025-04-19 02:37:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 770,339
[2025-04-19 02:37:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 769,339
[2025-04-19 02:37:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,339
[2025-04-19 02:37:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 767,339
[2025-04-19 02:37:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 766,339
