[2025-04-19 02:38:49] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 02:38:49] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 02:38:49] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 02:38:49] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 02:38:49] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 02:38:49] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 02:38:49] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 02:38:49] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 02:38:49] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 02:38:49] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 02:38:49] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 02:38:49] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 02:38:49] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 02:38:49] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 02:38:49] [INFO] [Component] Setting fire_dragon_Fistyy_ce4ec4cc-ca17-4e04-a9f3-db2af6e9e31a on to {"row":2,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Fistyy_ce4ec4cc-ca17-4e04-a9f3-db2af6e9e31a","structure":""}.
[2025-04-19 02:38:49] [INFO] [SpeedQueue] Added unit enemy:Fistyy into queue
[2025-04-19 02:38:49] [INFO] [Component] Setting light_dragon_Daouup_86ca4c87-820e-47cb-b9e7-f01ee6371161 on to {"row":5,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Daouup_86ca4c87-820e-47cb-b9e7-f01ee6371161","structure":""}.
[2025-04-19 02:38:49] [INFO] [SpeedQueue] Added unit enemy:Daouup into queue
[2025-04-19 02:38:49] [INFO] [Component] Setting earth_dragon_Qiaoy_0db91f10-8722-4720-8c88-90f966bcecd2 on to {"row":7,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Qiaoy_0db91f10-8722-4720-8c88-90f966bcecd2","structure":""}.
[2025-04-19 02:38:49] [INFO] [SpeedQueue] Added unit user:Qiaoy into queue
[2025-04-19 02:38:49] [INFO] [Component] Setting dark_dragon_Hypyay_8b4979ed-f0c8-448b-b4d2-76451ae70e12 on to {"row":0,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Hypyay_8b4979ed-f0c8-448b-b4d2-76451ae70e12","structure":""}.
[2025-04-19 02:38:49] [INFO] [SpeedQueue] Added unit user:Hypyay into queue
[2025-04-19 02:38:49] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 02:38:50] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 02:38:50] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:38:50] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 02:38:50] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 02:38:50] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 02:38:50] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 02:38:50] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:38:50] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_90dbefc6-36d6-486c-92ae-c7c01e2eb649
[2025-04-19 02:38:50] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 02:38:50] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 02:38:50] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 02:38:50] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 02:38:50] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 02:38:51] [INFO] [VisualsSystem] Finished creating blurred background after 0.5050996541976929 seconds
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 692,347
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 685,348
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 676,351
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 670,355
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,358
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,364
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,370
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 626,378
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 615,383
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 605,389
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 595,394
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 585,400
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 581,403
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,408
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,411
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 557,418
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 552,420
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 548,423
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 546,424
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 544,425
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 542,426
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 541,426
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 541,427
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 540,427
[2025-04-19 02:38:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 539,427
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 539,426
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 540,425
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 541,424
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 542,422
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 543,421
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 544,420
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 545,418
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 546,417
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 547,415
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 547,414
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 549,412
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 550,410
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 550,409
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 551,408
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 553,406
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 554,405
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 555,403
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 556,401
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 557,400
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 560,398
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 561,397
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 562,396
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 563,395
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 564,394
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 565,393
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 566,391
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 566,390
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 567,389
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 568,388
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,386
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 570,385
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 572,383
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 573,381
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,379
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 576,377
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 577,375
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 578,373
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 580,371
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 581,369
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 582,367
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 584,365
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 584,363
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 586,361
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 587,358
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 588,356
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 590,353
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 592,349
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 595,345
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 596,341
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 599,337
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 601,333
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 603,329
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 605,325
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 607,321
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 608,319
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 610,317
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 610,315
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 611,314
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 611,313
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 612,313
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 612,312
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 613,312
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 612,312
[2025-04-19 02:38:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 612,311
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 613,310
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 614,308
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 615,306
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 616,304
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 617,303
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 617,301
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 619,299
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 619,297
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 621,295
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 622,293
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 623,291
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 624,290
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 625,288
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 625,286
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 626,285
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 626,284
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 626,283
[2025-04-19 02:38:53] [INFO] [MapEditorScene] Updated hoveredTilePanes 626,282
