[2025-04-19 02:39:26] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 02:39:26] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 02:39:26] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 02:39:26] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 02:39:26] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 02:39:26] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 02:39:26] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 02:39:26] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 02:39:26] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 02:39:26] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 02:39:26] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 02:39:26] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 02:39:26] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 02:39:26] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 02:39:26] [INFO] [Component] Setting light_dragon_Cody_0e292d9e-0036-40fa-b7cf-347bc86d4304 on to {"row":5,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Cody_0e292d9e-0036-40fa-b7cf-347bc86d4304","structure":""}.
[2025-04-19 02:39:26] [INFO] [SpeedQueue] Added unit enemy:Cody into queue
[2025-04-19 02:39:26] [INFO] [Component] Setting air_dragon_Poxemo_af8bf376-a4f8-4146-ac8f-fe93c57fbc22 on to {"row":7,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Poxemo_af8bf376-a4f8-4146-ac8f-fe93c57fbc22","structure":""}.
[2025-04-19 02:39:26] [INFO] [SpeedQueue] Added unit enemy:Poxemo into queue
[2025-04-19 02:39:26] [INFO] [Component] Setting water_dragon_Oiziu_9ece9d9b-0690-4891-bfdc-ee031b295904 on to {"row":5,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Oiziu_9ece9d9b-0690-4891-bfdc-ee031b295904","structure":""}.
[2025-04-19 02:39:26] [INFO] [SpeedQueue] Added unit enemy:Oiziu into queue
[2025-04-19 02:39:26] [INFO] [Component] Setting dragon_Vooye_ba7e6e07-9830-420a-bbbe-784276b57d38 on to {"row":0,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Vooye_ba7e6e07-9830-420a-bbbe-784276b57d38","structure":""}.
[2025-04-19 02:39:26] [INFO] [SpeedQueue] Added unit enemy:Vooye into queue
[2025-04-19 02:39:26] [INFO] [Component] Setting earth_dragon_Dooib_1951615e-0cb4-466d-b9eb-eabc90cd24e6 on to {"row":4,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Dooib_1951615e-0cb4-466d-b9eb-eabc90cd24e6","structure":""}.
[2025-04-19 02:39:26] [INFO] [SpeedQueue] Added unit user:Dooib into queue
[2025-04-19 02:39:26] [INFO] [Component] Setting dark_dragon_Wikay_7953f5ba-6525-452a-b283-27fa847c90c2 on to {"row":3,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Wikay_7953f5ba-6525-452a-b283-27fa847c90c2","structure":""}.
[2025-04-19 02:39:26] [INFO] [SpeedQueue] Added unit user:Wikay into queue
[2025-04-19 02:39:26] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 02:39:27] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 02:39:27] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:39:27] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 02:39:27] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 02:39:27] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 02:39:27] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 02:39:27] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 02:39:27] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_a46657a1-f05f-4bb3-9492-646a12e9ef71
[2025-04-19 02:39:27] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 02:39:27] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 02:39:27] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 02:39:27] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 02:39:27] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 02:39:28] [INFO] [VisualsSystem] Finished creating blurred background after 0.49394604563713074 seconds
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 679,169
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,187
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,200
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 641,214
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 631,227
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 623,240
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 621,245
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 616,254
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 612,261
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 609,268
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 607,274
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 605,279
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 603,284
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 602,289
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 600,293
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 599,298
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 598,301
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 597,306
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 596,309
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 596,313
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 595,316
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 594,319
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 592,322
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 592,326
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 590,329
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 588,332
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 587,335
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 585,339
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 583,343
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 577,355
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 574,359
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 571,366
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 568,373
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 566,376
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 563,383
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 559,389
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 554,399
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 551,403
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 549,407
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 548,409
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 547,410
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 545,412
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 545,413
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 544,413
[2025-04-19 02:39:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 544,399
[2025-04-19 02:39:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 544,385
[2025-04-19 02:39:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 543,374
