[2025-04-19 11:14:02] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 11:14:02] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 11:14:02] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 11:14:02] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 11:14:02] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 11:14:02] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 11:14:02] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 11:14:02] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 11:14:02] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 11:14:02] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 11:14:02] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 11:14:02] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 11:14:02] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 11:14:02] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 11:14:02] [INFO] [Component] Setting dark_dragon_Loai_8041932a-f9d5-4d56-ba66-bf05e99f1d21 on to {"row":1,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Loai_8041932a-f9d5-4d56-ba66-bf05e99f1d21","structure":""}.
[2025-04-19 11:14:02] [INFO] [SpeedQueue] Added unit enemy:Loai into queue
[2025-04-19 11:14:02] [INFO] [Component] Setting fire_dragon_Syhc_60eded5c-a9b4-4418-986e-cbf94c4e542a on to {"row":7,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Syhc_60eded5c-a9b4-4418-986e-cbf94c4e542a","structure":""}.
[2025-04-19 11:14:02] [INFO] [SpeedQueue] Added unit enemy:Syhc into queue
[2025-04-19 11:14:02] [INFO] [Component] Setting dragon_Aaco_fd82f8c1-8807-4544-afd4-83b674684132 on to {"row":7,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Aaco_fd82f8c1-8807-4544-afd4-83b674684132","structure":""}.
[2025-04-19 11:14:02] [INFO] [SpeedQueue] Added unit enemy:Aaco into queue
[2025-04-19 11:14:02] [INFO] [Component] Setting earth_dragon_Nase_98894d5d-1a4d-4f4b-8720-62fe30e5874d on to {"row":4,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Nase_98894d5d-1a4d-4f4b-8720-62fe30e5874d","structure":""}.
[2025-04-19 11:14:02] [INFO] [SpeedQueue] Added unit enemy:Nase into queue
[2025-04-19 11:14:02] [INFO] [Component] Setting earth_dragon_Lirglf_b2bacd9e-4852-4790-a191-ad74c290ac5c on to {"row":3,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Lirglf_b2bacd9e-4852-4790-a191-ad74c290ac5c","structure":""}.
[2025-04-19 11:14:02] [INFO] [SpeedQueue] Added unit enemy:Lirglf into queue
[2025-04-19 11:14:02] [INFO] [Component] Setting dark_dragon_Tytat_5249ce23-844f-4b75-8f8d-9b7e7d4b5378 on to {"row":2,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Tytat_5249ce23-844f-4b75-8f8d-9b7e7d4b5378","structure":""}.
[2025-04-19 11:14:02] [INFO] [SpeedQueue] Added unit user:Tytat into queue
[2025-04-19 11:14:02] [INFO] [Component] Setting dragon_Mamsb_3d17cb9e-f094-4c94-a1e0-f9213c922aa6 on to {"row":0,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Mamsb_3d17cb9e-f094-4c94-a1e0-f9213c922aa6","structure":""}.
[2025-04-19 11:14:02] [INFO] [SpeedQueue] Added unit user:Mamsb into queue
[2025-04-19 11:14:02] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 11:14:02] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 11:14:02] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:14:02] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 11:14:03] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 11:14:03] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 11:14:03] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 11:14:03] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:14:03] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_a97ac7e6-89e4-4c0c-8e05-d9a616252720
[2025-04-19 11:14:03] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 11:14:03] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 11:14:03] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 11:14:03] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 11:14:03] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 11:14:04] [INFO] [VisualsSystem] Finished creating blurred background after 0.49929171800613403 seconds
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,415
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,418
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 889,423
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 873,432
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 868,434
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 863,437
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 862,438
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,439
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 860,440
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 859,440
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 858,440
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,441
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 856,441
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,442
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 854,443
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,443
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 852,444
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 851,444
[2025-04-19 11:14:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 850,445
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 849,445
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 849,446
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 848,446
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 847,447
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 846,447
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,447
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 844,448
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 843,449
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 842,449
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 841,450
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 839,450
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 837,452
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,452
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 834,453
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 830,454
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 828,455
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 825,457
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 823,458
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 820,460
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 818,461
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,463
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 813,464
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 811,466
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 809,467
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 807,468
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 805,470
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 803,471
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 802,472
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,473
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,474
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,475
[2025-04-19 11:14:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 796,476
