[2025-04-19 11:16:24] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 11:16:24] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 11:16:24] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 11:16:24] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 11:16:24] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 11:16:24] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 11:16:24] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 11:16:24] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 11:16:24] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 11:16:24] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 11:16:24] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 11:16:24] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 11:16:24] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 11:16:24] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 11:16:24] [INFO] [Component] Setting earth_dragon_Pifob_511c98b1-394d-4a5d-ab7f-772a18f2bda6 on to {"row":7,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Pifob_511c98b1-394d-4a5d-ab7f-772a18f2bda6","structure":""}.
[2025-04-19 11:16:24] [INFO] [SpeedQueue] Added unit enemy:Pifob into queue
[2025-04-19 11:16:24] [INFO] [Component] Setting earth_dragon_Loza_27a945a9-d540-4b4c-af93-2a71697af01d on to {"row":2,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Loza_27a945a9-d540-4b4c-af93-2a71697af01d","structure":""}.
[2025-04-19 11:16:24] [INFO] [SpeedQueue] Added unit enemy:Loza into queue
[2025-04-19 11:16:24] [INFO] [Component] Setting dragon_Myqiym_191eed46-93ed-448f-9b4f-6c617372dbff on to {"row":7,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Myqiym_191eed46-93ed-448f-9b4f-6c617372dbff","structure":""}.
[2025-04-19 11:16:24] [INFO] [SpeedQueue] Added unit enemy:Myqiym into queue
[2025-04-19 11:16:24] [INFO] [Component] Setting air_dragon_Wuco_6ddafb30-6abb-40ab-b428-f99a72bb71ee on to {"row":1,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Wuco_6ddafb30-6abb-40ab-b428-f99a72bb71ee","structure":""}.
[2025-04-19 11:16:24] [INFO] [SpeedQueue] Added unit enemy:Wuco into queue
[2025-04-19 11:16:24] [INFO] [Component] Setting dragon_Saxe_0b293f96-72a7-4742-a408-2e672e545156 on to {"row":5,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Saxe_0b293f96-72a7-4742-a408-2e672e545156","structure":""}.
[2025-04-19 11:16:24] [INFO] [SpeedQueue] Added unit user:Saxe into queue
[2025-04-19 11:16:24] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 11:16:24] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 11:16:24] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:16:24] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 11:16:24] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 11:16:24] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 11:16:25] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 11:16:25] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:16:25] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_115af9a3-33c9-4175-ad9e-45df4c997b52
[2025-04-19 11:16:25] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 11:16:25] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 11:16:25] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 11:16:25] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 11:16:25] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 11:16:25] [INFO] [VisualsSystem] Finished creating blurred background after 0.49169591069221497 seconds
[2025-04-19 11:16:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1116,306
[2025-04-19 11:16:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1109,311
[2025-04-19 11:16:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,316
[2025-04-19 11:16:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1094,323
[2025-04-19 11:16:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1086,328
[2025-04-19 11:16:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,333
[2025-04-19 11:16:26] [INFO] [MapEditorScene] Updated hoveredTilePanes 1071,337
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1067,340
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1060,345
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1054,350
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,355
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,358
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1032,365
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,368
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,371
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,375
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,378
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,379
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 994,381
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,383
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,385
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 974,388
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,390
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,392
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 958,393
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,395
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,396
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 944,397
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,398
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,399
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,400
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 927,401
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,402
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 922,402
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 920,402
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,403
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,403
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,403
[2025-04-19 11:16:27] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,403
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 915,403
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,402
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 904,400
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,399
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 890,397
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 882,395
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,393
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,391
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 843,388
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 829,386
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,383
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 810,382
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 799,380
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 790,377
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,375
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 775,372
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,370
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 764,368
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 759,366
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 752,363
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 750,362
[2025-04-19 11:16:28] [INFO] [MapEditorScene] Updated hoveredTilePanes 745,360
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,358
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,357
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,355
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,355
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,354
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 724,353
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,352
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 719,352
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,351
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 711,351
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,351
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 703,351
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,351
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 695,351
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 690,351
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 685,351
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 680,353
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 676,355
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,358
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 667,360
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 662,363
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 659,364
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,367
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 652,369
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,370
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,371
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,372
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 644,373
[2025-04-19 11:16:29] [INFO] [MapEditorScene] Updated hoveredTilePanes 643,373
