[2025-04-19 11:18:30] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 11:18:30] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 11:18:30] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 11:18:30] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 11:18:30] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 11:18:30] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 11:18:30] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 11:18:30] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 11:18:30] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 11:18:30] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 11:18:30] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 11:18:30] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 11:18:30] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 11:18:30] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 11:18:30] [INFO] [Component] Setting air_dragon_Waun_8014d922-baef-4cdd-9904-d948f2d37c2f on to {"row":2,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Waun_8014d922-baef-4cdd-9904-d948f2d37c2f","structure":""}.
[2025-04-19 11:18:30] [INFO] [SpeedQueue] Added unit enemy:Waun into queue
[2025-04-19 11:18:30] [INFO] [Component] Setting dark_dragon_Oiiyij_33fbe686-87a3-4d93-8e69-09663082cc96 on to {"row":7,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Oiiyij_33fbe686-87a3-4d93-8e69-09663082cc96","structure":""}.
[2025-04-19 11:18:30] [INFO] [SpeedQueue] Added unit enemy:Oiiyij into queue
[2025-04-19 11:18:30] [INFO] [Component] Setting water_dragon_Jotvu_01fa94a7-f639-4198-805d-1ca23461d022 on to {"row":5,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Jotvu_01fa94a7-f639-4198-805d-1ca23461d022","structure":""}.
[2025-04-19 11:18:30] [INFO] [SpeedQueue] Added unit enemy:Jotvu into queue
[2025-04-19 11:18:30] [INFO] [Component] Setting dragon_Widiu_cac515c0-52a8-48a0-8609-ba3b480af22b on to {"row":4,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Widiu_cac515c0-52a8-48a0-8609-ba3b480af22b","structure":""}.
[2025-04-19 11:18:30] [INFO] [SpeedQueue] Added unit enemy:Widiu into queue
[2025-04-19 11:18:30] [INFO] [Component] Setting earth_dragon_Dufcku_f07e5a3b-bc3b-4b3b-a2f7-900370a89175 on to {"row":6,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Dufcku_f07e5a3b-bc3b-4b3b-a2f7-900370a89175","structure":""}.
[2025-04-19 11:18:30] [INFO] [SpeedQueue] Added unit enemy:Dufcku into queue
[2025-04-19 11:18:30] [INFO] [Component] Setting dragon_Zaneye_64daaa9e-433b-4546-b768-13a61024d0b2 on to {"row":0,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Zaneye_64daaa9e-433b-4546-b768-13a61024d0b2","structure":""}.
[2025-04-19 11:18:30] [INFO] [SpeedQueue] Added unit user:Zaneye into queue
[2025-04-19 11:18:30] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 11:18:30] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 11:18:30] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:18:30] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 11:18:30] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 11:18:30] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 11:18:31] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 11:18:31] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:18:31] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_fedc6f97-b117-494a-9884-09d03bd07796
[2025-04-19 11:18:31] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 11:18:31] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 11:18:31] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 11:18:31] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 11:18:31] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 11:18:32] [INFO] [VisualsSystem] Finished creating blurred background after 0.49062809348106384 seconds
[2025-04-19 11:18:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1119,207
[2025-04-19 11:18:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1114,212
[2025-04-19 11:18:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1111,214
[2025-04-19 11:18:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1107,218
[2025-04-19 11:18:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1105,219
[2025-04-19 11:18:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1103,221
[2025-04-19 11:18:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1102,222
[2025-04-19 11:18:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,222
[2025-04-19 11:18:32] [INFO] [MapEditorScene] Updated hoveredTilePanes 1100,223
[2025-04-19 11:18:33] [INFO] [MapEditorScene] Updated hoveredTilePanes 1099,224
[2025-04-19 11:18:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1099,223
[2025-04-19 11:18:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1099,222
[2025-04-19 11:18:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1100,222
[2025-04-19 11:18:36] [INFO] [MapEditorScene] Updated hoveredTilePanes 1101,222
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1097,222
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1089,222
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1085,223
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1077,224
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1072,225
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1061,227
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1058,227
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1051,227
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,228
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1036,228
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,228
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,228
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,228
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,228
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,228
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,228
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,228
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,228
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 971,227
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,225
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,225
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 955,224
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,223
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,223
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,223
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,223
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,223
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,223
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,223
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,223
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 896,224
[2025-04-19 11:18:46] [INFO] [MapEditorScene] Updated hoveredTilePanes 892,225
