[2025-04-19 11:36:34] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 11:36:35] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 11:36:35] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 11:36:35] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 11:36:35] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 11:36:35] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 11:36:35] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 11:36:35] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 11:36:35] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 11:36:35] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 11:36:35] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 11:36:35] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 11:36:35] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 11:36:35] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 11:36:35] [INFO] [Component] Setting dragon_Puqz_ad50499b-a5dd-4598-bba6-ca1eaf039594 on to {"row":6,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Puqz_ad50499b-a5dd-4598-bba6-ca1eaf039594","structure":""}.
[2025-04-19 11:36:35] [INFO] [SpeedQueue] Added unit enemy:Puqz into queue
[2025-04-19 11:36:35] [INFO] [Component] Setting fire_dragon_Zeuy_326d7cee-d21f-4be4-abf3-255b316a5f9d on to {"row":3,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Zeuy_326d7cee-d21f-4be4-abf3-255b316a5f9d","structure":""}.
[2025-04-19 11:36:35] [INFO] [SpeedQueue] Added unit enemy:Zeuy into queue
[2025-04-19 11:36:35] [INFO] [Component] Setting earth_dragon_Bamu_5a06c9b2-1412-4eb1-9b7a-ae96967faf66 on to {"row":6,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Bamu_5a06c9b2-1412-4eb1-9b7a-ae96967faf66","structure":""}.
[2025-04-19 11:36:35] [INFO] [SpeedQueue] Added unit enemy:Bamu into queue
[2025-04-19 11:36:35] [INFO] [Component] Setting light_dragon_Kebma_6b86bf0f-46b6-432b-814a-ffa503df15ec on to {"row":3,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Kebma_6b86bf0f-46b6-432b-814a-ffa503df15ec","structure":""}.
[2025-04-19 11:36:35] [INFO] [SpeedQueue] Added unit enemy:Kebma into queue
[2025-04-19 11:36:35] [INFO] [Component] Setting fire_dragon_Potv_89d2cf13-6bfb-4df9-8419-4d1148652260 on to {"row":0,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Potv_89d2cf13-6bfb-4df9-8419-4d1148652260","structure":""}.
[2025-04-19 11:36:35] [INFO] [SpeedQueue] Added unit enemy:Potv into queue
[2025-04-19 11:36:35] [INFO] [Component] Setting dark_dragon_Yoii_dc2e1a08-6040-46b1-8f25-5e2fbba1d04b on to {"row":0,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Yoii_dc2e1a08-6040-46b1-8f25-5e2fbba1d04b","structure":""}.
[2025-04-19 11:36:35] [INFO] [SpeedQueue] Added unit user:Yoii into queue
[2025-04-19 11:36:35] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 11:36:35] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 11:36:35] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:36:35] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 11:36:35] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 11:36:35] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 11:36:35] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 11:36:35] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:36:35] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_30fb91e9-6b55-48e6-8aa6-edb0b5119ae1
[2025-04-19 11:36:36] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 11:36:36] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 11:36:36] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 11:36:36] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 11:36:36] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 11:36:36] [INFO] [VisualsSystem] Finished creating blurred background after 0.4874621629714966 seconds
[2025-04-19 11:36:37] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,229
[2025-04-19 11:36:41] [INFO] [MapEditorScene] Updated hoveredTilePanes 337,755
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1122,585
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1115,580
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1106,576
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1095,572
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1086,568
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1077,565
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1066,559
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,558
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1046,552
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1035,547
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1026,545
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1017,544
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,543
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 1004,541
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,539
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,539
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 984,538
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 977,538
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,538
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,537
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,537
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,537
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,537
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,537
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 955,537
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,537
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,537
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 949,537
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 947,537
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 944,538
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 942,539
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,541
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,542
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 931,543
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,545
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 923,547
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,548
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,548
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,549
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,550
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 908,551
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 904,551
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,552
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 899,552
[2025-04-19 11:36:47] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,552
