[2025-04-19 11:40:43] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 11:40:43] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 11:40:43] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 11:40:43] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 11:40:43] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 11:40:43] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 11:40:43] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 11:40:43] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 11:40:43] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 11:40:43] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 11:40:43] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 11:40:43] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 11:40:43] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 11:40:43] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 11:40:47] [INFO] [Component] Setting fire_dragon_Teciu_ab6bff4c-1ccd-41bf-b7b6-84c655355d14 on to {"row":7,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Teciu_ab6bff4c-1ccd-41bf-b7b6-84c655355d14","structure":""}.
[2025-04-19 11:40:47] [INFO] [SpeedQueue] Added unit enemy:Teciu into queue
[2025-04-19 11:40:47] [INFO] [Component] Setting air_dragon_Pugi_e15ac93a-05ce-4ab9-b86f-0efdcf635de3 on to {"row":5,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Pugi_e15ac93a-05ce-4ab9-b86f-0efdcf635de3","structure":""}.
[2025-04-19 11:40:47] [INFO] [SpeedQueue] Added unit enemy:Pugi into queue
[2025-04-19 11:40:47] [INFO] [Component] Setting fire_dragon_Aiekxw_157849d7-d6e1-4ab1-9797-71be48744717 on to {"row":0,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Aiekxw_157849d7-d6e1-4ab1-9797-71be48744717","structure":""}.
[2025-04-19 11:40:47] [INFO] [SpeedQueue] Added unit enemy:Aiekxw into queue
[2025-04-19 11:40:47] [INFO] [Component] Setting dragon_Malo_19333807-8c0e-456a-8668-05eb6e5eea9c on to {"row":2,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Malo_19333807-8c0e-456a-8668-05eb6e5eea9c","structure":""}.
[2025-04-19 11:40:47] [INFO] [SpeedQueue] Added unit enemy:Malo into queue
[2025-04-19 11:40:47] [INFO] [Component] Setting fire_dragon_Ooqnl_3835f65d-170b-461b-afaf-cceac0c38bbf on to {"row":5,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Ooqnl_3835f65d-170b-461b-afaf-cceac0c38bbf","structure":""}.
[2025-04-19 11:40:47] [INFO] [SpeedQueue] Added unit user:Ooqnl into queue
[2025-04-19 11:40:47] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 11:40:47] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 11:40:47] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:40:47] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 11:40:47] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 11:40:47] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 11:40:47] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 11:40:47] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:40:47] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_da3945c4-490c-4471-91d1-215f5a04a308
[2025-04-19 11:40:47] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 11:40:47] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 11:40:47] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 11:40:47] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 11:40:47] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 11:40:48] [INFO] [VisualsSystem] Finished creating blurred background after 0.48956456780433655 seconds
[2025-04-19 11:40:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 835,469
[2025-04-19 11:40:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,466
[2025-04-19 11:40:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 826,463
[2025-04-19 11:40:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,460
[2025-04-19 11:40:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,455
[2025-04-19 11:40:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 804,450
[2025-04-19 11:40:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,445
[2025-04-19 11:40:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 787,439
[2025-04-19 11:40:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 784,438
[2025-04-19 11:40:48] [INFO] [MapEditorScene] Updated hoveredTilePanes 768,429
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 765,428
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 759,424
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 754,421
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 749,419
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 746,418
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,416
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 739,415
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 737,414
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 735,413
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 734,412
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 732,411
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 731,410
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 729,410
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 728,409
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 726,408
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 725,408
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,407
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 722,406
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 721,405
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 720,405
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 718,404
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 717,404
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 716,404
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 715,403
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 714,403
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 713,403
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 712,403
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 711,403
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 710,403
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,403
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 707,404
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 704,406
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 700,409
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 696,411
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 691,414
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 686,417
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 684,420
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 674,427
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 672,429
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 661,440
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 653,446
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 645,454
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 635,461
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 624,471
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 615,478
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 604,487
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 596,493
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 592,496
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 584,501
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 577,506
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 569,511
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 565,515
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 560,518
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 557,522
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 553,524
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 549,527
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 547,530
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 544,532
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 542,535
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 540,536
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 539,537
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 538,538
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 537,539
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 536,540
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 535,541
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 534,542
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 533,542
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 532,542
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 531,542
[2025-04-19 11:40:49] [INFO] [MapEditorScene] Updated hoveredTilePanes 530,543
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 529,543
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 526,543
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 519,543
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 513,543
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 506,543
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 503,543
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 489,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 486,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 477,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 470,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 462,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 455,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 448,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 442,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 437,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 430,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 419,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 417,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 411,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 406,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 399,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 394,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 390,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 386,544
[2025-04-19 11:40:50] [INFO] [MapEditorScene] Updated hoveredTilePanes 381,545
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 377,546
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 372,546
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 367,547
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 364,548
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 361,549
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 357,550
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 354,551
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 352,551
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 349,552
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 347,553
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 346,553
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 344,553
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 342,553
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 341,553
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 339,554
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 337,554
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 335,554
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 333,555
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 331,555
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 327,555
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 325,556
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 322,556
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 320,557
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 318,557
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 316,557
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 314,557
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 313,557
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 311,558
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 310,558
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 309,558
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 308,558
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 307,559
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 306,559
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 305,559
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 304,559
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 303,559
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 302,559
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 301,559
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 300,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 299,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 298,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 297,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 296,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 295,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 294,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 293,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 291,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 289,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 287,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 285,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 282,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 278,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 275,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 270,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 267,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 262,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 259,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 256,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 252,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 249,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 247,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 246,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 245,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 244,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 243,560
[2025-04-19 11:40:51] [INFO] [MapEditorScene] Updated hoveredTilePanes 242,560
[2025-04-19 11:40:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 240,557
[2025-04-19 11:40:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 238,554
[2025-04-19 11:40:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 236,551
[2025-04-19 11:40:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 234,549
[2025-04-19 11:40:52] [INFO] [MapEditorScene] Updated hoveredTilePanes 231,545
