[2025-04-19 11:41:03] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 11:41:03] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 11:41:03] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 11:41:03] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 11:41:03] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 11:41:03] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 11:41:03] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 11:41:03] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 11:41:03] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 11:41:03] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 11:41:03] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 11:41:03] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 11:41:03] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 11:41:03] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 11:41:03] [INFO] [Component] Setting water_dragon_Como_22805a9d-834c-4473-b263-085cb88dd07f on to {"row":6,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Como_22805a9d-834c-4473-b263-085cb88dd07f","structure":""}.
[2025-04-19 11:41:03] [INFO] [SpeedQueue] Added unit enemy:Como into queue
[2025-04-19 11:41:03] [INFO] [Component] Setting earth_dragon_Zise_07fce43d-f130-4d36-994e-0b837db04aa5 on to {"row":3,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Zise_07fce43d-f130-4d36-994e-0b837db04aa5","structure":""}.
[2025-04-19 11:41:03] [INFO] [SpeedQueue] Added unit enemy:Zise into queue
[2025-04-19 11:41:03] [INFO] [Component] Setting dragon_Aivov_148c5e18-2324-4c00-9e33-de3a0df19a82 on to {"row":1,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Aivov_148c5e18-2324-4c00-9e33-de3a0df19a82","structure":""}.
[2025-04-19 11:41:03] [INFO] [SpeedQueue] Added unit enemy:Aivov into queue
[2025-04-19 11:41:03] [INFO] [Component] Setting dark_dragon_Jowu_fd44f169-ea4e-4032-91ca-be8a27c54005 on to {"row":3,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Jowu_fd44f169-ea4e-4032-91ca-be8a27c54005","structure":""}.
[2025-04-19 11:41:03] [INFO] [SpeedQueue] Added unit enemy:Jowu into queue
[2025-04-19 11:41:03] [INFO] [Component] Setting fire_dragon_Heowoe_dd59bc51-5245-42b3-bb02-ef0d8028575d on to {"row":6,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Heowoe_dd59bc51-5245-42b3-bb02-ef0d8028575d","structure":""}.
[2025-04-19 11:41:03] [INFO] [SpeedQueue] Added unit user:Heowoe into queue
[2025-04-19 11:41:03] [INFO] [Component] Setting light_dragon_Iuceud_d6715630-2577-44a7-9c86-4248238b586a on to {"row":5,"column":6,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Iuceud_d6715630-2577-44a7-9c86-4248238b586a","structure":""}.
[2025-04-19 11:41:03] [INFO] [SpeedQueue] Added unit user:Iuceud into queue
[2025-04-19 11:41:03] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 11:41:03] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 11:41:03] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:41:03] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 11:41:03] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 11:41:03] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 11:41:03] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 11:41:04] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:41:04] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_6e9d1355-8570-454a-bb40-2193ed69f44b
[2025-04-19 11:41:04] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 11:41:04] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 11:41:04] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 11:41:04] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 11:41:04] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 11:41:04] [INFO] [VisualsSystem] Finished creating blurred background after 0.5052043199539185 seconds
[2025-04-19 11:41:04] [INFO] [MapEditorScene] Updated hoveredTilePanes 856,238
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 855,239
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,244
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,254
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,262
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,273
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 782,284
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 760,296
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,307
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 723,316
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 708,325
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 693,333
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 688,336
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 669,347
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 663,350
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 658,353
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 655,354
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 653,356
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,357
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 650,358
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 649,359
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 648,359
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 647,360
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 646,360
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 644,361
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 642,362
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 640,363
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 638,365
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 636,366
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 634,367
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 632,368
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 630,369
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 629,370
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 627,371
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 625,372
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 623,373
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 619,375
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 617,376
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 614,377
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 611,379
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 608,380
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 603,382
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 600,384
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 596,386
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 593,386
[2025-04-19 11:41:05] [INFO] [MapEditorScene] Updated hoveredTilePanes 591,388
