[2025-04-19 11:41:32] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 11:41:32] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 11:41:32] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 11:41:32] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 11:41:32] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 11:41:32] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 11:41:32] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 11:41:32] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 11:41:32] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 11:41:32] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 11:41:32] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 11:41:32] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 11:41:32] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 11:41:32] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 11:41:32] [INFO] [Component] Setting light_dragon_Soqey_b4dcda17-a47e-4919-8e00-df5fc1cea149 on to {"row":2,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Soqey_b4dcda17-a47e-4919-8e00-df5fc1cea149","structure":""}.
[2025-04-19 11:41:32] [INFO] [SpeedQueue] Added unit enemy:Soqey into queue
[2025-04-19 11:41:32] [INFO] [Component] Setting dragon_Uegub_7024c6eb-54ae-424a-be4a-f6622c891cce on to {"row":1,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Uegub_7024c6eb-54ae-424a-be4a-f6622c891cce","structure":""}.
[2025-04-19 11:41:32] [INFO] [SpeedQueue] Added unit enemy:Uegub into queue
[2025-04-19 11:41:32] [INFO] [Component] Setting air_dragon_Fivcst_cd10627c-6d68-4461-a519-b72a263ef364 on to {"row":5,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Fivcst_cd10627c-6d68-4461-a519-b72a263ef364","structure":""}.
[2025-04-19 11:41:32] [INFO] [SpeedQueue] Added unit enemy:Fivcst into queue
[2025-04-19 11:41:32] [INFO] [Component] Setting light_dragon_Qedm_55376b18-f960-47ac-8b36-a2ea337a4bb0 on to {"row":5,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Qedm_55376b18-f960-47ac-8b36-a2ea337a4bb0","structure":""}.
[2025-04-19 11:41:32] [INFO] [SpeedQueue] Added unit enemy:Qedm into queue
[2025-04-19 11:41:32] [INFO] [Component] Setting light_dragon_Mojy_ae626b8b-2378-48f9-9e98-d9439632b79c on to {"row":5,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Mojy_ae626b8b-2378-48f9-9e98-d9439632b79c","structure":""}.
[2025-04-19 11:41:32] [INFO] [SpeedQueue] Added unit enemy:Mojy into queue
[2025-04-19 11:41:32] [INFO] [Component] Setting earth_dragon_Tymii_d3f58d09-37f0-4f45-8b8a-67ec6c5026b0 on to {"row":0,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Tymii_d3f58d09-37f0-4f45-8b8a-67ec6c5026b0","structure":""}.
[2025-04-19 11:41:32] [INFO] [SpeedQueue] Added unit user:Tymii into queue
[2025-04-19 11:41:32] [INFO] [Component] Setting light_dragon_Ouuux_13b5a8e2-8b42-47c0-8d1b-062c7234a2b6 on to {"row":2,"column":5,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Ouuux_13b5a8e2-8b42-47c0-8d1b-062c7234a2b6","structure":""}.
[2025-04-19 11:41:32] [INFO] [SpeedQueue] Added unit user:Ouuux into queue
[2025-04-19 11:41:32] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 11:41:32] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 11:41:32] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:41:32] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 11:41:32] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 11:41:32] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 11:41:32] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 11:41:33] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:41:33] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_0f49d7a3-a03f-4606-a87f-2fd67a4ca4bd
[2025-04-19 11:41:33] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 11:41:33] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 11:41:33] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 11:41:33] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 11:41:33] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 11:41:33] [INFO] [VisualsSystem] Finished creating blurred background after 0.4884226322174072 seconds
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,139
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1049,151
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1040,162
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1031,172
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,176
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1022,184
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,189
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,193
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,198
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1012,201
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1011,203
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1010,207
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,209
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1009,211
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,213
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,219
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1006,222
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,227
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1003,232
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,237
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,242
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,245
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,250
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,253
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,255
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,257
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,258
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,259
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,260
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,261
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,262
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,263
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,264
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1001,266
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,269
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,273
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,277
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,282
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,288
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,291
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,294
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 955,307
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,312
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 938,317
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 928,324
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,330
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,338
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 880,350
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 872,354
[2025-04-19 11:41:34] [INFO] [MapEditorScene] Updated hoveredTilePanes 853,363
