[2025-04-19 11:42:09] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 11:42:09] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 11:42:09] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 11:42:09] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 11:42:09] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 11:42:09] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 11:42:09] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 11:42:09] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 11:42:09] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 11:42:09] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 11:42:09] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 11:42:09] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 11:42:09] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 11:42:09] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 11:42:09] [INFO] [Component] Setting earth_dragon_Xahi_206927ec-eb54-48b5-8166-1b191d239d65 on to {"row":2,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Xahi_206927ec-eb54-48b5-8166-1b191d239d65","structure":""}.
[2025-04-19 11:42:09] [INFO] [SpeedQueue] Added unit enemy:Xahi into queue
[2025-04-19 11:42:09] [INFO] [Component] Setting dark_dragon_Oopnke_761b0fe0-fa0b-45bb-ac35-43b9c5cdab86 on to {"row":0,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"dark_dragon_Oopnke_761b0fe0-fa0b-45bb-ac35-43b9c5cdab86","structure":""}.
[2025-04-19 11:42:09] [INFO] [SpeedQueue] Added unit enemy:Oopnke into queue
[2025-04-19 11:42:09] [INFO] [Component] Setting dragon_Nersa_ce7b624b-2f0c-4598-bc7b-f3b791b70b9d on to {"row":2,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Nersa_ce7b624b-2f0c-4598-bc7b-f3b791b70b9d","structure":""}.
[2025-04-19 11:42:09] [INFO] [SpeedQueue] Added unit enemy:Nersa into queue
[2025-04-19 11:42:09] [INFO] [Component] Setting water_dragon_Jifyie_2c6349d5-9c8a-47ad-a3a4-44e960b2cc6f on to {"row":6,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Jifyie_2c6349d5-9c8a-47ad-a3a4-44e960b2cc6f","structure":""}.
[2025-04-19 11:42:09] [INFO] [SpeedQueue] Added unit enemy:Jifyie into queue
[2025-04-19 11:42:09] [INFO] [Component] Setting earth_dragon_Fyjiv_817fab88-14e5-4c73-990b-b35dc4f11bf6 on to {"row":7,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Fyjiv_817fab88-14e5-4c73-990b-b35dc4f11bf6","structure":""}.
[2025-04-19 11:42:09] [INFO] [SpeedQueue] Added unit user:Fyjiv into queue
[2025-04-19 11:42:09] [INFO] [Component] Setting fire_dragon_Pooyum_b9a06a85-bff0-43c7-ab9e-9741d04caaa7 on to {"row":4,"column":1,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Pooyum_b9a06a85-bff0-43c7-ab9e-9741d04caaa7","structure":""}.
[2025-04-19 11:42:09] [INFO] [SpeedQueue] Added unit user:Pooyum into queue
[2025-04-19 11:42:09] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 11:42:09] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 11:42:09] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:42:09] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 11:42:10] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 11:42:10] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 11:42:10] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 11:42:10] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:42:10] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_9e7125c4-000a-4d3e-a195-d574918c9b74
[2025-04-19 11:42:10] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 11:42:10] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 11:42:10] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 11:42:10] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 11:42:10] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 11:42:11] [INFO] [VisualsSystem] Finished creating blurred background after 0.49476358294487 seconds
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1110,150
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1104,156
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1097,162
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1095,164
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1088,170
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1079,178
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1074,183
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,191
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1063,193
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1059,197
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,206
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1045,210
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1041,216
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1037,218
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,227
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1022,233
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1016,239
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1013,242
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1008,246
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,251
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,255
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 993,258
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 989,261
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,264
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 983,265
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 982,265
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,266
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,266
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 980,267
[2025-04-19 11:42:11] [INFO] [MapEditorScene] Updated hoveredTilePanes 979,267
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 978,267
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 976,265
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,264
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,261
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 960,256
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 953,250
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,237
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,221
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,198
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,172
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,142
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 780,112
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 742,81
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 704,51
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 685,40
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 651,14
[2025-04-19 11:42:12] [INFO] [MapEditorScene] Updated hoveredTilePanes 512,1
