[2025-04-19 11:43:41] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 11:43:41] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 11:43:41] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 11:43:41] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 11:43:41] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 11:43:41] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 11:43:41] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 11:43:41] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 11:43:41] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 11:43:41] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 11:43:41] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 11:43:41] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 11:43:41] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 11:43:41] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 11:43:41] [INFO] [Component] Setting light_dragon_Hepaaq_36b763b6-0ac9-488a-9f4a-931741011371 on to {"row":4,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Hepaaq_36b763b6-0ac9-488a-9f4a-931741011371","structure":""}.
[2025-04-19 11:43:41] [INFO] [SpeedQueue] Added unit enemy:Hepaaq into queue
[2025-04-19 11:43:41] [INFO] [Component] Setting earth_dragon_Aamieg_6db2b596-22e4-487a-84bb-41fe8bef41ea on to {"row":2,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Aamieg_6db2b596-22e4-487a-84bb-41fe8bef41ea","structure":""}.
[2025-04-19 11:43:41] [INFO] [SpeedQueue] Added unit enemy:Aamieg into queue
[2025-04-19 11:43:41] [INFO] [Component] Setting earth_dragon_Nitn_eb702026-dd02-4849-81e0-f54f5ce9bbca on to {"row":3,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Nitn_eb702026-dd02-4849-81e0-f54f5ce9bbca","structure":""}.
[2025-04-19 11:43:41] [INFO] [SpeedQueue] Added unit enemy:Nitn into queue
[2025-04-19 11:43:41] [INFO] [Component] Setting fire_dragon_Aamozy_b408177c-391f-46f0-8edf-f815a923da8e on to {"row":6,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Aamozy_b408177c-391f-46f0-8edf-f815a923da8e","structure":""}.
[2025-04-19 11:43:41] [INFO] [SpeedQueue] Added unit enemy:Aamozy into queue
[2025-04-19 11:43:41] [INFO] [Component] Setting dragon_Cixai_3632ac25-071b-46b8-ae07-0e55de5d4301 on to {"row":2,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Cixai_3632ac25-071b-46b8-ae07-0e55de5d4301","structure":""}.
[2025-04-19 11:43:41] [INFO] [SpeedQueue] Added unit enemy:Cixai into queue
[2025-04-19 11:43:41] [INFO] [Component] Setting light_dragon_Uijy_0f7b4b08-2b5a-4638-ba42-35c68528ee1e on to {"row":0,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"light_dragon_Uijy_0f7b4b08-2b5a-4638-ba42-35c68528ee1e","structure":""}.
[2025-04-19 11:43:41] [INFO] [SpeedQueue] Added unit user:Uijy into queue
[2025-04-19 11:43:41] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 11:43:41] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 11:43:41] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:43:41] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 11:43:41] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 11:43:41] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 11:43:41] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 11:43:42] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:43:42] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_6f31adfe-37ba-439a-903b-ff4d2da40280
[2025-04-19 11:43:42] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 11:43:42] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 11:43:42] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 11:43:42] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 11:43:42] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 11:43:42] [INFO] [VisualsSystem] Finished creating blurred background after 0.4934593141078949 seconds
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1066,122
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1061,124
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1050,129
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1042,131
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1035,133
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1028,135
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1024,136
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1019,138
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1014,139
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,141
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 1002,141
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 997,142
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 988,145
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 985,146
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 979,147
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,148
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 967,149
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 961,150
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 956,151
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 951,152
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 948,153
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 945,153
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 941,153
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 939,153
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 936,154
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 934,154
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 932,155
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 930,156
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 927,156
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 926,156
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 924,156
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 923,157
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 922,157
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 921,157
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 920,157
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,157
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 919,158
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,159
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 918,160
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 917,162
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,163
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 916,165
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 914,167
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 913,169
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 911,172
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 910,173
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 909,175
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 907,177
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 906,179
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 905,181
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 903,183
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 901,186
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 900,188
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 897,190
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 893,194
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 891,196
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 888,200
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 884,203
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 880,207
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 878,211
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 874,215
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 870,219
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 866,222
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 861,227
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 857,231
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 848,239
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 845,241
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 841,244
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 836,249
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 831,252
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 826,255
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 822,257
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 819,259
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 815,262
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 812,264
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 809,265
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 807,267
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 805,268
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 801,269
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 800,271
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 798,273
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 797,274
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 795,275
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 794,276
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 793,277
[2025-04-19 11:43:43] [INFO] [MapEditorScene] Updated hoveredTilePanes 792,277
