[2025-04-19 11:44:04] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 11:44:04] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 11:44:04] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 11:44:04] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 11:44:04] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 11:44:04] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 11:44:04] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 11:44:04] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 11:44:04] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 11:44:04] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 11:44:04] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 11:44:04] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 11:44:04] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 11:44:04] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 11:44:04] [INFO] [Component] Setting air_dragon_Uycr_a7a0ba17-1a8c-4b43-a49b-e1cdcca9d6b4 on to {"row":3,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"air_dragon_Uycr_a7a0ba17-1a8c-4b43-a49b-e1cdcca9d6b4","structure":""}.
[2025-04-19 11:44:04] [INFO] [SpeedQueue] Added unit enemy:Uycr into queue
[2025-04-19 11:44:04] [INFO] [Component] Setting dragon_Qujoyi_907f1593-888b-4f95-8ac2-a77e686ea658 on to {"row":7,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Qujoyi_907f1593-888b-4f95-8ac2-a77e686ea658","structure":""}.
[2025-04-19 11:44:04] [INFO] [SpeedQueue] Added unit enemy:Qujoyi into queue
[2025-04-19 11:44:04] [INFO] [Component] Setting dragon_Kyxis_386322d5-d002-4b97-ba5a-3c4226b2beb5 on to {"row":5,"column":4,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Kyxis_386322d5-d002-4b97-ba5a-3c4226b2beb5","structure":""}.
[2025-04-19 11:44:04] [INFO] [SpeedQueue] Added unit enemy:Kyxis into queue
[2025-04-19 11:44:04] [INFO] [Component] Setting dragon_Fehya_df8f5bcb-b896-46c1-9d8d-7008ae5d87b7 on to {"row":5,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Fehya_df8f5bcb-b896-46c1-9d8d-7008ae5d87b7","structure":""}.
[2025-04-19 11:44:04] [INFO] [SpeedQueue] Added unit user:Fehya into queue
[2025-04-19 11:44:04] [INFO] [Component] Setting dragon_Cypoo_e1f4c1cd-ac78-47bf-8c5f-25397e78ceda on to {"row":2,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Cypoo_e1f4c1cd-ac78-47bf-8c5f-25397e78ceda","structure":""}.
[2025-04-19 11:44:04] [INFO] [SpeedQueue] Added unit user:Cypoo into queue
[2025-04-19 11:44:04] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 11:44:04] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 11:44:04] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:44:04] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 11:44:04] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 11:44:04] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 11:44:04] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 11:44:05] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 11:44:05] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_3c145b4d-79bc-46a2-a4f6-a1ca754a4bc5
[2025-04-19 11:44:05] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 11:44:05] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 11:44:05] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 11:44:05] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 11:44:05] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 11:44:05] [INFO] [VisualsSystem] Finished creating blurred background after 0.48656541109085083 seconds
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1120,202
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1116,205
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1113,209
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1109,212
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1102,218
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1096,224
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1092,229
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1087,237
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1080,247
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1073,256
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1065,269
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1057,281
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1047,295
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1039,307
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1030,318
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1027,322
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1021,329
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1015,337
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1005,347
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 1000,355
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 996,360
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 991,368
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 986,375
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 981,383
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 979,385
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 975,392
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 972,396
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 969,400
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 968,403
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 966,404
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,405
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 965,406
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,406
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 964,407
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 963,408
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 962,409
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 961,411
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 959,413
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 957,415
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 954,418
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 952,420
[2025-04-19 11:44:06] [INFO] [MapEditorScene] Updated hoveredTilePanes 950,423
