[2025-04-19 18:54:07] [INFO] [UnitTable] Started initializing UnitTable
[2025-04-19 18:54:07] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-04-19 18:54:07] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-04-19 18:54:07] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-04-19 18:54:07] [INFO] [UnitTable] Finished initializing UnitTable
[2025-04-19 18:54:07] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-04-19 18:54:07] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-04-19 18:54:07] [INFO] [UserSaveStateManager] Started loading user save data
[2025-04-19 18:54:07] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-04-19 18:54:07] [INFO] [AssetPool] Started initializing AssetPool
[2025-04-19 18:54:07] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-04-19 18:54:07] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-04-19 18:54:07] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-04-19 18:54:07] [INFO] [AssetPool] Finished initializing AssetPool
[2025-04-19 18:54:07] [INFO] [Component] Setting earth_dragon_Jumar_036a0a91-fd11-4404-b705-178262025582 on to {"row":3,"column":7,"height":0,"spawn_region":[],"collider":"","unit":"earth_dragon_Jumar_036a0a91-fd11-4404-b705-178262025582","structure":""}.
[2025-04-19 18:54:07] [INFO] [SpeedQueue] Added unit enemy:Jumar into queue
[2025-04-19 18:54:07] [INFO] [Component] Setting dragon_Wysao_9b13a827-874d-44ad-b4ba-80590e0fe7d3 on to {"row":3,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Wysao_9b13a827-874d-44ad-b4ba-80590e0fe7d3","structure":""}.
[2025-04-19 18:54:07] [INFO] [SpeedQueue] Added unit enemy:Wysao into queue
[2025-04-19 18:54:07] [INFO] [Component] Setting fire_dragon_Mixe_4d39c3a1-5283-48f5-8cef-727103f1d080 on to {"row":7,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Mixe_4d39c3a1-5283-48f5-8cef-727103f1d080","structure":""}.
[2025-04-19 18:54:07] [INFO] [SpeedQueue] Added unit enemy:Mixe into queue
[2025-04-19 18:54:07] [INFO] [Component] Setting water_dragon_Oerv_08a86a3e-eae5-46ac-9ea6-a5b00e2799c2 on to {"row":3,"column":3,"height":0,"spawn_region":[],"collider":"","unit":"water_dragon_Oerv_08a86a3e-eae5-46ac-9ea6-a5b00e2799c2","structure":""}.
[2025-04-19 18:54:07] [INFO] [SpeedQueue] Added unit enemy:Oerv into queue
[2025-04-19 18:54:07] [INFO] [Component] Setting fire_dragon_Rolasp_7a1846bf-9409-407a-89fc-a63e994cf69f on to {"row":7,"column":0,"height":0,"spawn_region":[],"collider":"","unit":"fire_dragon_Rolasp_7a1846bf-9409-407a-89fc-a63e994cf69f","structure":""}.
[2025-04-19 18:54:07] [INFO] [SpeedQueue] Added unit user:Rolasp into queue
[2025-04-19 18:54:07] [INFO] [Component] Setting dragon_Funb_2920ccca-2b73-48eb-9f44-f9147cb79689 on to {"row":6,"column":2,"height":0,"spawn_region":[],"collider":"","unit":"dragon_Funb_2920ccca-2b73-48eb-9f44-f9147cb79689","structure":""}.
[2025-04-19 18:54:07] [INFO] [SpeedQueue] Added unit user:Funb into queue
[2025-04-19 18:54:07] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-04-19 18:54:07] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-04-19 18:54:07] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-04-19 18:54:07] [INFO] [FontPool] Started initializing FontPool
[2025-04-19 18:54:07] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-04-19 18:54:07] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-04-19 18:54:08] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-04-19 18:54:08] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-04-19 18:54:08] [INFO] [InputHandler] Gliding 0 camera to new tile 10_12_ad7227b3-2c4f-4a1b-9084-2c032b2a6d0c
[2025-04-19 18:54:08] [INFO] [TimeLinePanel] Started updating the timeline panel after turn order has changed.
[2025-04-19 18:54:08] [INFO] [TimeLinePanel] Finished updating the timeline panel after turn order has changed.
[2025-04-19 18:54:08] [INFO] [SelectedTilePanel] Checksum updated, getting units at selected tiles.
[2025-04-19 18:54:08] [INFO] [SelectedTilePanel] Either no unit selected or more than one unit selected
[2025-04-19 18:54:08] [INFO] [VisualsSystem] Started creating blurred background
[2025-04-19 18:54:09] [INFO] [VisualsSystem] Finished creating blurred background after 0.5057027339935303 seconds
[2025-04-19 18:54:14] [INFO] [MapEditorSceneEditorPanel] Started swapping
[2025-04-19 18:54:14] [INFO] [MapEditorSceneEditorPanel] Finished logging
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:17] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Started updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Finished updating cursor size
[2025-04-19 18:54:19] [INFO] [MapEditorScene] Started updating cursor size
