[2025-05-04 19:38:22] [INFO] [UnitTable] Started initializing UnitTable
[2025-05-04 19:38:22] [INFO] [EmeritusDatabase] Started initializing EmeritusDatabase
[2025-05-04 19:38:22] [INFO] [EmeritusDatabase] Finished initializing EmeritusDatabase
[2025-05-04 19:38:23] [INFO] [UnitTable] Successfully initialized UnitTable
[2025-05-04 19:38:23] [INFO] [UnitTable] Finished initializing UnitTable
[2025-05-04 19:38:23] [INFO] [AbilityTable] Started initializing AbilityTable
[2025-05-04 19:38:23] [INFO] [AbilityTable] Finished initializing AbilityTable
[2025-05-04 19:38:23] [INFO] [UserSaveStateManager] Started loading user save data
[2025-05-04 19:38:23] [INFO] [UserSaveStateManager] Finished loading user save data
[2025-05-04 19:38:23] [INFO] [AssetPool] Started initializing AssetPool
[2025-05-04 19:38:23] [INFO] [AssetNameSpace] Started loading Sprite's from ./res/graphics
[2025-05-04 19:38:23] [INFO] [AssetNameSpace] Finished reading files for sprites
[2025-05-04 19:38:23] [INFO] [AssetNameSpace] Finished loading ./res/graphics
[2025-05-04 19:38:23] [INFO] [AssetPool] Finished initializing AssetPool
[2025-05-04 19:38:23] [INFO] [Component] Setting dark_dragon_Sygue_fcfe4320-24de-4cdc-8e1d-a51e0f08479c on to {"row":2,"column":1,"height":0,"spawn_region":"Left","collider":"","unit":"dark_dragon_Sygue_fcfe4320-24de-4cdc-8e1d-a51e0f08479c","structure":""}.
[2025-05-04 19:38:23] [INFO] [SpeedQueue] Added unit dark_dragon_Sygue_fcfe4320-24de-4cdc-8e1d-a51e0f08479c into queue
[2025-05-04 19:38:23] [INFO] [Component] Setting earth_dragon_Pubxua_3e01965c-6fb9-446a-a442-6333d57d43f0 on to {"row":4,"column":0,"height":0,"spawn_region":"Left","collider":"","unit":"earth_dragon_Pubxua_3e01965c-6fb9-446a-a442-6333d57d43f0","structure":""}.
[2025-05-04 19:38:23] [INFO] [SpeedQueue] Added unit earth_dragon_Pubxua_3e01965c-6fb9-446a-a442-6333d57d43f0 into queue
[2025-05-04 19:38:23] [INFO] [Component] Setting light_dragon_Kuoysh_f20c4754-9c08-46ad-9d0d-735a967f92ba on to {"row":5,"column":1,"height":0,"spawn_region":"Left","collider":"","unit":"light_dragon_Kuoysh_f20c4754-9c08-46ad-9d0d-735a967f92ba","structure":""}.
[2025-05-04 19:38:23] [INFO] [SpeedQueue] Added unit light_dragon_Kuoysh_f20c4754-9c08-46ad-9d0d-735a967f92ba into queue
[2025-05-04 19:38:23] [INFO] [Component] Setting dark_dragon_Piue_82630d96-814d-4b34-87b7-40333a2315c0 on to {"row":3,"column":0,"height":0,"spawn_region":"Left","collider":"","unit":"dark_dragon_Piue_82630d96-814d-4b34-87b7-40333a2315c0","structure":""}.
[2025-05-04 19:38:23] [INFO] [SpeedQueue] Added unit dark_dragon_Piue_82630d96-814d-4b34-87b7-40333a2315c0 into queue
[2025-05-04 19:38:23] [INFO] [Component] Setting water_dragon_Hahyx_71495ddc-671a-4292-8ccf-b49976fa42fb on to {"row":7,"column":1,"height":0,"spawn_region":"Left","collider":"","unit":"water_dragon_Hahyx_71495ddc-671a-4292-8ccf-b49976fa42fb","structure":""}.
[2025-05-04 19:38:23] [INFO] [SpeedQueue] Added unit water_dragon_Hahyx_71495ddc-671a-4292-8ccf-b49976fa42fb into queue
[2025-05-04 19:38:23] [INFO] [Component] Setting water_dragon_Pigyhe_a53a87db-6643-4ecd-ab76-f8402ebe48d5 on to {"row":7,"column":10,"height":0,"spawn_region":"Right","collider":"","unit":"water_dragon_Pigyhe_a53a87db-6643-4ecd-ab76-f8402ebe48d5","structure":""}.
[2025-05-04 19:38:23] [INFO] [SpeedQueue] Added unit water_dragon_Pigyhe_a53a87db-6643-4ecd-ab76-f8402ebe48d5 into queue
[2025-05-04 19:38:23] [INFO] [Component] Setting dragon_Moacje_89b1678c-6539-4f96-a9bf-91d39c8989d9 on to {"row":6,"column":11,"height":0,"spawn_region":"Right","collider":"","unit":"dragon_Moacje_89b1678c-6539-4f96-a9bf-91d39c8989d9","structure":""}.
[2025-05-04 19:38:23] [INFO] [SpeedQueue] Added unit dragon_Moacje_89b1678c-6539-4f96-a9bf-91d39c8989d9 into queue
[2025-05-04 19:38:23] [INFO] [Component] Setting light_dragon_Somuxa_4c7ec05b-e61f-4109-ae61-8165eaebc712 on to {"row":1,"column":10,"height":0,"spawn_region":"Right","collider":"","unit":"light_dragon_Somuxa_4c7ec05b-e61f-4109-ae61-8165eaebc712","structure":""}.
[2025-05-04 19:38:23] [INFO] [SpeedQueue] Added unit light_dragon_Somuxa_4c7ec05b-e61f-4109-ae61-8165eaebc712 into queue
[2025-05-04 19:38:23] [INFO] [Component] Setting dragon_Wizoo_632a90d3-f662-4a8c-be4b-bd76dc5ebb6f on to {"row":4,"column":10,"height":0,"spawn_region":"Right","collider":"","unit":"dragon_Wizoo_632a90d3-f662-4a8c-be4b-bd76dc5ebb6f","structure":""}.
[2025-05-04 19:38:23] [INFO] [SpeedQueue] Added unit dragon_Wizoo_632a90d3-f662-4a8c-be4b-bd76dc5ebb6f into queue
[2025-05-04 19:38:23] [INFO] [Component] Setting dragon_Guao_6d8dd74e-45bc-4d39-83a3-64c348a3478d on to {"row":4,"column":11,"height":0,"spawn_region":"Right","collider":"","unit":"dragon_Guao_6d8dd74e-45bc-4d39-83a3-64c348a3478d","structure":""}.
[2025-05-04 19:38:23] [INFO] [SpeedQueue] Added unit dragon_Guao_6d8dd74e-45bc-4d39-83a3-64c348a3478d into queue
[2025-05-04 19:38:23] [INFO] [EngineController] Started setting scene to MENU_SCENE
[2025-05-04 19:38:23] [INFO] [EngineController] Finished setting scene to MENU_SCENE
[2025-05-04 19:38:23] [INFO] [EngineController] Started setting scene to MAP_EDITOR_SCENE
[2025-05-04 19:38:23] [INFO] [FontPool] Started initializing FontPool
[2025-05-04 19:38:23] [INFO] [FontPool] ✅ Successfully loaded font: Lilian
[2025-05-04 19:38:23] [INFO] [MapEditorScene] Starting to create new GameController!
[2025-05-04 19:38:23] [INFO] [MapEditorScene] Successfully created new GameController!
[2025-05-04 19:38:23] [INFO] [EngineController] Finished setting scene to MAP_EDITOR_SCENE
[2025-05-04 19:38:23] [INFO] [EngineController] Started setting scene to GAME_SCENE
[2025-05-04 19:38:23] [INFO] [EngineController] Finished setting scene to GAME_SCENE
[2025-05-04 19:38:23] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:23] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:23] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:23] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:23] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:23] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:23] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
[2025-05-04 19:38:24] [INFO] [AbilitySystem] Started updating {} because of ability
